instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,termination_reason,decisions,makespan,completed_orders,unfinished_orders,feasibility_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,heuristic_quality_score,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
test_balanced_3000000,3000000,balanced,balanced_cost,,True,False,completed,209,193.70000000000002,14,0,2.0,590.3999999999999,590.3999999999999,221.07251317212,2.4155555555555557,0.2284106432687199,0.26827048743043946,1.1610195200002629,25.624530600005528,5.5551173205754205,True,198.7,622.1,405.364739249,2.9180555556,-5.095643787172506,-2.516356316054339,-45.46330951683401,-17.220371253045666,0.14350000000000004,0.12445247956666668,0.75,0,0.0,0,0,0,0.0,3,30,0,0.0,5,1.0,0,0.2820833333,0.15825,0.1509433962,0.1698113208,0.1738825215
test_machine_bottleneck_3000001,3000001,machine_bottleneck,downtime_dominant,,True,False,completed,328,206.8,18,0,2.0,1333.6000000000004,1333.6000000000004,540.15284034218,0.9991666666666662,0.3723153246424694,0.4059658070727755,1.8741794081700682,37.829257899997174,5.713961610274598,True,196.0,1280.0,950.3677026909,0.4333333333,4.187500000000028,5.510204081632659,-43.16380503958891,130.57692309465966,0.2046,0.14390298308333335,0.75,0,0.0,0,0,0,0.0,1,54,0,0.0,10,1.0,0,0.4420833333,0.4335,0.4,0.2125,0.617876481
test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,downtime_dominant,,True,False,completed,389,200.0,18,0,2.0,1376.1000000000004,1376.1000000000004,1331.9523812114794,2.4480555555555537,0.44777738227752667,0.5340999254431404,2.636516925627472,40.91531799999939,6.777678472050056,True,237.7,1404.1,2667.3459497884,15.0655555556,-1.9941599601167685,-15.860328144720233,-50.06450583145606,-83.7506453278745,0.5117999999999998,0.39693333333333336,0.75,0,0.0,0,0,1,0.004830917874396135,1,98,1,0.0,19,1.0,0,0.4119791667,0.2345833333,0.5061728395,0.3456790123,0.5754903502
test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,True,False,completed,316,140.5,18,0,2.0,1606.3999999999996,1606.3999999999996,387.34826552783005,2.925555555555556,0.3810184616177508,0.43811949064540695,1.7975217853839849,36.82687659999647,5.688360080329066,True,143.2,1684.0,865.3065498386,1.8122222222,-4.608076009501209,-1.8854748603351879,-55.23571783894625,61.434702638398974,0.19460905150000002,0.16186143263333333,0.75,0,0.0,0,0,0,0.0,2,48,0,0.0,9,1.0,0,0.4077604167,0.32925,0.6875,0.25,0.828712154
test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,True,False,completed,332,140.1,17,0,2.0,1429.6,1429.6,587.3818061666698,8.078888888888892,0.41065836368919606,0.44890068133267075,1.9025242303929784,38.11135400000785,5.730494669858368,True,152.3,1511.0,943.4031066642,7.0091666667,-5.3871608206485835,-8.010505581089966,-37.737982627213704,15.261760392587881,0.45790616390000005,0.3260469168666667,0.75,0,0.0,0,0,0,0.0,1,64,0,0.0,14,0.7857142857142857,0,0.39515625,0.312,0.6216216216,0.2837837838,0.8243399715
test_high_arrival_pressure_3000005,3000005,high_arrival_pressure,balanced_cost,,True,False,completed,320,134.70000000000002,17,0,2.0,1347.3000000000004,1347.3000000000004,501.66548842744004,3.3147222222222195,0.37711284964011754,0.36544152672904395,1.8216225392298468,37.17573180000181,5.6925704350932715,True,127.5,1227.9,509.5383381236,2.9955555556,9.723918885902787,5.6470588235294255,-1.545094668470309,10.654673588862591,0.20429999999999998,0.1433333333333333,0.75,0,0.0,0,0,0,0.0,2,65,0,0.0,12,1.0,0,0.3719791667,0.231,0.3648648649,0.1621621622,0.7880060221
test_easy_3000006,3000006,easy,downtime_dominant,,True,False,completed,228,180.3,14,0,2.0,503.9999999999998,503.9999999999998,376.59535039836,2.535833333333333,0.23961208730485742,0.23960889928363768,1.270419684913497,27.857413599995198,5.572016161901302,True,180.3,504.0,376.5752128695,2.5358333333,-4.511382449270477e-14,0.0,0.005347544971576049,1.3144923861367282e-09,0.14,0.11541843338333335,0.75,0,0.0,0,0,0,0.0,2,42,0,0.0,8,1.0,0,0.2271354167,0.1334166667,0.1538461538,0.1538461538,0.0
test_balanced_3000007,3000007,balanced,balanced_cost,,True,False,completed,239,205.4,13,0,2.0,622.3999999999999,622.3999999999999,444.9134986570002,2.3422222222222207,0.27208858984095907,0.29156025310139516,1.3354015202077314,29.059987500004354,5.587454059446575,True,205.4,630.2,530.2365106987,4.1833333333,-1.237702316724878,0.0,-16.09150073978657,-44.01062416954063,0.1764,0.14848213978333336,0.75,0,0.0,0,0,0,0.0,2,62,0,0.0,11,1.0,0,0.2720833333,0.14975,0.2549019608,0.2549019608,0.3340720222
test_machine_bottleneck_3000008,3000008,machine_bottleneck,downtime_dominant,,True,False,completed,326,179.9,16,0,2.0,1150.1999999999996,1150.1999999999996,813.2376840457101,2.252222222222223,0.3878732545870882,0.41492668934814253,1.8606929081700692,37.681300700001884,5.707646957576899,True,174.9,1106.5,1186.6305783169,3.2647222222,3.9493899683686933,2.858776443682104,-31.466650286461103,-31.013358291030443,0.26130000000000003,0.19117107318333335,0.75,0,0.0,0,0,0,0.0,1,79,0,0.0,15,1.0,0,0.3916666667,0.3551666667,0.4428571429,0.3142857143,0.6717606793
test_reconfiguration_bottleneck_3000009,3000009,reconfiguration_bottleneck,labor_dominant,,True,False,completed,385,190.8,18,0,2.0,1378.6000000000004,1378.6000000000004,928.2137663391609,2.268888888888893,0.42041279190144515,0.41870938535435376,2.5209634256422184,40.77302920000511,6.547956949720048,True,184.9,1255.4,1150.4869020918,0.6513888889,9.81360522542618,3.1909140075716635,-19.31991884031926,248.31556502604215,0.4045000000000003,0.32386666666666675,0.75,0,0.0,0,0,0,0.0,1,106,0,0.0,20,0.95,0,0.4091145833,0.2419166667,0.6329113924,0.3164556962,0.6412666888
test_worker_bottleneck_3000010,3000010,worker_bottleneck,balanced_cost,,True,False,completed,348,144.6,17,0,2.0,1408.3999999999996,1408.3999999999996,738.67569792385,2.358888888888886,0.40643927635242,0.426753864029975,2.031808750637147,39.10434419999365,5.83853089263548,True,131.6,1411.0,885.5354371528,4.2466666667,-0.1842664776754333,9.878419452887538,-16.58428709540274,-44.45316588217339,0.2691,0.23007343956666668,0.75,0,0.0,0,0,3,0.010452961672473868,1,94,1,0.0,17,1.0,0,0.37140625,0.285,0.6351351351,0.2702702703,0.863569781
test_fatigue_bottleneck_3000011,3000011,fatigue_bottleneck,downtime_dominant,,True,False,completed,333,150.1,16,0,2.0,1247.3000000000004,1247.3000000000004,947.43595539051,3.5180555555555597,0.4139303163913425,0.46022548533123575,1.909737505394028,38.175050899997586,5.73494746364573,True,155.6,1359.4,1588.2646503272,2.7880555556,-8.246285125790765,-3.5347043701799485,-40.347727616091696,26.183122444934952,0.40837197029999994,0.3670744846,0.75,0,0.0,0,0,0,0.0,1,82,0,0.0,16,1.0,0,0.37296875,0.3129166667,0.6478873239,0.3521126761,0.837026842
test_high_arrival_pressure_3000012,3000012,high_arrival_pressure,labor_dominant,,True,False,completed,350,144.8,18,0,2.0,1581.2999999999995,1581.2999999999995,557.25461960885,13.638888888888886,0.43449019616609613,0.4203647910697706,2.0512473506359767,39.2139989999996,5.86070671610279,True,147.5,1417.8,664.788838714,8.7433333333,11.531950909860315,-1.8305084745762634,-16.175695625872635,55.991866819758464,0.3469000000000001,0.2426666666666667,0.75,0,0.0,0,0,0,0.0,2,76,0,0.0,14,1.0,0,0.4078645833,0.2234166667,0.4743589744,0.2179487179,0.8389194958
test_balanced_3000013,3000013,balanced,labor_dominant,,True,False,completed,282,207.10000000000002,16,0,2.0,744.2999999999998,744.2999999999998,352.1895757624399,5.728888888888889,0.2901031186781273,0.2916216724475102,1.5937853639562924,33.59998009999981,5.651721148781179,True,212.2,743.9,479.9341331664,0.7591666667,0.05377066810053281,-2.403393025447675,-26.61710192629063,654.6286132123837,0.16486969640000002,0.13643890686666668,0.75,0,0.0,0,0,0,0.0,2,56,0,0.0,10,1.0,0,0.3177604167,0.1965833333,0.203125,0.203125,0.2758291141
test_machine_bottleneck_3000014,3000014,machine_bottleneck,fixed_cost_dominant,,True,False,completed,325,181.10000000000002,16,0,2.0,1040.9999999999998,1040.9999999999998,556.5532215069802,2.2566666666666664,0.34816570748782505,0.3657795379720409,1.8546294808966735,37.60799920000136,5.706552248912841,True,174.7,979.0,806.1868284032,1.8755555556,6.332992849846759,3.663423010875807,-30.964733992325908,20.319905210418938,0.1865390925,0.16005943178333334,0.75,0,0.0,0,0,0,0.0,1,83,0,0.0,15,1.0,0,0.3988020833,0.3510833333,0.3768115942,0.3188405797,0.541603475
test_reconfiguration_bottleneck_3000015,3000015,reconfiguration_bottleneck,balanced_cost,,True,False,completed,368,201.4,18,0,2.0,1403.0000000000002,1403.0000000000002,914.6987914172305,8.532222222222222,0.4419680589347831,0.4772857016919196,2.250664625640308,40.11944070000027,6.115936482718228,True,192.9,1263.1,1459.4857049089,13.6366666667,11.075924313197715,4.406428201140487,-37.327320963768855,-37.43176077583941,0.43600000000000017,0.3782000000000001,0.75,0,0.0,1,1,0,0.0,0,85,0,0.9,17,0.9411764705882353,0,0.4205208333,0.2645,0.5125,0.325,0.5635713635
