arm,classification,count,share_of_forced_states
non_delay_on,forced_action_state_count,129955,1.0
non_delay_on,forced_production_count,57338,0.44121426647685735
non_delay_on,forced_worker_count,72617,0.5587857335231426
non_delay_on,forced_pair_count,2012,0.015482282328498326
non_delay_on,forced_advance_count,127943,0.9845177176715016
non_delay_on,forced_production_pair_count,2,1.5389942672463544e-05
non_delay_on,forced_production_advance_count,57336,0.44119887653418494
non_delay_on,forced_worker_pair_count,2010,0.015466892385825862
non_delay_on,forced_worker_advance_count,70607,0.5433188411373168
non_delay_on,forced_pair_advance_blocked_non_delay_count,2010,0.015466892385825862
non_delay_on,forced_worker_pair_non_delay_count,2010,0.015466892385825862
non_delay_on,forced_pair_advance_physically_unavailable_count,2,1.5389942672463544e-05
non_delay_on,forced_advance_pair_physically_unavailable_count,127943,0.9845177176715016
non_delay_on,forced_wait_dis_count,10048,0.07731907198645685
non_delay_on,forced_wait_ins_count,19523,0.15022892539725288
non_delay_on,forced_mixed_wait_stage_count,577,0.004439998461005732
non_delay_on,forced_phase_handoff_count,57336,0.44119887653418494
non_delay_on,forced_recovery_advance_count,6002,0.0461852179600631
non_delay_on,forced_future_event_advance_count,124314,0.9565926666923166
non_delay_on,forced_action_chain_count,59723,0.45956677311377014
non_delay_off,forced_action_state_count,144698,1.0
non_delay_off,forced_production_count,70927,0.4901726354199782
non_delay_off,forced_worker_count,73771,0.5098273645800219
non_delay_off,forced_pair_count,0,0.0
non_delay_off,forced_advance_count,144698,1.0
non_delay_off,forced_production_pair_count,0,0.0
non_delay_off,forced_production_advance_count,70927,0.4901726354199782
non_delay_off,forced_worker_pair_count,0,0.0
non_delay_off,forced_worker_advance_count,73771,0.5098273645800219
non_delay_off,forced_pair_advance_blocked_non_delay_count,0,0.0
non_delay_off,forced_worker_pair_non_delay_count,0,0.0
non_delay_off,forced_pair_advance_physically_unavailable_count,0,0.0
non_delay_off,forced_advance_pair_physically_unavailable_count,144698,1.0
non_delay_off,forced_wait_dis_count,12993,0.08979391560353288
non_delay_off,forced_wait_ins_count,29465,0.20363101079489695
non_delay_off,forced_mixed_wait_stage_count,1110,0.007671149566683713
non_delay_off,forced_phase_handoff_count,70927,0.4901726354199782
non_delay_off,forced_recovery_advance_count,10614,0.07335277612682967
non_delay_off,forced_future_event_advance_count,139135,0.961554409874359
non_delay_off,forced_action_chain_count,65974,0.45594272208323544
