arm,classification,count,share_of_forced_states
non_delay_on,forced_action_state_count,826,1.0
non_delay_on,forced_production_count,383,0.463680387409201
non_delay_on,forced_worker_count,443,0.5363196125907991
non_delay_on,forced_pair_count,21,0.025423728813559324
non_delay_on,forced_advance_count,805,0.9745762711864406
non_delay_on,forced_production_pair_count,0,0.0
non_delay_on,forced_production_advance_count,383,0.463680387409201
non_delay_on,forced_worker_pair_count,21,0.025423728813559324
non_delay_on,forced_worker_advance_count,422,0.5108958837772397
non_delay_on,forced_pair_advance_blocked_non_delay_count,21,0.025423728813559324
non_delay_on,forced_worker_pair_non_delay_count,21,0.025423728813559324
non_delay_on,forced_pair_advance_physically_unavailable_count,0,0.0
non_delay_on,forced_advance_pair_physically_unavailable_count,805,0.9745762711864406
non_delay_on,forced_wait_dis_count,94,0.11380145278450363
non_delay_on,forced_wait_ins_count,84,0.1016949152542373
non_delay_on,forced_mixed_wait_stage_count,5,0.006053268765133172
non_delay_on,forced_phase_handoff_count,383,0.463680387409201
non_delay_on,forced_recovery_advance_count,1,0.0012106537530266344
non_delay_on,forced_future_event_advance_count,805,0.9745762711864406
non_delay_on,forced_action_chain_count,426,0.5157384987893463
non_delay_off,forced_action_state_count,815,1.0
non_delay_off,forced_production_count,404,0.49570552147239266
non_delay_off,forced_worker_count,411,0.5042944785276073
non_delay_off,forced_pair_count,0,0.0
non_delay_off,forced_advance_count,815,1.0
non_delay_off,forced_production_pair_count,0,0.0
non_delay_off,forced_production_advance_count,404,0.49570552147239266
non_delay_off,forced_worker_pair_count,0,0.0
non_delay_off,forced_worker_advance_count,411,0.5042944785276073
non_delay_off,forced_pair_advance_blocked_non_delay_count,0,0.0
non_delay_off,forced_worker_pair_non_delay_count,0,0.0
non_delay_off,forced_pair_advance_physically_unavailable_count,0,0.0
non_delay_off,forced_advance_pair_physically_unavailable_count,815,1.0
non_delay_off,forced_wait_dis_count,97,0.11901840490797547
non_delay_off,forced_wait_ins_count,118,0.14478527607361963
non_delay_off,forced_mixed_wait_stage_count,8,0.0098159509202454
non_delay_off,forced_phase_handoff_count,404,0.49570552147239266
non_delay_off,forced_recovery_advance_count,0,0.0
non_delay_off,forced_future_event_advance_count,815,1.0
non_delay_off,forced_action_chain_count,439,0.5386503067484663
