episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,321,321,0,0.0,321,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1746.5999999999992,-1079.1146826870697,-4.474722222222225,1.0000000000000002,1.0,-0.46851191759361754,0.0,0.0,-0.0625,81,171.4,True,False,completed,1.0,1.0,1746.5999999999992,1746.5999999999992,1079.1146826870697,4.474722222222224,0.46851191759361754,0.6586230438999998,0.5110355725666668,0.75,4,0.02962962962962963,16,16,13,0.05627705627705628,0,107,0,1,1213,121.30000000000001,0,0,0,0.0,0,0.0,0,0,46,0.0,0,{},4.800000000000001,21,0.9523809523809523,60,21,146,42,52,176,118,58,6,170,0,118,6,52,6,6,0,170,21,53,2,50,6,170,0,0,118,6,52,93,30,1.89247311827957,0,10,2060,8.017970899993088,3.7199793998734094,0.1764234000002034,0.21743250044528395,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
1,1,train_easy_1000001,1000001,easy,balanced_cost,192,192,0,0.0,192,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-558.9,-522.4897898299301,-14.205555555555557,0.9999999999999997,1.0,-0.30608228920878505,0.0,0.0,-0.0625,50,181.70000000000002,True,False,completed,1.0,1.0,558.9,558.9,522.4897898299301,14.205555555555557,0.30608228920878505,0.22690000000000005,0.13895118395000003,0.75,0,0.0,0,0,0,0.0,2,76,0,1,1407,140.70000000000002,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,13,1.0,37,13,90,26,26,100,74,26,0,100,0,74,0,26,0,0,0,100,13,12,0,25,0,99,0,0,74,0,26,67,4,1.492537313432836,0,10,2060,8.017970899993088,3.7199793998734094,0.10121900000376627,0.12850129982689396,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
2,1,train_easy_1000002,1000002,easy,balanced_cost,164,164,0,0.0,164,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-466.40000000000003,-444.9587911808901,-18.472222222222218,0.9999999999999998,1.0,-0.2862793883833631,0.0,0.0,-0.0625,43,173.4,True,False,completed,1.0,1.0,466.40000000000003,466.40000000000003,444.9587911808901,18.472222222222218,0.2862793883833631,0.2403,0.16936666666666667,0.75,0,0.0,0,0,0,0.0,2,60,0,1,1324,132.4,0,0,0,0.0,0,0.0,0,0,14,0.0,0,{},0.0,11,0.9090909090909091,32,11,77,22,22,92,70,22,0,92,0,70,0,22,0,0,0,92,11,11,0,22,0,92,0,0,70,0,22,61,4,1.5081967213114753,0,10,2060,8.017970899993088,3.7199793998734094,2.3741080000181682,0.10003500018501654,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,186,186,0,0.0,186,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-707.3999999999999,-423.85431953292994,-5.580000000000002,0.9999999999999997,1.0,-0.2948191245081149,0.0,0.0,-0.0625,57,220.5,True,False,completed,1.0,1.0,707.3999999999999,707.3999999999999,423.85431953292994,5.580000000000002,0.2948191245081149,0.19200000000000003,0.14425000000000004,0.75,0,0.0,0,0,0,0.0,2,57,0,0,1957,195.70000000000002,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,10,1.0,47,10,90,20,19,86,67,19,0,86,0,67,0,19,0,0,0,86,10,9,1,18,0,85,0,0,67,0,19,61,4,1.4098360655737705,0,10,2060,8.017970899993088,3.7199793998734094,0.11271350004244596,0.1577897997922264,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,194,194,0,0.0,194,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-783.6000000000001,-348.83870936414,-26.27888888888889,0.9999999999999999,1.0,-0.34400824362341975,0.0,0.0,-0.0625,64,204.4,True,False,completed,1.0,1.0,783.6000000000001,783.6000000000001,348.83870936414,26.27888888888889,0.34400824362341975,0.3017000000000001,0.1793415474833334,0.75,0,0.0,0,0,0,0.0,1,46,0,0,1805,180.5,0,0,0,0.0,0,0.0,0,0,30,0.0,0,{},0.0,9,0.7777777777777778,55,9,95,18,17,96,78,18,1,95,0,78,1,17,1,1,0,95,9,10,1,17,0,95,0,0,78,1,17,70,4,1.3714285714285714,0,10,2060,8.017970899993088,3.7199793998734094,0.10314900003140792,0.16255380038637668,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
5,1,train_easy_1000005,1000005,easy,downtime_dominant,151,151,0,0.0,151,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-491.90000000000003,-407.70240485792993,-15.268888888888897,0.9999999999999998,1.0,-0.27904353386012515,0.0,0.0,-0.0625,45,174.20000000000002,True,False,completed,1.0,1.0,491.90000000000003,491.90000000000003,407.70240485792993,15.268888888888894,0.27904353386012515,0.23050000000000004,0.13241666666666668,0.75,0,0.0,0,0,0,0.0,2,42,0,0,1531,153.1,0,0,0,0.0,0,0.0,0,0,13,0.0,0,{},0.0,8,0.75,37,8,74,16,16,72,56,16,0,72,0,56,0,16,0,0,0,72,8,8,0,16,0,72,0,0,56,0,16,50,5,1.44,0,10,2060,8.017970899993088,3.7199793998734094,0.08798720000777394,0.1396766998223029,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,233,233,0,0.0,233,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-784.5999999999998,-526.4535674982199,-1.233333333333333,1.0000000000000002,1.0,-0.30595266548508476,0.0,0.0,-0.0625,66,202.4,True,False,completed,1.0,1.0,784.5999999999998,784.5999999999998,526.4535674982199,1.233333333333333,0.30595266548508476,0.23185049150000003,0.15790935443333334,0.75,0,0.0,0,0,0,0.0,2,83,0,3,1559,155.9,0,0,0,0.0,0,0.0,0,0,31,0.0,0,{},0.0,14,1.0,52,14,111,28,28,121,93,28,0,121,0,93,0,28,0,0,0,121,14,13,0,27,0,121,0,0,93,0,28,86,4,1.4069767441860466,0,10,2060,8.017970899993088,3.7199793998734094,0.12274099997011945,0.21084269997663796,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,195,195,0,0.0,195,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-658.2999999999998,-535.3884051786999,-5.772222222222222,0.9999999999999998,1.0,-0.3024332269050646,0.0,0.0,-0.0625,53,190.5,True,False,completed,1.0,1.0,658.2999999999998,658.2999999999998,535.3884051786999,5.772222222222223,0.3024332269050646,0.2465,0.16222293378333336,0.75,0,0.0,0,0,0,0.0,2,76,0,0,1521,152.1,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,13,0.9230769230769231,40,13,92,26,24,99,75,24,0,99,0,75,0,24,0,0,0,99,11,13,1,23,0,99,0,0,75,0,24,70,3,1.4142857142857144,0,10,2060,8.017970899993088,3.7199793998734094,0.12228949996642768,0.1649506003013812,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,271,271,0,0.0,271,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-1339.1,-843.0310043057594,-7.70805555555556,1.0,1.0,-0.42763442416740005,0.0,0.0,-0.0625,71,160.70000000000002,True,False,completed,1.0,1.0,1339.1,1339.1,843.0310043057594,7.70805555555556,0.42763442416740005,0.6952441008000002,0.6292106349666667,0.75,2,0.02197802197802198,0,0,0,0.0,1,89,0,1,1149,114.9,0,0,0,0.0,0,0.0,0,0,41,0.0,0,{},0.0,19,0.9473684210526315,52,19,125,38,37,146,102,44,7,139,0,102,7,37,7,7,0,139,21,20,1,33,2,139,0,0,102,7,37,85,11,1.7176470588235293,0,10,2060,8.017970899993088,3.7199793998734094,0.385722299979534,0.18269379978301004,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,153,153,0,0.0,153,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-611.8000000000002,-242.59000251758007,-1.7822222222222233,1.0,1.0,-0.23428994566793981,0.0,0.0,-0.0625,50,198.9,True,False,completed,1.0,1.0,611.8000000000002,611.8000000000002,242.59000251758007,1.782222222222223,0.23428994566793981,0.198,0.12929098058333335,0.75,0,0.0,0,0,0,0.0,2,41,0,0,1768,176.8,0,0,0,0.0,0,0.0,0,0,23,0.0,0,{},0.0,7,0.8571428571428571,43,7,75,14,14,75,61,14,0,75,0,61,0,14,0,0,0,75,7,7,0,14,0,75,0,0,61,0,14,54,4,1.3888888888888888,0,10,2060,8.017970899993088,3.7199793998734094,0.09427490003872663,0.14570459979586303,19.931458300037775,parallel_episode_batch,feasibility_best,0.007883226230853435,0.0042675198884821975,0.5254181984699133,0.004762804375566317,0.002322283827445724,0.03211805563081394,1.0004006497787707,0.4134666266089136,0.2727272727272727,1.7959856986999512,0.5892413854598999,0.16471271216869354,0.15125375986099243,0.0999663695693016,0.4379875659942627,0.08690422773361206,0.6316560506820679,0.0001,-0.30032026767730713,-0.3001728355884552,-0.20033006370067596,-0.20010703802108765,-0.20006701350212097,0.30013006925582886,-0.2997843623161316,-0.2998078465461731,-0.1999203860759735,-0.1998445838689804,-0.19999153912067413,0.017976434901356697,0.11933334171772003,0.01798621006309986,0.11926454305648804
