episode,instance_id,truncated,schedule_violation_count,unfinished_orders,maximum_worker_fatigue,safe_fatigue_limit,failure_reason,audit_event
160,validation_balanced_2000056,True,0,1,0.1483348784,0.75,incomplete;truncated,accepted
180,validation_machine_bottleneck_2000001,True,0,5,0.189,0.75,incomplete;truncated,audit_rejected
180,validation_machine_bottleneck_2000008,True,0,1,0.22849999999999998,0.75,incomplete;truncated,audit_rejected
180,validation_balanced_2000056,True,0,1,0.1483348784,0.75,incomplete;truncated,audit_rejected
180,validation_machine_bottleneck_2000083,True,0,2,0.3097000000000001,0.75,incomplete;truncated,audit_rejected
180,validation_machine_bottleneck_2000131,True,0,4,0.2006515847,0.75,incomplete;truncated,audit_rejected
660,validation_machine_bottleneck_2000001,True,0,1,0.2046,0.75,incomplete;truncated,audit_passed_not_accepted
660,validation_balanced_2000157,True,0,1,0.1391695865,0.75,incomplete;truncated,audit_passed_not_accepted
660,validation_balanced_2000172,True,0,2,0.16450000000000004,0.75,incomplete;truncated,audit_passed_not_accepted
800,validation_machine_bottleneck_2000043,True,0,2,0.1884,0.75,incomplete;truncated,audit_passed_not_accepted
800,validation_balanced_2000056,True,0,1,0.1483348784,0.75,incomplete;truncated,audit_passed_not_accepted
840,validation_machine_bottleneck_2000001,True,0,6,0.15400000000000003,0.75,incomplete;truncated,audit_passed_not_accepted
840,validation_machine_bottleneck_2000043,True,0,2,0.1884,0.75,incomplete;truncated,audit_passed_not_accepted
840,validation_balanced_2000056,True,0,1,0.1483348784,0.75,incomplete;truncated,audit_passed_not_accepted
840,validation_machine_bottleneck_2000131,True,0,4,0.258,0.75,incomplete;truncated,audit_passed_not_accepted
1160,validation_balanced_2000056,True,0,1,0.1483348784,0.75,incomplete;truncated,audit_passed_not_accepted
1200,validation_balanced_2000000,True,0,3,0.193,0.75,incomplete;truncated,audit_rejected
1200,validation_machine_bottleneck_2000001,True,0,10,0.1463100928,0.75,incomplete;truncated,audit_rejected
1200,validation_machine_bottleneck_2000131,True,0,5,0.19590000000000005,0.75,incomplete;truncated,audit_rejected
1200,validation_reconfiguration_bottleneck_2000135,True,0,4,0.17850000000000005,0.75,incomplete;truncated,audit_rejected
1200,validation_balanced_2000188,True,0,1,0.14350000000000004,0.75,incomplete;truncated,audit_rejected
1900,validation_machine_bottleneck_2000001,True,0,1,0.1463100928,0.75,incomplete;truncated,audit_passed_not_accepted
1900,validation_machine_bottleneck_2000149,True,0,1,0.1682068989,0.75,incomplete;truncated,audit_passed_not_accepted
1920,validation_machine_bottleneck_2000001,True,0,7,0.1463100928,0.75,incomplete;truncated,audit_passed_not_accepted
1920,validation_machine_bottleneck_2000149,True,0,2,0.1682068989,0.75,incomplete;truncated,audit_passed_not_accepted
