episode,single_objective_target,window_size,window_statistic,window_episodes,window_objective_values,window_objective_statistic,candidate_anchor_value,validation_manifest_sha256,audit_event,audit_decision_reason,audit_instance_count,audit_completed_count,audit_failed_instance_count,audit_completion_rate,audit_truncated_count,audit_schedule_violation_count,audit_physical_safety_pass,audit_completion_pass,audit_violation_pass,audit_safety_pass,audit_objective_pass,audit_single_objective_value,audit_pass,audit_window_median,audit_candidate_rank,audit_previous_accepted_rank,audit_accepted_rank,accepted_checkpoint_episode
160,cost,5,median,"[80, 100, 120, 140, 160]","[731.1988014923123, 679.8929647788323, 626.1133232376148, 632.0485191728097, 718.2691891819994]",679.8929647788323,679.8929647788323,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,first_audit_pass,200,199,1,0.995,1,0,True,True,True,True,True,632.2935578208348,True,679.8929647788323,"[1, 679.8929647788323]",,"[1, 679.8929647788323]",160
180,cost,5,median,"[100, 120, 140, 160, 180]","[679.8929647788323, 626.1133232376148, 632.0485191728097, 718.2691891819994, 644.3442254591774]",644.3442254591774,644.3442254591774,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_rejected,audit_completion_below_98,200,195,5,0.975,5,0,True,False,True,True,True,585.843943929059,False,644.3442254591774,"[5, 644.3442254591774]","[1, 679.8929647788323]","[1, 679.8929647788323]",160
660,cost,5,median,"[580, 600, 620, 640, 660]","[680.0032897856855, 632.5648130527541, 626.6378297015335, 710.1660027541011, 636.0114370815776]",636.0114370815776,636.0114370815776,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,197,3,0.985,3,0,True,True,True,True,True,555.6354787380502,True,636.0114370815776,"[3, 636.0114370815776]","[1, 679.8929647788323]","[1, 679.8929647788323]",160
680,cost,5,median,"[600, 620, 640, 660, 680]","[632.5648130527541, 626.6378297015335, 710.1660027541011, 636.0114370815776, 507.90326679477505]",632.5648130527541,632.5648130527541,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,459.23297706770177,True,632.5648130527541,"[0, 632.5648130527541]","[1, 679.8929647788323]","[0, 632.5648130527541]",680
800,cost,5,median,"[720, 740, 760, 780, 800]","[501.2730190500552, 632.4248740018469, 540.9218172724594, 617.6396904550245, 478.12802963691405]",540.9218172724594,540.9218172724594,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,445.39642192865824,True,540.9218172724594,"[2, 540.9218172724594]","[0, 632.5648130527541]","[0, 632.5648130527541]",680
840,cost,5,median,"[760, 780, 800, 820, 840]","[540.9218172724594, 617.6396904550245, 478.12802963691405, 499.537238298379, 486.3866772589126]",499.537238298379,499.537238298379,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,196,4,0.98,4,0,True,True,True,True,True,452.95193145080634,True,499.537238298379,"[4, 499.537238298379]","[0, 632.5648130527541]","[0, 632.5648130527541]",680
1140,cost,5,median,"[1060, 1080, 1100, 1120, 1140]","[546.3536551391513, 507.2361849437218, 460.21738251172866, 445.56637209642105, 486.792567321639]",486.792567321639,486.792567321639,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,438.71859206468173,True,486.792567321639,"[0, 486.792567321639]","[0, 632.5648130527541]","[0, 486.792567321639]",1140
1160,cost,5,median,"[1080, 1100, 1120, 1140, 1160]","[507.2361849437218, 460.21738251172866, 445.56637209642105, 486.792567321639, 424.6129719896518]",460.21738251172866,460.21738251172866,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,402.2696532143459,True,460.21738251172866,"[1, 460.21738251172866]","[0, 486.792567321639]","[0, 486.792567321639]",1140
1180,cost,5,median,"[1100, 1120, 1140, 1160, 1180]","[460.21738251172866, 445.56637209642105, 486.792567321639, 424.6129719896518, 332.5407926670624]",445.56637209642105,445.56637209642105,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,326.5775683998487,True,445.56637209642105,"[0, 445.56637209642105]","[0, 486.792567321639]","[0, 445.56637209642105]",1180
1200,cost,5,median,"[1120, 1140, 1160, 1180, 1200]","[445.56637209642105, 486.792567321639, 424.6129719896518, 332.5407926670624, 297.7143304880124]",424.6129719896518,424.6129719896518,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_rejected,audit_completion_below_98,200,195,5,0.975,5,0,True,False,True,True,True,289.3282590295862,False,424.6129719896518,"[5, 424.6129719896518]","[0, 445.56637209642105]","[0, 445.56637209642105]",1180
