update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_flow_processing_time_norm,policy_head_weight_production_flow_reconfiguration_time_norm,policy_head_weight_production_flow_predicted_finish_time_norm,policy_head_weight_production_flow_horizon_slack_norm,policy_head_weight_sum_production_flow,policy_head_weight_entropy_production_flow,policy_head_effective_feature_count_production_flow,policy_head_weight_production_cost_fixed_reconfiguration_cost_norm,policy_head_weight_production_cost_estimated_labor_cost_norm,policy_head_weight_production_cost_estimated_downtime_cost_norm,policy_head_weight_sum_production_cost,policy_head_weight_entropy_production_cost,policy_head_effective_feature_count_production_cost,policy_head_weight_production_variance_estimated_worker_load_variance_delta_norm,policy_head_weight_sum_production_variance,policy_head_weight_entropy_production_variance,policy_head_effective_feature_count_production_variance,policy_head_weight_worker_flow_stage_duration_norm,policy_head_weight_sum_worker_flow,policy_head_weight_entropy_worker_flow,policy_head_effective_feature_count_worker_flow,policy_head_weight_worker_cost_fixed_cost_norm,policy_head_weight_worker_cost_incremental_labor_cost_norm,policy_head_weight_worker_cost_incremental_downtime_cost_norm,policy_head_weight_sum_worker_cost,policy_head_weight_entropy_worker_cost,policy_head_effective_feature_count_worker_cost,policy_head_weight_worker_variance_incremental_load_variance_norm,policy_head_weight_sum_worker_variance,policy_head_weight_entropy_worker_variance,policy_head_effective_feature_count_worker_variance,policy_head_weight_production_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_production_wait_flow,policy_head_weight_entropy_production_wait_flow,policy_head_effective_feature_count_production_wait_flow,policy_head_weight_production_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_production_wait_cost,policy_head_weight_entropy_production_wait_cost,policy_head_effective_feature_count_production_wait_cost,policy_head_weight_production_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_production_wait_variance,policy_head_weight_entropy_production_wait_variance,policy_head_effective_feature_count_production_wait_variance,policy_head_weight_worker_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_worker_wait_flow,policy_head_weight_entropy_worker_wait_flow,policy_head_effective_feature_count_worker_wait_flow,policy_head_weight_worker_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_worker_wait_cost,policy_head_weight_entropy_worker_wait_cost,policy_head_effective_feature_count_worker_wait_cost,policy_head_weight_worker_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_worker_wait_variance,policy_head_weight_entropy_worker_wait_variance,policy_head_effective_feature_count_worker_wait_variance,policy_head_gate_production_residual,policy_head_gate_worker_residual
1,0,19,20,20,5337,5337,0,0.0,5337,0,0.0,0,94.06121640000492,67.92125179758295,0.15748239937238395,36.92153740325011,165.02963999984786,20.59895155760901,feasibility,not_applicable,-0.0001531833383653845,0.02287057811848908,0.6871439835854939,0.0044106666131743365,0.00038731804791799124,9.300595238095238e-05,0.9996277824753806,0.2703981761421476,0.11904761904761904,1.1043554544448853,0.05401094630360603,0.20872646570205688,0.1265334188938141,0.1842053383588791,-0.07252247631549835,0.050505198538303375,0.22115808725357056,0.0001,0.25025755167007446,0.2506653368473053,0.24990852177143097,0.24916860461235046,1.0000000149011612,1.386291948983877,3.999990351467582,0.332395076751709,0.3321636915206909,0.3354412019252777,0.9999999701976776,1.09860225884201,2.999969910672596,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3339819610118866,0.33387282490730286,0.33214515447616577,0.9999999403953552,1.0986090956069585,2.99999042083184,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5007553100585938,0.5011166334152222
2,20,39,20,20,5873,5873,0,0.0,5873,0,0.0,0,99.89851649990305,72.84305149805732,0.1639243990648538,38.173731008311734,179.23121710005216,21.04039553312905,feasibility,not_applicable,-0.00035610855759485907,0.00757346877767502,0.6887586667485859,-0.0034569611370502767,0.0006805565458900832,0.004076086956521739,1.0006603384795396,0.23546066404441776,0.06521739130434782,1.1527601480484009,0.17455604672431946,0.24382668733596802,0.13323065638542175,0.12610268592834473,0.04132538661360741,0.1399945467710495,0.7325231432914734,0.0001,0.25010669231414795,0.25072404742240906,0.24996650218963623,0.24920274317264557,0.9999999850988388,1.3862920102870997,3.999990596679889,0.3315959572792053,0.3313354253768921,0.3370686173439026,1.0,1.0985809028341356,2.999905843975668,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3343178927898407,0.3338507413864136,0.3318313956260681,1.0000000298023224,1.0986070488225068,2.9999842805043753,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5008538365364075,0.5015072822570801
3,40,59,20,20,5937,5937,0,0.0,5937,0,0.0,0,99.97461010003462,74.140173898777,0.15613840078003705,35.29477981082164,181.85685379989445,21.065781363957548,feasibility,not_applicable,-0.0010233096257653287,0.010029410017073475,0.6476713249119379,-0.002485317561114507,0.0007620010918046358,0.006410124531436351,0.9994174261246959,0.2091060060687283,0.04838709677419355,0.8851044178009033,0.2944340407848358,0.29908624291419983,0.10914025455713272,0.14528439939022064,0.1852937638759613,0.23394690454006195,0.7640363574028015,0.0001,0.24975614249706268,0.2505381107330322,0.24992792308330536,0.24977779388427734,0.9999999701976776,1.3862935427529637,3.999996726533632,0.3309031128883362,0.3306604027748108,0.338436484336853,1.0,1.0985537971137553,2.9998245304687297,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.33368998765945435,0.33390194177627563,0.3324081301689148,1.0000000596046448,1.0986103339216382,2.999994135766317,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5010393857955933,0.501327395439148
4,60,79,20,20,5851,5851,0,0.0,5851,0,0.0,0,100.47875640005805,73.21559340064414,0.1460775996092707,39.043255595956,174.22360879997723,21.299416172625108,feasibility,not_applicable,-0.00258818788089506,0.006092489512925765,0.6679024649379046,-0.006220967655637018,0.002231778738622898,0.02762995672452709,0.9987940373628036,0.22101105753656314,0.043478260869565216,1.1618903875350952,0.46651628613471985,0.29082202911376953,0.12161645293235779,0.09498659521341324,0.3448998034000397,0.25590577721595764,0.8933231830596924,0.0001,0.24945689737796783,0.25051870942115784,0.24992884695529938,0.25009551644325256,0.9999999701976776,1.3862931931407838,3.999995328086301,0.3305715024471283,0.3297099173069,0.3397185504436493,0.9999999701976776,1.0985202772722877,2.99972397851129,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.33374249935150146,0.3341003954410553,0.33215707540512085,0.9999999701976776,1.098609074986913,2.999990358971902,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5028266906738281,0.5014857649803162
5,80,99,20,20,5205,5205,0,0.0,5205,0,0.0,0,90.82577709993348,66.6434066996444,0.16790559911169112,33.03888830333017,160.26927779987454,20.729201545115654,feasibility,feasibility_best,-0.006097240691504828,0.0018384035230577334,0.6657323186717382,-0.01183536200835256,0.004181300642014277,0.06423762345277681,0.9982428808764714,0.2093730855097131,0.036585365853658534,1.2427022457122803,0.5991196632385254,0.3027399778366089,0.13439969718456268,0.05830841138958931,0.4647200107574463,0.2821602523326874,0.9629043340682983,0.0001,0.24939441680908203,0.2506457567214966,0.2498098760843277,0.2501499354839325,0.9999999850988388,1.3862926707575247,3.999993238556251,0.3304455578327179,0.32942938804626465,0.34012502431869507,0.9999999701976776,1.0985080642116838,2.999687342924262,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.33414512872695923,0.33419904112815857,0.3316558599472046,1.0000000298023224,1.0986059527140901,2.9999809921981577,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.50371253490448,0.5014944076538086
6,100,119,20,20,5638,5638,0,0.0,5638,0,0.0,0,97.42291390011087,71.89758800086565,0.14997830078937113,35.01507719233632,173.9162597001996,20.77842253734036,feasibility,not_applicable,-0.00618298529657755,0.004638767796647055,0.6198641805166609,-0.010062243595844908,0.003687168197481359,0.05495084269662921,0.9994337093294337,0.2477559315438351,0.05056179775280899,1.185296893119812,0.6624097228050232,0.3607533872127533,0.11638741940259933,0.0996190682053566,0.5460222959518433,0.3336166441440582,0.9237457513809204,0.0001,0.24914371967315674,0.2504062354564667,0.2500585913658142,0.25039142370224,0.9999999701976776,1.3862922384918603,3.99999150949689,0.33044683933258057,0.32900112867355347,0.3405520021915436,0.9999999701976776,1.0984938714081875,2.9996447692533743,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.33449018001556396,0.3342059850692749,0.3313038945198059,1.0000000596046448,1.0986029576278138,2.9999720070097142,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5049471259117126,0.5014678835868835
7,120,139,20,20,5353,5353,0,0.0,5353,0,0.0,0,90.09703880012967,67.07253579911776,0.1521928997244686,31.309338290942833,168.27671279991046,20.718048822104763,feasibility,not_applicable,-0.004480820038311538,0.0018549457634522003,0.6128342884282271,-0.009681689895279262,0.003712369316157752,0.05114646845807632,1.0023062321401777,0.2590417284961967,0.041666666666666664,1.0717366933822632,0.7770013809204102,0.34197816252708435,0.12286293506622314,0.06852816790342331,0.6541383862495422,0.33703699707984924,0.9598448276519775,0.0001,0.2491030991077423,0.25052976608276367,0.2500551640987396,0.2503119707107544,1.0,1.3862919887656395,3.9999905105942517,0.32998761534690857,0.32859742641448975,0.3414149582386017,1.0,1.0984644510662809,2.999556519976833,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3344021737575531,0.3340245187282562,0.3315733075141907,1.0,1.0986052060199074,2.9999787521306387,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5061419010162354,0.5015550851821899
8,140,159,20,20,4456,4456,0,0.0,4456,0,0.0,0,75.20852069999091,54.71655830089003,0.16782719967886806,25.406483703060076,135.14791189995594,21.18309359464354,feasibility,not_applicable,-0.0020476427328373703,0.00208107534937361,0.639109867811203,-0.0073982042626344734,0.002397401409689337,0.027946428582072257,1.0001931092568805,0.27146335036626884,0.05,1.1525764465332031,0.9517922401428223,0.3614341914653778,0.12801510095596313,0.08740497380495071,0.8237770795822144,0.3589244484901428,0.9415191411972046,0.0001,0.2491975724697113,0.2507747411727905,0.2500893771648407,0.24993829429149628,0.9999999850988388,1.3862918434036517,3.999989929147722,0.32935717701911926,0.3283260464668274,0.34231677651405334,1.0,1.0984306996266098,2.9994552823343765,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3343466818332672,0.33405542373657227,0.3315979242324829,1.0000000298023224,1.098605445967797,2.9999794719692954,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.506737470626831,0.5018043518066406
9,160,179,20,20,4387,4387,0,0.0,4387,0,0.0,0,74.36619420000352,55.78379230038263,0.14815380075015128,24.242426401004195,134.28308590012603,21.025713570134076,feasibility,not_applicable,-0.002557554383478735,0.0019765609877008565,0.6287343633779581,-0.007856617755917967,0.0025001749020083334,0.029305771222689014,1.000401171653167,0.2937319540027259,0.07971014492753623,0.998682975769043,1.0549832582473755,0.29093095660209656,0.11926411837339401,0.083083875477314,0.9357191920280457,0.3055785894393921,0.9184443950653076,0.0001,0.2491523027420044,0.250779390335083,0.25022974610328674,0.24983860552310944,1.0000000447034836,1.3862915683003236,3.9999888287373317,0.32932791113853455,0.327930212020874,0.34274181723594666,0.9999999403953552,1.0984125441446022,2.999400826272305,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3341570794582367,0.3342580795288086,0.3315849006175995,1.0000000596046448,1.0986054024339997,2.9999793413688005,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.507692277431488,0.5019266605377197
10,180,199,20,20,3830,3830,0,0.0,3830,0,0.0,0,64.95332209998742,47.73303769831546,0.1590469004586339,20.36597460275516,116.40279319998808,21.118670267417873,feasibility,not_applicable,-0.0014446846946763495,0.007258171699262069,0.6223923938969771,-0.0040395232460772,0.0029224886811183145,0.03290895062188307,1.000865160425504,0.3420993556578954,0.15,1.7061587572097778,1.2008577585220337,0.29655909538269043,0.09791966527700424,0.1267414689064026,1.1029380559921265,0.2870382070541382,0.8173519372940063,0.0001,0.24917466938495636,0.25081226229667664,0.25018712878227234,0.24982598423957825,1.0000000447034836,1.3862915658384585,3.9999888188898987,0.3294885456562042,0.3279353678226471,0.34257611632347107,1.0000000298023224,1.0984191120594844,2.999420526146323,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3340316712856293,0.33441799879074097,0.33155032992362976,1.0,1.0986050176498237,2.999978187024443,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5081011652946472,0.5025217533111572
