episode,single_objective_target,window_size,window_statistic,window_episodes,window_objective_values,window_objective_statistic,candidate_anchor_value,validation_manifest_sha256,audit_event,audit_decision_reason,audit_instance_count,audit_completed_count,audit_failed_instance_count,audit_completion_rate,audit_truncated_count,audit_schedule_violation_count,audit_physical_safety_pass,audit_completion_pass,audit_violation_pass,audit_safety_pass,audit_objective_pass,audit_single_objective_value,audit_pass,audit_window_median,audit_candidate_rank,audit_previous_accepted_rank,audit_accepted_rank,accepted_checkpoint_episode
160,flow,5,median,"[80, 100, 120, 140, 160]","[1162.16, 1154.3500000000001, 1125.306, 1179.626, 1091.126]",1154.3500000000001,1154.3500000000001,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,first_audit_pass,200,200,0,1.0,0,0,True,True,True,True,True,1078.305,True,1154.3500000000001,"[0, 1154.3500000000001]",,"[0, 1154.3500000000001]",160
180,flow,5,median,"[100, 120, 140, 160, 180]","[1154.3500000000001, 1125.306, 1179.626, 1091.126, 1150.652]",1150.652,1150.652,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,1135.747,True,1150.652,"[2, 1150.652]","[0, 1154.3500000000001]","[0, 1154.3500000000001]",160
320,flow,5,median,"[240, 260, 280, 300, 320]","[1132.524, 1101.112, 1102.7939999999999, 1128.06, 1095.9820000000002]",1102.7939999999999,1102.7939999999999,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,1066.9085,True,1102.7939999999999,"[2, 1102.7939999999999]","[0, 1154.3500000000001]","[0, 1154.3500000000001]",160
340,flow,5,median,"[260, 280, 300, 320, 340]","[1101.112, 1102.7939999999999, 1128.06, 1095.9820000000002, 1078.0819999999999]",1101.112,1101.112,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,1045.528,True,1101.112,"[1, 1101.112]","[0, 1154.3500000000001]","[0, 1154.3500000000001]",160
360,flow,5,median,"[280, 300, 320, 340, 360]","[1102.7939999999999, 1128.06, 1095.9820000000002, 1078.0819999999999, 1078.5819999999999]",1095.9820000000002,1095.9820000000002,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,1046.479,True,1095.9820000000002,"[1, 1095.9820000000002]","[0, 1154.3500000000001]","[0, 1154.3500000000001]",160
380,flow,5,median,"[300, 320, 340, 360, 380]","[1128.06, 1095.9820000000002, 1078.0819999999999, 1078.5819999999999, 1092.152]",1092.152,1092.152,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,1054.1365,True,1092.152,"[1, 1092.152]","[0, 1154.3500000000001]","[0, 1154.3500000000001]",160
400,flow,5,median,"[320, 340, 360, 380, 400]","[1095.9820000000002, 1078.0819999999999, 1078.5819999999999, 1092.152, 1083.874]",1083.874,1083.874,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,1050.5765000000001,True,1083.874,"[0, 1083.874]","[0, 1154.3500000000001]","[0, 1083.874]",400
680,flow,5,median,"[600, 620, 640, 660, 680]","[1087.4620000000002, 1088.288, 1083.134, 1083.728, 1082.402]",1083.728,1083.728,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,1042.796,True,1083.728,"[0, 1083.728]","[0, 1083.874]","[0, 1083.728]",680
760,flow,5,median,"[680, 700, 720, 740, 760]","[1082.402, 1087.9840000000002, 1084.762, 1081.2800000000002, 1081.4940000000001]",1082.402,1082.402,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,1043.236,True,1082.402,"[0, 1082.402]","[0, 1083.728]","[0, 1082.402]",760
780,flow,5,median,"[700, 720, 740, 760, 780]","[1087.9840000000002, 1084.762, 1081.2800000000002, 1081.4940000000001, 1080.738]",1081.4940000000001,1081.4940000000001,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,1049.415,True,1081.4940000000001,"[1, 1081.4940000000001]","[0, 1082.402]","[0, 1082.402]",760
