update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,preference_stage,e2_7_safety_replay_pass,e2_7_safety_replay_rollback,failure_reason,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,counterfactual_loss,counterfactual_eligible_count,counterfactual_control_evaluated_state_count,counterfactual_high_flow_commit_flip_count,counterfactual_high_flow_commit_flip_rate,counterfactual_state_scale_mean,counterfactual_state_scale_max,counterfactual_low_flow_identity_violation_count,counterfactual_monotonicity_violation_count,counterfactual_flow_cost_flip_count,counterfactual_flow_cost_flip_rate,counterfactual_flow_variance_flip_count,counterfactual_flow_variance_flip_rate,counterfactual_coefficient_mean,counterfactual_gate_loss,production_pair_loss,production_pair_eligible_count,production_pair_control_evaluated_state_count,production_pair_correct_count,production_pair_correct_rate,worker_variance_loss,worker_variance_eligible_count,worker_variance_control_evaluated_state_count,worker_variance_correct_count,worker_variance_correct_rate,canonical_teacher_kl,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,19,20,20,3745,3745,0,0.0,3745,0,0.0,0,45.56571309999708,27.423180499965383,0.2133305999886943,20.77728540011958,46.471715399999084,40.689967777621646,feasibility,,,False,,feasibility_best,-0.003588301666333514,0.00996450018690173,0.4712608080294173,-0.003318659779694626,0.003492417824711114,0.031623170284901636,1.000300426604384,0.3590967147532156,0.19491525423728814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2414615154266357,0.24703985452651978,0.2054884284734726,0.20035216212272644,0.18332098424434662,0.046687688678503036,0.04331503435969353,0.20411622524261475,0.0001,-0.3007369637489319,-0.30094853043556213,-0.20110782980918884,-0.20060639083385468,-0.2006407231092453,0.30097126960754395,-0.2999088168144226,-0.29970642924308777,-0.20028531551361084,-0.19993731379508972,-0.19975437223911285,0.017959732562303543,0.11957773566246033,0.01798621006309986,0.1193346306681633
2,20,39,20,20,4394,4394,0,0.0,4394,0,0.0,0,53.60962980000113,30.27220729998953,0.2088789000044926,27.89478369993958,55.27422899999874,40.354925407915516,feasibility,,,False,,not_applicable,-0.0001874459583474242,0.010003751144656722,0.46408762253712915,0.00017355407412717307,0.002689639295356861,0.03336352660604145,0.9987059054167374,0.44801623174461763,0.3188405797101449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6786023378372192,0.4011661112308502,0.2759026288986206,0.15950360894203186,0.12461601942777634,0.24166248738765717,0.20124603807926178,0.7959972023963928,0.0001,-0.3010861277580261,-0.3016330599784851,-0.20177215337753296,-0.2011098861694336,-0.20105698704719543,0.3016670346260071,-0.300203800201416,-0.29970693588256836,-0.2000003606081009,-0.20014306902885437,-0.19994769990444183,0.017893295735120773,0.12020676583051682,0.01798621006309986,0.11965163797140121
3,40,59,20,20,4445,4445,0,0.0,4445,0,0.0,0,65.36305179999908,30.564744700004667,0.18502360000638873,35.4851737001045,57.48034220000045,36.18428191588403,feasibility,,,False,,phase_transition,0.0012992685893550514,0.014578455367258616,0.4725616529583931,0.0038628801088114936,0.001787340553710237,0.025180880539119245,0.9996918533529554,0.40683489162474873,0.2642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6054599285125732,0.5584815740585327,0.34333139657974243,0.13864600658416748,0.15052436292171478,0.4198355972766876,0.29101014137268066,0.8077853322029114,0.0001,-0.3012729585170746,-0.3020392954349518,-0.20197993516921997,-0.20140711963176727,-0.2013223022222519,0.30163636803627014,-0.2999183237552643,-0.2999657690525055,-0.19975759088993073,-0.19998864829540253,-0.20020608603954315,0.01789003610610962,0.12055735290050507,0.01798621006309986,0.11972883343696594
4,60,79,20,20,4325,4325,0,0.0,4325,0,0.0,0,60.267101000001276,28.443479599995044,0.2071168000002217,25.838693700152362,56.59392579999985,37.009772363218346,quality,,,False,,pending,-0.0009920747663058778,0.0032101700190276675,0.47958916973541765,-0.004182881131247782,0.0015370125218075426,0.018550029818845147,0.9995513028081726,0.34677261629087086,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3361815214157104,0.75396329164505,0.3170087933540344,0.13288582861423492,0.0745355412364006,0.6210774779319763,0.3036523759365082,0.9447179436683655,0.0001,-0.3007321357727051,-0.30374109745025635,-0.20306305587291718,-0.2026311755180359,-0.20239490270614624,0.3018510043621063,-0.29937610030174255,-0.3002406656742096,-0.20007357001304626,-0.19979606568813324,-0.20038747787475586,0.017932135611772537,0.12164799124002457,0.01798621006309986,0.11946285516023636
5,80,99,20,20,4063,4063,0,0.0,4063,0,0.0,0,54.57570379999743,28.725727399993048,0.2233578999985184,26.237833499923,49.90526419999878,38.88746513145004,quality,,,False,,pending,-0.0005477607919601724,0.0027273391551716486,0.4962339550256729,-0.004146430257605971,0.00260139872898435,0.0321044921875,1.001369122415781,0.3836760611156933,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4732528924942017,0.8591181039810181,0.31500113010406494,0.12817491590976715,0.0704525038599968,0.7309432029724121,0.30782389640808105,0.9499771595001221,0.0001,-0.3003683090209961,-0.3050152063369751,-0.20397278666496277,-0.20355378091335297,-0.20329636335372925,0.3027913272380829,-0.2998492121696472,-0.3006126880645752,-0.1997414082288742,-0.20010413229465485,-0.20078258216381073,0.018024830147624016,0.1230301782488823,0.01798621006309986,0.11963555961847305
6,100,119,20,20,4696,4696,0,0.0,4696,0,0.0,0,67.48309510000036,34.48447129999113,0.22245310000289464,39.336248899828206,58.29366239999945,37.33599190613582,quality,,,False,,pending,5.7859409197762205e-05,0.007084401459684847,0.4750934049889848,-0.001150872970528498,0.0010978537485808939,0.01171875,1.000401090528514,0.36077159824403554,0.20270270270270271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3076698780059814,0.9143256545066833,0.37541866302490234,0.10549808293581009,0.11275100708007812,0.8088274598121643,0.36712756752967834,0.9097994565963745,0.0001,-0.3001183271408081,-0.3058757483959198,-0.20464801788330078,-0.20416712760925293,-0.20394007861614227,0.3035353124141693,-0.29941555857658386,-0.3007027506828308,-0.1996605396270752,-0.19980624318122864,-0.20078234374523163,0.01808290183544159,0.12379378825426102,0.01798621006309986,0.11971305310726166
7,120,139,20,20,4507,4507,0,0.0,4507,0,0.0,0,61.62834389999989,31.417737599978864,0.19021439999414724,32.71110430006229,59.602724299998954,37.17693877418167,quality,,,False,,pending,-0.0013153150310398827,0.0059920099369597845,0.5017676456293589,-0.003336986367800601,0.0022095270638524647,0.02558114893839393,0.999141404326533,0.31385521994720045,0.11971830985915492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1517733335494995,1.0391465425491333,0.313995361328125,0.0948386937379837,0.12004438787698746,0.944307804107666,0.3200036883354187,0.8538370728492737,0.0001,-0.2996521294116974,-0.30629873275756836,-0.20487841963768005,-0.20446237921714783,-0.20417772233486176,0.30372774600982666,-0.2993195056915283,-0.3004942834377289,-0.19962003827095032,-0.19971604645252228,-0.20076368749141693,0.018151523545384407,0.12398328632116318,0.01798621006309986,0.12001490592956543
8,140,159,20,20,3990,3990,0,0.0,3990,0,0.0,0,57.09195700000055,26.102815599992027,0.19988900000680587,32.761507399816765,52.23947799999951,36.49453608653356,quality,,,False,,accepted_98,0.0017586772640546162,0.0024713373078691166,0.5706953943248779,-0.002712608996911773,0.0019312774797620635,0.02379825037150156,1.0007809102535248,0.38061931752969347,0.1984126984126984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.267978310585022,1.1721218824386597,0.32201388478279114,0.09187263250350952,0.08495345711708069,1.0802494287490845,0.3405810594558716,0.9303994178771973,0.0001,-0.2991986870765686,-0.3076028525829315,-0.20582930743694305,-0.20537757873535156,-0.20500516891479492,0.3036995530128479,-0.29922232031822205,-0.30033770203590393,-0.19927935302257538,-0.19959405064582825,-0.20065926015377045,0.01803678460419178,0.1245279312133789,0.01798621006309986,0.11955505609512329
9,160,179,20,20,4191,4191,0,0.0,4191,0,0.0,0,51.52805399999852,28.616335200011235,0.22337479999987409,29.651051500128233,52.525542600000335,40.27731992879568,quality,,,False,,not_promoted,-0.00019849862226031044,0.0017979760666617728,0.5194316176754056,-0.0044938272172161805,0.0017584196581138353,0.02166193181818182,1.0003917221770142,0.3513655739864617,0.23484848484848486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8878042101860046,1.2294870615005493,0.26463568210601807,0.07119294255971909,0.06995490193367004,1.1582940816879272,0.27547675371170044,0.9301221370697021,0.0001,-0.2990269362926483,-0.3081539571285248,-0.2065626084804535,-0.20576569437980652,-0.205364391207695,0.3038296699523926,-0.2993263900279999,-0.30045148730278015,-0.19926103949546814,-0.19979991018772125,-0.20093192160129547,0.01805919036269188,0.12502293288707733,0.01798621006309986,0.11948876082897186
10,180,199,20,20,3701,3701,0,0.0,3701,0,0.0,0,40.66229940000267,24.523418199973094,0.2343931999967026,25.940425400058302,45.94058170000062,42.7352987913454,quality,,,False,,not_promoted,-0.0005316262550908944,0.008444059013935,0.548161438826857,-0.001791211439232374,0.001643094258254458,0.016191749351805652,1.0005382494679813,0.4058592578331972,0.28448275862068967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1980308294296265,1.3313512802124023,0.2911608815193176,0.043608952313661575,0.11537742614746094,1.2877424955368042,0.27233171463012695,0.8429725170135498,0.0001,-0.29926565289497375,-0.3086749315261841,-0.2069503217935562,-0.20612382888793945,-0.20576782524585724,0.30432599782943726,-0.29952743649482727,-0.30058571696281433,-0.19933302700519562,-0.19999423623085022,-0.20063911378383636,0.0180553887039423,0.12525583803653717,0.01798621006309986,0.11958155781030655
