update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_flow_processing_time_norm,policy_head_weight_production_flow_reconfiguration_time_norm,policy_head_weight_production_flow_predicted_finish_time_norm,policy_head_weight_production_flow_horizon_slack_norm,policy_head_weight_sum_production_flow,policy_head_weight_entropy_production_flow,policy_head_effective_feature_count_production_flow,policy_head_weight_production_cost_fixed_reconfiguration_cost_norm,policy_head_weight_production_cost_estimated_labor_cost_norm,policy_head_weight_production_cost_estimated_downtime_cost_norm,policy_head_weight_sum_production_cost,policy_head_weight_entropy_production_cost,policy_head_effective_feature_count_production_cost,policy_head_weight_production_variance_estimated_worker_load_variance_delta_norm,policy_head_weight_sum_production_variance,policy_head_weight_entropy_production_variance,policy_head_effective_feature_count_production_variance,policy_head_weight_worker_flow_stage_duration_norm,policy_head_weight_sum_worker_flow,policy_head_weight_entropy_worker_flow,policy_head_effective_feature_count_worker_flow,policy_head_weight_worker_cost_fixed_cost_norm,policy_head_weight_worker_cost_incremental_labor_cost_norm,policy_head_weight_worker_cost_incremental_downtime_cost_norm,policy_head_weight_sum_worker_cost,policy_head_weight_entropy_worker_cost,policy_head_effective_feature_count_worker_cost,policy_head_weight_worker_variance_incremental_load_variance_norm,policy_head_weight_sum_worker_variance,policy_head_weight_entropy_worker_variance,policy_head_effective_feature_count_worker_variance,policy_head_weight_production_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_production_wait_flow,policy_head_weight_entropy_production_wait_flow,policy_head_effective_feature_count_production_wait_flow,policy_head_weight_production_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_production_wait_cost,policy_head_weight_entropy_production_wait_cost,policy_head_effective_feature_count_production_wait_cost,policy_head_weight_production_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_production_wait_variance,policy_head_weight_entropy_production_wait_variance,policy_head_effective_feature_count_production_wait_variance,policy_head_weight_worker_wait_flow_estimated_flow_objective_delta_if_wait,policy_head_weight_sum_worker_wait_flow,policy_head_weight_entropy_worker_wait_flow,policy_head_effective_feature_count_worker_wait_flow,policy_head_weight_worker_wait_cost_estimated_cost_objective_delta_if_wait,policy_head_weight_sum_worker_wait_cost,policy_head_weight_entropy_worker_wait_cost,policy_head_effective_feature_count_worker_wait_cost,policy_head_weight_worker_wait_variance_estimated_load_variance_delta_if_wait,policy_head_weight_sum_worker_wait_variance,policy_head_weight_entropy_worker_wait_variance,policy_head_effective_feature_count_worker_wait_variance,policy_head_gate_production_residual,policy_head_gate_worker_residual,rollback_checkpoint,rollback_discarded_transitions
1,0,19,20,20,5410,5410,0,0.0,5410,0,0.0,0,88.58874509995803,63.50439589982852,0.032391999615356326,37.427053096471354,164.22573920013383,21.39909038430847,feasibility,not_applicable,0.0001453526722102919,0.02350159106666551,0.6869974301141851,0.005026173824444413,3.867556551861472e-05,0.0,0.9997899935526007,0.23347045314662596,0.03529411764705882,1.0178202390670776,0.04693404212594032,0.20437468588352203,0.12136909365653992,0.18473756313323975,-0.0744350478053093,0.049699313938617706,0.18293577432632446,0.0001,0.2500225007534027,0.2504113018512726,0.249736949801445,0.2498292475938797,1.0,1.3862938251888939,3.9999978562765874,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5015069842338562,0.5009516477584839,,
2,20,39,20,20,5976,5976,0,0.0,5976,0,0.0,0,100.75827659992501,72.87883669999428,0.04587419982999563,40.06420548749156,173.71444699983113,21.772655299308983,feasibility,not_applicable,-0.0017631493677246445,0.018289538881830634,0.6688385212675054,0.0006932348751046873,0.0015631990019291482,0.018921764191002288,0.9999908880984529,0.3150936149734449,0.13829787234042554,0.9358524680137634,0.13934607803821564,0.2375161498785019,0.1032370924949646,0.15781958401203156,0.036108989268541336,0.14266343414783478,0.5584951639175415,0.0001,0.2497190237045288,0.25060543417930603,0.24949206411838531,0.25018349289894104,1.0000000149011612,1.3862928927412153,3.999994126489611,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5015726685523987,0.5013054013252258,,
3,40,59,20,20,5942,5942,0,0.0,5942,0,0.0,0,98.30391440005042,72.92959370347671,0.03683869983069599,35.76519791432656,172.98758459999226,21.902639861188813,feasibility,not_applicable,-0.003069280206115656,0.005046419711703415,0.6262412140125869,-0.006808482110500336,0.002711550788252905,0.03354303564836261,1.000287918313857,0.2789109362870134,0.08602150537634409,1.1598734855651855,0.2904776334762573,0.277883917093277,0.12445411831140518,0.10513847321271896,0.16602353751659393,0.19922444224357605,0.8568482995033264,0.0001,0.24937865138053894,0.2505914270877838,0.24958519637584686,0.25044479966163635,1.000000074505806,1.3862921783177744,3.9999912688010646,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5032639503479004,0.5017412304878235,,
4,60,79,20,20,5399,5399,0,0.0,5399,0,0.0,0,89.9594483000692,65.88594739767723,0.034872500225901604,33.5749092916958,159.42074010008946,21.649674878489925,feasibility,not_applicable,-0.004949876359280418,0.005495805037892697,0.598244966303601,-0.008184423266143045,0.0031079339692095184,0.04527253837269895,1.0010240042910856,0.2879341136006748,0.08235294117647059,1.2474051713943481,0.45115533471107483,0.31489941477775574,0.13338549435138702,0.09434634447097778,0.3177697956562042,0.2682724595069885,0.9102351069450378,0.0001,0.24915984272956848,0.2506358325481415,0.24945662915706635,0.2507476508617401,0.9999999552965164,1.386290414874317,3.9999842150488507,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5041486620903015,0.5016658902168274,,
5,80,99,20,20,4962,4962,0,0.0,4962,0,0.0,0,82.16160029987805,60.082430199254304,0.03662500064820051,30.036699105985463,146.12350340001285,21.735978036145383,feasibility,feasibility_best,-0.004565630914070285,0.0024917664357837145,0.6091200042611513,-0.009410947913495012,0.0031067368392354976,0.03921568627731922,0.9999002073055658,0.2719576499209954,0.07051282051282051,1.3302451372146606,0.634895384311676,0.3209652006626129,0.14005495607852936,0.06966254860162735,0.49484044313430786,0.3039354681968689,0.9528933167457581,0.0001,0.2489728182554245,0.2505910396575928,0.24934424459934235,0.251091867685318,0.9999999701976776,1.386288296731196,3.999975742518775,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5054537057876587,0.5018576979637146,,
6,100,119,20,20,5474,5474,0,0.0,5474,0,0.0,0,90.11324019986205,66.73024170170538,0.03700290061533451,32.255752708762884,164.93992370017804,21.462192102605552,feasibility,not_applicable,-0.0031618025901099275,0.00498894747105687,0.560581914907278,-0.006273147606745709,0.002290179781063438,0.027381155964766823,1.0004395409378894,0.25284523750806964,0.0755813953488372,1.0897878408432007,0.6769894361495972,0.37370234727859497,0.12351430952548981,0.10022131353616714,0.5534751415252686,0.3512987494468689,0.9280768632888794,0.0001,0.24878452718257904,0.2505411207675934,0.249136820435524,0.2515375018119812,0.9999999701976776,1.3862845948203417,3.999960934992565,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5070984363555908,0.5020855069160461,,
7,120,139,20,20,4967,4967,0,0.0,4967,0,0.0,0,82.49359510000795,61.4168099029921,0.04339570039883256,28.200020196381956,146.35108829988167,21.70467727808439,feasibility,not_applicable,-0.0013369322718622594,0.0038546785415233807,0.5554573847315251,-0.0049641667432390535,0.002079544575864043,0.027135724870440286,1.0001207043727238,0.28029350575823814,0.09615384615384616,1.0016875267028809,0.8055114150047302,0.351759135723114,0.12407826632261276,0.10048061609268188,0.6814331412315369,0.3431757092475891,0.9184030890464783,0.0001,0.2486618161201477,0.25054341554641724,0.2490883618593216,0.25170645117759705,1.0000000447034836,1.3862827253980479,3.999953457383408,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5080555081367493,0.5018754005432129,,
8,140,159,20,20,4300,4300,0,0.0,4300,0,0.0,0,71.98848879989237,53.57900700159371,0.04222630080766976,22.566088187741116,126.7499410000164,21.63647969005929,feasibility,not_applicable,0.0010136814157971565,0.0023848494383855723,0.5626032093868536,-0.003419926042517866,0.0025698258986641817,0.027956495116300443,1.0003314780838348,0.3479749711559099,0.15441176470588236,1.0919935703277588,1.0203053951263428,0.36676526069641113,0.12873278558254242,0.09344645589590073,0.8915726542472839,0.3750320374965668,0.935084342956543,0.0001,0.24834765493869781,0.25027182698249817,0.24926626682281494,0.2521142065525055,0.9999999552965164,1.3862787311386529,3.999937480563639,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5091689825057983,0.5021651983261108,,
9,160,179,20,20,4395,4395,0,0.0,4395,0,0.0,0,71.48496680008247,53.317844399949536,0.03458809992298484,22.488155187573284,131.20563219999894,21.68329474421374,feasibility,not_applicable,-0.0004357207377535709,0.0016760910503512275,0.4915766541076743,-0.004513441412912115,0.0013020508614726418,0.012510005897585896,1.0010486301304637,0.2796567633100178,0.08695652173913043,1.0463619232177734,1.0972037315368652,0.27146780490875244,0.1105622798204422,0.07600193470716476,0.9866414070129395,0.2853158712387085,0.9216187000274658,0.0001,0.24826890230178833,0.2502036690711975,0.24938520789146423,0.25214219093322754,0.9999999701976776,1.386278350967417,3.9999359599027526,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5100269913673401,0.5024585127830505,,
10,180,199,20,20,3985,3985,0,0.0,3985,0,0.0,0,65.55561009980738,48.6353873971384,0.039432600839063525,20.85645979945548,115.77732390002348,21.976151337206716,feasibility,not_applicable,-0.002286770632342687,0.0014034050966276685,0.49776702078561935,-0.006562738252493243,0.002671610534427658,0.025334092004904673,1.0001768422505213,0.29831536066910574,0.0873015873015873,0.9401726722717285,1.278133511543274,0.26414012908935547,0.0919666588306427,0.08541515469551086,1.1861670017242432,0.272765189409256,0.895431399345398,0.0001,0.24826054275035858,0.25024136900901794,0.24952258169651031,0.25197550654411316,1.0,1.3862799382114892,3.999942308782433,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.3333333432674408,0.3333333432674408,0.3333333432674408,1.0000000298023224,1.0986122916069845,3.0000000088166243,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.5107118487358093,0.5033414363861084,,
