episode,single_objective_target,window_size,window_statistic,window_episodes,window_objective_values,window_objective_statistic,candidate_anchor_value,validation_manifest_sha256,audit_event,audit_decision_reason,audit_instance_count,audit_completed_count,audit_failed_instance_count,audit_completion_rate,audit_truncated_count,audit_schedule_violation_count,audit_physical_safety_pass,audit_completion_pass,audit_violation_pass,audit_safety_pass,audit_objective_pass,audit_single_objective_value,audit_pass,audit_window_median,audit_candidate_rank,audit_previous_accepted_rank,audit_accepted_rank,accepted_checkpoint_episode
160,variance,5,median,"[80, 100, 120, 140, 160]","[7.790794444444446, 6.655555555555557, 6.412705555555557, 5.821872222222223, 5.28363888888889]",6.412705555555557,6.412705555555557,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,first_audit_pass,200,200,0,1.0,0,0,True,True,True,True,True,5.175590277777778,True,6.412705555555557,"[0, 6.412705555555557]",,"[0, 6.412705555555557]",160
180,variance,5,median,"[100, 120, 140, 160, 180]","[6.655555555555557, 6.412705555555557, 5.821872222222223, 5.28363888888889, 4.401000000000001]",5.821872222222223,5.821872222222223,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,5.367058333333334,True,5.821872222222223,"[0, 5.821872222222223]","[0, 6.412705555555557]","[0, 5.821872222222223]",180
200,variance,5,median,"[120, 140, 160, 180, 200]","[6.412705555555557, 5.821872222222223, 5.28363888888889, 4.401000000000001, 5.2935]",5.2935,5.2935,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,5.0228583333333345,True,5.2935,"[1, 5.2935]","[0, 5.821872222222223]","[0, 5.821872222222223]",180
220,variance,5,median,"[140, 160, 180, 200, 220]","[5.821872222222223, 5.28363888888889, 4.401000000000001, 5.2935, 4.670444444444445]",5.28363888888889,5.28363888888889,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,4.945176388888889,True,5.28363888888889,"[1, 5.28363888888889]","[0, 5.821872222222223]","[0, 5.821872222222223]",180
240,variance,5,median,"[160, 180, 200, 220, 240]","[5.28363888888889, 4.401000000000001, 5.2935, 4.670444444444445, 5.2479000000000005]",5.2479000000000005,5.2479000000000005,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,5.214955555555556,True,5.2479000000000005,"[0, 5.2479000000000005]","[0, 5.821872222222223]","[0, 5.2479000000000005]",240
260,variance,5,median,"[180, 200, 220, 240, 260]","[4.401000000000001, 5.2935, 4.670444444444445, 5.2479000000000005, 5.222577777777778]",5.222577777777778,5.222577777777778,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,5.0284,True,5.222577777777778,"[1, 5.222577777777778]","[0, 5.2479000000000005]","[0, 5.2479000000000005]",240
420,variance,5,median,"[340, 360, 380, 400, 420]","[4.683816666666667, 5.315822222222223, 4.766716666666667, 4.981555555555556, 3.889050000000001]",4.766716666666667,4.766716666666667,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,4.240980555555556,True,4.766716666666667,"[2, 4.766716666666667]","[0, 5.2479000000000005]","[0, 5.2479000000000005]",240
460,variance,5,median,"[380, 400, 420, 440, 460]","[4.766716666666667, 4.981555555555556, 3.889050000000001, 3.936388888888889, 4.355005555555556]",4.355005555555556,4.355005555555556,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,199,1,0.995,1,0,True,True,True,True,True,4.4157875,True,4.355005555555556,"[1, 4.355005555555556]","[0, 5.2479000000000005]","[0, 5.2479000000000005]",240
480,variance,5,median,"[400, 420, 440, 460, 480]","[4.981555555555556, 3.889050000000001, 3.936388888888889, 4.355005555555556, 3.850816666666667]",3.936388888888889,3.936388888888889,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,4.0909,True,3.936388888888889,"[0, 3.936388888888889]","[0, 5.2479000000000005]","[0, 3.936388888888889]",480
500,variance,5,median,"[420, 440, 460, 480, 500]","[3.889050000000001, 3.936388888888889, 4.355005555555556, 3.850816666666667, 3.8563500000000004]",3.889050000000001,3.889050000000001,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,4.378806944444445,True,3.889050000000001,"[0, 3.889050000000001]","[0, 3.936388888888889]","[0, 3.889050000000001]",500
540,variance,5,median,"[460, 480, 500, 520, 540]","[4.355005555555556, 3.850816666666667, 3.8563500000000004, 3.944205555555556, 3.8867499999999997]",3.8867499999999997,3.8867499999999997,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,4.309333333333333,True,3.8867499999999997,"[0, 3.8867499999999997]","[0, 3.889050000000001]","[0, 3.8867499999999997]",540
1080,variance,5,median,"[1000, 1020, 1040, 1060, 1080]","[3.946761111111112, 4.075555555555557, 3.5677166666666675, 3.6356611111111117, 3.7580333333333344]",3.7580333333333344,3.7580333333333344,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,accepted,audit_rank_improved,200,200,0,1.0,0,0,True,True,True,True,True,4.0355194444444455,True,3.7580333333333344,"[0, 3.7580333333333344]","[0, 3.8867499999999997]","[0, 3.7580333333333344]",1080
1120,variance,5,median,"[1040, 1060, 1080, 1100, 1120]","[3.5677166666666675, 3.6356611111111117, 3.7580333333333344, 4.015222222222223, 3.5124666666666684]",3.6356611111111117,3.6356611111111117,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,3.764027777777778,True,3.6356611111111117,"[2, 3.6356611111111117]","[0, 3.7580333333333344]","[0, 3.7580333333333344]",1080
1160,variance,5,median,"[1080, 1100, 1120, 1140, 1160]","[3.7580333333333344, 4.015222222222223, 3.5124666666666684, 3.1115611111111114, 3.4936611111111113]",3.5124666666666684,3.5124666666666684,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_rejected,audit_completion_below_98,200,195,5,0.975,5,0,True,False,True,True,True,3.812433333333334,False,3.5124666666666684,"[5, 3.5124666666666684]","[0, 3.7580333333333344]","[0, 3.7580333333333344]",1080
1200,variance,5,median,"[1120, 1140, 1160, 1180, 1200]","[3.5124666666666684, 3.1115611111111114, 3.4936611111111113, 4.349605555555556, 3.025466666666667]",3.4936611111111113,3.4936611111111113,75a8861d58c8349bc5a923b4a9f405790af6b38a49895b9384efdd054c583b2d,audit_passed_not_accepted,audit_rank_not_improved,200,198,2,0.99,2,0,True,True,True,True,True,3.6155125000000004,True,3.4936611111111113,"[2, 3.4936611111111113]","[0, 3.7580333333333344]","[0, 3.7580333333333344]",1080
