update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale,policy_head_preference_action_scale_production,policy_head_preference_action_scale_worker
1,0,9,10,10,2133,2133,0,0.0,2133,0,0.0,0,18.039991799996642,9.411928799912857,1.8219850000095903,7.5285389002092415,19.221691799997643,57.243790240340275,feasibility,not_applicable,0.002182855928207145,0.035775536191923654,0.9177271145231584,0.010893352952895357,1.0436294634446848e-05,0.0,1.0000073822105633,0.5711690733099685,0.45588235294117646,2.5571136474609375,-0.1981038749217987,0.25634998083114624,0.1763039380311966,0.2743694484233856,-0.3744077682495117,0.051272761076688766,-0.14552605152130127,0.0001,-0.2998790144920349,-0.29991036653518677,-0.19996698200702667,-0.19997082650661469,-0.1999790072441101,0.2997673749923706,-0.300327867269516,-0.30033108592033386,-0.19987079501152039,-0.2001873254776001,-0.20048627257347107,0.01798621006309986,0.1191914826631546,0.01798621006309986,0.11940937489271164,0.0,1.499595284461975,1.0010966062545776
2,10,19,10,10,1505,1505,0,0.0,1505,0,0.0,0,12.65977820000262,6.281765599982464,1.6678356999982498,6.090590399893699,11.552233599999454,62.15922957710896,feasibility,feasibility_best,0.0012064466330533226,0.04906771762762219,0.8667505408326784,0.017072799790184945,4.087152016533461e-05,0.0,0.9999835217992464,0.5435553506637613,0.4791666666666667,1.579342007637024,0.0162959061563015,0.3369395434856415,0.14489160478115082,0.25252366065979004,-0.12859569489955902,0.1762872338294983,0.43830543756484985,0.0001,-0.29978078603744507,-0.30024877190589905,-0.2002733200788498,-0.2002061903476715,-0.20018349587917328,0.2997186481952667,-0.3003096878528595,-0.3002159297466278,-0.1999439001083374,-0.200166255235672,-0.20036208629608154,0.01798621006309986,0.11912176758050919,0.01798621006309986,0.11936426162719727,0.0,1.5001461505889893,1.000191330909729
3,20,29,10,10,1829,1829,0,0.0,1829,0,0.0,0,12.39382260000275,7.799389199972211,1.0572041999912472,4.464619099890115,14.666746000002604,67.58911932100489,feasibility,not_applicable,-0.0011956719681620598,0.035595188784445154,0.8182792663574219,0.008419129965377265,0.00025856555193654615,0.0,0.9999745251803562,0.7149520192680687,0.5689655172413793,2.0923526287078857,0.09276802837848663,0.3191487789154053,0.14965777099132538,0.2038322240114212,-0.05688972771167755,0.20879477262496948,0.5920946598052979,0.0001,-0.29960501194000244,-0.30026865005493164,-0.2003648430109024,-0.20021593570709229,-0.2001899778842926,0.2995724678039551,-0.2998966574668884,-0.2995459735393524,-0.19995740056037903,-0.1998937577009201,-0.20036348700523376,0.01798621006309986,0.11913543194532394,0.01798621006309986,0.11939209699630737,0.0,1.500430703163147,1.0001492500305176
4,30,39,10,10,2035,2035,0,0.0,2035,0,0.0,0,12.287870400003158,8.605680500040762,1.3690740000020014,3.841074099909747,16.68445210000209,70.23945008204404,feasibility,not_applicable,-0.0010849660320673138,0.018538673499278957,0.6791310249827802,0.0013930601344327442,3.113265285037414e-05,0.0,1.0002175020053983,0.5551525009796023,0.453125,2.2611138820648193,0.17314469814300537,0.3201008439064026,0.19656601548194885,0.16004730761051178,-0.023421311751008034,0.21736280620098114,0.7500097155570984,0.0001,-0.29939380288124084,-0.30012696981430054,-0.20042522251605988,-0.2001255750656128,-0.20018228888511658,0.29948338866233826,-0.29993751645088196,-0.2994687557220459,-0.20016086101531982,-0.19989998638629913,-0.2004009336233139,0.01798621006309986,0.11909651756286621,0.01798621006309986,0.11927931755781174,0.0,1.5003647804260254,1.0003794431686401
5,40,49,10,10,2182,2182,0,0.0,2182,0,0.0,0,12.609496700002637,9.448275799986732,2.4135724999941885,3.4637414998869644,18.107215999996697,71.03624731301561,feasibility,not_applicable,0.003681248679224934,0.014782706999851923,0.7193046391010285,0.003879555833659002,0.0003176792213967669,0.0,1.0004558520657676,0.6044450006314687,0.4714285714285714,2.2483158111572266,0.37182730436325073,0.36849626898765564,0.173208549618721,0.13966254889965057,0.19861873984336853,0.29308652877807617,0.8563539385795593,0.0001,-0.29909420013427734,-0.2998984158039093,-0.20026077330112457,-0.19997042417526245,-0.2001088559627533,0.29919004440307617,-0.30017849802970886,-0.2996821105480194,-0.20046202838420868,-0.1999417096376419,-0.20021480321884155,0.01798621006309986,0.11909294873476028,0.01798621006309986,0.1193259134888649,0.0,1.4996850490570068,0.9996132850646973
6,50,59,10,10,1771,1771,0,0.0,1771,0,0.0,0,10.737929700000677,7.475346399980481,1.3339654999945196,3.145775100128958,14.2807307999974,70.78716304576483,feasibility,phase_transition,-0.0006030463347477573,0.01591301151035753,0.7112213713782174,0.000241246132645756,0.0004587901694321772,0.0,0.9999840919460569,0.5400885072137628,0.35714285714285715,2.2498281002044678,0.5416499376296997,0.292765349149704,0.18579046428203583,0.1310422718524933,0.3558594286441803,0.2609502971172333,0.7996526956558228,0.0001,-0.29960042238235474,-0.3000768721103668,-0.20036764442920685,-0.20009325444698334,-0.2001776248216629,0.29955440759658813,-0.30031341314315796,-0.29974573850631714,-0.20055386424064636,-0.20002466440200806,-0.20032836496829987,0.01798621006309986,0.11920266598463058,0.01798621006309986,0.11948203295469284,0.0,1.5003186464309692,0.9997878074645996
7,60,69,10,10,1915,1915,0,0.0,1915,0,0.0,0,10.154335200000787,7.835691499982204,1.279504199992516,2.512394600089465,13.56923910000478,80.72139449912278,quality,pending,-0.00020447904244065286,0.029074674278187256,0.6089020133018493,0.008243838837370277,1.7974827422051475e-07,0.0,1.0000014662742616,0.47911063420275846,0.4,1.3218238353729248,0.6456655859947205,0.27888375520706177,0.11563652753829956,0.2000575214624405,0.5300290584564209,0.25488966703414917,0.4854077100753784,0.0001,-0.29968753457069397,-0.2998969554901123,-0.200395405292511,-0.19997388124465942,-0.19999319314956665,0.29954275488853455,-0.30057910084724426,-0.3000932037830353,-0.20057038962841034,-0.2001934051513672,-0.2004004418849945,0.01798621006309986,0.11909186094999313,0.01798621006309986,0.11968627572059631,0.0,1.5000500679016113,1.0006134510040283
8,70,79,10,10,1815,1815,0,0.0,1815,0,0.0,0,9.584686399997736,7.248682000070403,1.1654658000188647,2.5512410000228556,12.660616300003312,81.59025860322029,quality,pending,0.002248969539229212,0.005644615155500199,0.5633093473212473,-0.0005618171397082765,4.4481758864795185e-07,0.0,0.9999966939975475,0.45129335851504887,0.27586206896551724,1.85063898563385,0.8398227095603943,0.19993993639945984,0.15403805673122406,0.07403285801410675,0.685784637928009,0.2295050323009491,0.8628960847854614,0.0001,-0.29974743723869324,-0.3009275197982788,-0.20087194442749023,-0.20070786774158478,-0.20071321725845337,0.30000296235084534,-0.30036744475364685,-0.299942284822464,-0.2007169872522354,-0.2000463902950287,-0.20039208233356476,0.01798621006309986,0.1191273108124733,0.01798621006309986,0.11986365169286728,0.0,1.5007388591766357,1.001037359237671
9,80,89,10,10,1883,1883,0,0.0,1883,0,0.0,0,9.85421679999854,7.678780000002007,1.3447284999929252,2.3415512999417842,13.742734699997527,79.79844345572833,quality,pending,0.0018449796363711358,0.004230333028438811,0.6158592313528061,-0.002198445921142896,7.513538305895888e-07,0.0,0.9999710301558177,0.4199400205165148,0.36666666666666664,1.6472560167312622,0.9535934329032898,0.19061867892742157,0.13309703767299652,0.06771478056907654,0.8204964995384216,0.2070845663547516,0.8738067746162415,0.0001,-0.2993764281272888,-0.30130717158317566,-0.20114798843860626,-0.20096983015537262,-0.20095421373844147,0.29983243346214294,-0.3003915250301361,-0.29978203773498535,-0.20059707760810852,-0.20013272762298584,-0.20023633539676666,0.01798621006309986,0.11924395710229874,0.01798621006309986,0.11990585923194885,0.0,1.5007144212722778,1.0012187957763672
10,90,99,10,10,1862,1862,0,0.0,1862,0,0.0,0,9.873327499997686,7.537125199996808,1.251535999996122,2.437531700285035,13.51773669999966,79.60304773137305,quality,pending,0.0020298154714206854,0.012858642382586065,0.5867564310630162,0.0025915706530213354,1.5523465764610834e-06,0.0,0.9999924351771673,0.3174542723223567,0.13333333333333333,1.3305453062057495,1.0347561836242676,0.26557326316833496,0.09029289335012436,0.1394239217042923,0.9444632530212402,0.2334667593240738,0.7243829965591431,0.0001,-0.2993200421333313,-0.301333487033844,-0.20109719038009644,-0.2009829580783844,-0.20099827647209167,0.2996978461742401,-0.3005272448062897,-0.29993847012519836,-0.20066210627555847,-0.20028381049633026,-0.20015130937099457,0.01798621006309986,0.11966190487146378,0.01798621006309986,0.11992719769477844,0.0,1.5010144710540771,1.0014115571975708
