instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,task_succeeded,task_failed,termination_reason,decisions,makespan,completed_orders,unfinished_orders,initial_progress,operation_progress,reward_version,initial_preference_quality_score,single_stage_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,preference,preference_key,preference_quality_score,actual_preference_quality_score,terminal_failure_penalty_configured,terminal_failure_penalty_applied,base_cumulative_reward,training_cumulative_reward,preference_flow,preference_cost,preference_variance,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_wait_count,forced_production_pair_count,forced_production_wait_count,forced_worker_pair_count,forced_worker_wait_count,forced_pair_wait_physically_unavailable_count,forced_wait_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_wait_count,forced_future_event_wait_count,forced_direct_process_count,forced_commit_reconfig_count,forced_worker_assign_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,quality_score,heuristic_quality_score,reward_quality_score,heuristic_reward_quality_score,quality_metric_version,quality_metric_sha256,decode_mode,result_role,action_trace_sha256,sampling_seed,sampling_repeat,derived_sampling_seed,sampling_evaluation_key,sampling_rng_version,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,minimum_worker_alternatives,wait_total_ticks,wait_total_time,production_wait_ticks,production_wait_time,worker_wait_ticks,worker_wait_time,wait_min_estimated_deadline_slack_ticks,ranker_top_decision_count,ranker_top_selected_count,ranker_top_selection_rate,context_override_count,context_override_rate,production_pair_plus_wait_state_count,production_decision_state_count,production_pair_plus_wait_ratio,worker_pair_plus_wait_state_count,worker_decision_state_count,worker_pair_plus_wait_ratio,mean_commit_set_logit,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,wait_reason_counts,wait_mask_reason_counts,direct_process_action_count,commit_reconfig_action_count,worker_assign_action_count,wait_action_count,production_wait_action_count,worker_wait_action_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
test_balanced_3000000,3000000,balanced,balanced_cost,,False,True,False,True,horizon,103,240.0,8,6,0.0,0.680952380952381,single_stage_progress_quality_failure_v2,0.0,-1.0425244371875397,,3139.5999999999995,76.45820077017,6.278888888888889,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.7234768181399207,1.0,1.0,-0.04252443718753973,-1.0425244371875397,1.0,0.0,0.0,4,1,3,0,8,0,1,0,3,0,4,0,0,0,0,0,4,0,0,0,4,1,1.0,0.40536015594971897,0.2525464155302223,1.0,0.3238293796134558,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,a2ef7d2197df47dec9df2cc1c78eaa8102775440b3506f70ad4e1216b684a906,,0,,,,0.9820401599777766,27.33052899991162,9.534370485221132,True,183.3,574.7,331.9508952146,4.3080555556,446.3024186532103,30.93289689034369,-76.96701473850787,45.74763040664648,0.1354085594,0.12708617281666665,0.75,0,0.0,0,0,3,2388,238.8,2296,229.60000000000002,92,9.200000000000001,-347,99,43,0.43434343434343436,3,0.030303030303030304,88,96,0.9166666666666666,3,7,0.42857142857142855,0,6,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 37, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 43, ""external_event:PROCESS_COMPLETE"": 120, ""no_state_progress"": 25, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 8}",37,2,4,60,57,3,0.0,1,1.0,0,0.26671875,0.1500833333,0.1481481481,0.1481481481,0.2953631692
test_machine_bottleneck_3000001,3000001,machine_bottleneck,labor_dominant,,False,True,False,True,horizon,158,240.0,13,3,0.0,0.940625,single_stage_progress_quality_failure_v2,0.0,-0.7581096856798554,,2783.2000000000007,71.22116610008001,8.75,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.6987346856798554,1.0,1.0,0.24189031432014463,-0.7581096856798554,1.0,0.0,0.0,10,7,3,0,20,0,7,0,3,0,10,2,2,0,4,0,10,0,0,0,7,2,1.4285714285714286,0.39910036446228664,0.37295740656908716,1.0,0.46834433565194267,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,977d72641f92a0709e58a8316b64c68ee628fb192c6b13c95e9545be6789338e,,0,,,,1.546823469892876,39.24378849985078,9.790021961347316,True,179.7,1057.1,759.1407361555,2.4447222222,163.28634944659927,33.55592654424041,-90.6181867593137,257.91387342672806,0.1480030936,0.10831749441666667,0.75,0,0.0,0,0,3,2389,238.9,2280,228.0,109,10.9,-161,148,68,0.4594594594594595,6,0.04054054054054054,150,151,0.9933774834437086,5,7,0.7142857142857143,0,18,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 63, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 51, ""external_event:PROCESS_COMPLETE"": 234, ""no_state_progress"": 7, ""reconfiguration_duration_improved"": 10, ""worker_phase_handoff"": 8}",65,2,4,87,84,3,0.0,1,1.0,0,0.3905208333,0.3576666667,0.3676470588,0.2794117647,0.5983225536
test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,fixed_cost_dominant,,False,True,False,True,horizon,159,240.0,12,4,0.0,0.9125,single_stage_progress_quality_failure_v2,0.0,-0.8043943308089744,,3038.7000000000003,84.19996870612,13.868055555555555,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.7168943308089744,1.0,1.0,0.19560566919102562,-0.8043943308089744,1.0,0.0,0.0,8,5,3,0,16,0,5,0,3,0,8,1,0,0,1,0,8,0,0,0,7,2,1.1428571428571428,0.4251726463904659,0.46248938340024776,1.0,0.514680902693521,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,1598e58ee7821e6e8b3f6d98236f3cdab388d9b4bc703536b316e7433d434bf6,,0,,,,1.5573567398998753,39.40705069992691,9.794696477357705,True,215.9,1272.6,1648.0583407638,5.0780555556,138.7788778877888,11.162575266327002,-94.89095946281265,173.09775176173648,0.26102210280000004,0.11640532708333334,0.75,0,0.0,0,0,3,2365,236.5,2267,226.70000000000002,98,9.8,-210,151,63,0.41721854304635764,13,0.08609271523178808,149,152,0.9802631578947368,5,7,0.7142857142857143,0,19,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 64, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 61, ""external_event:PROCESS_COMPLETE"": 226, ""no_state_progress"": 11, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 8}",64,2,4,89,86,3,0.0,1,1.0,0,0.3818229167,0.2333333333,0.5428571429,0.3857142857,0.5873142004
test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,True,False,True,False,completed,180,157.8,16,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.4148086695011928,1692.8999999999996,1692.8999999999996,133.45147795322,16.05333333333333,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5851913304988072,0.5851913304988072,1.0,-0.0,0.4148086695011928,0.4148086695011928,1.0,0.0,0.0,30,26,4,0,60,0,26,0,4,0,30,1,0,0,1,0,30,0,0,0,27,3,1.1111111111111112,0.3765245604640512,0.44065419639873,0.5851913304988072,0.5506291192330737,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,6cb10394f466b92ff47454970f65b580af052ecc698f507639ed4af0d0c80b04,,0,,,,1.8334170434482928,40.974225299898535,10.185650241379404,True,153.7,1470.4,1160.4616621419,1.0722222222,15.131936887921624,2.667534157449592,-88.5001390130455,1397.2020725698899,0.4613931054,0.20080275673333337,0.75,0,0.0,0,0,2,1578,157.8,1515,151.5,63,6.300000000000001,822,150,75,0.5,9,0.06,170,170,1.0,10,10,1.0,0,35,0,0,"{""external_event:DIS_COMPLETE"": 3, ""external_event:INS_COMPLETE"": 3, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 72, ""reconfiguration_duration_improved"": 3, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 8, ""external_event:INS_COMPLETE"": 10, ""external_event:ORDER_RELEASE"": 49, ""external_event:PROCESS_COMPLETE"": 268, ""reconfiguration_duration_improved"": 12, ""worker_phase_handoff"": 12}",70,3,6,101,97,4,0.0,3,1.0,0,0.3708854167,0.3096666667,0.6575342466,0.3287671233,0.8670817689
test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,True,False,True,False,completed,184,181.10000000000002,17,0,0.0,1.0,single_stage_progress_quality_failure_v2,0.0,0.397864792281423,1816.0999999999997,1816.0999999999997,116.5961432484,14.458888888888891,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.602135207718577,0.602135207718577,1.0,-0.0,0.397864792281423,0.397864792281423,1.0,0.0,0.0,28,24,4,0,56,0,24,0,4,0,28,1,0,0,1,0,28,0,0,0,23,3,1.2173913043478262,0.37725627771114406,0.4450685590911253,0.602135207718577,0.5651386120674036,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,07c0e3d53edcd55ef9e0e6cc6196a890acc9b9d9146b8c89dbf9d02f36a59359,,0,,,,1.933750643520483,41.11343330005184,10.509514366959147,True,146.8,1559.5,1018.4692506043,2.9455555556,16.45399166399485,23.36512261580382,-88.55182489022435,390.8713692871993,0.46544629830000006,0.24488389145,0.75,0,0.0,0,0,2,1811,181.10000000000002,1758,175.8,53,5.300000000000001,589,156,80,0.5128205128205128,2,0.01282051282051282,173,174,0.9942528735632183,10,10,1.0,0,38,0,0,"{""external_event:DIS_COMPLETE"": 3, ""external_event:INS_COMPLETE"": 3, ""external_event:ORDER_RELEASE"": 15, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 75, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 8, ""external_event:INS_COMPLETE"": 8, ""external_event:ORDER_RELEASE"": 57, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 6, ""external_event:PROCESS_COMPLETE"": 268, ""no_state_progress"": 2, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 12}",73,3,6,102,98,4,0.0,3,1.0,0,0.4044791667,0.3521666667,0.5921052632,0.3026315789,0.783026547
test_high_arrival_pressure_3000005,3000005,high_arrival_pressure,balanced_cost,,False,True,False,True,horizon,168,240.0,11,7,0.0,0.8916666666666667,single_stage_progress_quality_failure_v2,0.0,-0.906943745175041,,4758.6,10.9673700341,0.3125,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.7986104118417077,1.0,1.0,0.09305625482495905,-0.906943745175041,1.0,0.0,0.0,5,5,0,0,10,0,5,0,0,0,5,0,0,0,0,0,5,0,0,0,5,1,1.0,0.4038019594580878,0.4274761152429421,1.0,0.572999323915596,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,8ac5960e212148304d045a1ddd2ba72b0cd35797171b3f690335c016f29aadb9,,0,,,,1.656123618488067,40.3606006000191,9.857878681476588,True,155.0,1610.3,803.4213559278,1.9013888889,195.51015338756753,54.83870967741935,-98.63491679015243,-83.56464572690393,0.1137211384,0.08786977883333334,0.75,0,0.0,0,0,3,2385,238.5,2385,238.5,0,0.0,-272,163,72,0.44171779141104295,7,0.04294478527607362,166,167,0.9940119760479041,0,1,0.0,0,0,0,0,"{""external_event:ORDER_RELEASE"": 18, ""external_event:PROCESS_COMPLETE"": 71, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 1}","{""external_event:ORDER_RELEASE"": 55, ""external_event:PROCESS_COMPLETE"": 270, ""no_state_progress"": 5, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 2}",74,1,1,92,92,0,0.0,0,,0,0.4243229167,0.2488333333,0.5243902439,0.243902439,0.8607078921
test_easy_3000006,3000006,easy,labor_dominant,,False,True,False,True,horizon,93,240.0,4,10,0.0,0.6130952380952381,single_stage_progress_quality_failure_v2,0.0,-1.1691860907143852,,4311.7,55.87441318306001,4.468055555555556,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.7822813288096232,1.0,1.0,-0.16918609071438506,-1.1691860907143852,1.0,0.0,0.0,10,7,3,0,20,0,7,0,3,0,10,0,0,0,0,0,10,0,0,0,10,1,1.0,0.42342211563534354,0.23074126206994233,1.0,0.3057162693820874,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,b35d7bb43d730dcf159b5040cf852ec8d85d32b10810c01028bad1fadfd935c9,,0,,,,0.8853649599943311,24.169803299941123,9.520053333272378,True,175.4,528.4,321.172458461,1.27,715.9916729750189,36.83010262257696,-82.60298736361142,251.81539807524064,0.0963917213,0.08667235791666666,0.75,0,0.0,0,0,3,2379,237.9,2311,231.10000000000002,68,6.800000000000001,-236,83,39,0.46987951807228917,1,0.012048192771084338,77,86,0.8953488372093024,4,7,0.5714285714285714,0,6,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 32, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 43, ""external_event:PROCESS_COMPLETE"": 102, ""no_state_progress"": 25, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 8}",34,2,4,53,50,3,0.0,1,1.0,0,0.2366145833,0.1323333333,0.1851851852,0.1851851852,0.0
test_balanced_3000007,3000007,balanced,downtime_dominant,,False,True,False,True,horizon,133,240.0,14,1,0.0,0.95,single_stage_progress_quality_failure_v2,0.0,-0.5271469652738443,,1095.1,0.0,0.0,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.47714696527384426,1.0,1.0,0.4728530347261557,-0.5271469652738442,1.0,0.0,0.0,38,38,0,0,76,0,38,0,0,0,38,0,0,0,0,0,38,0,0,0,30,4,1.2666666666666666,0.23857348263692213,0.2881641640651128,1.0,0.36822154364536164,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,6eb471de1a4c8dd85f1a49074959b0cb074c2812d2184c664f752e7b0fc2a18d,,0,,,,1.2853497439701147,34.38942479994148,9.664283789248984,True,206.9,699.4,398.6996402946,5.1080555556,56.57706605661995,15.99806669888835,-99.99999999999999,-100.0,0.1478304276,0.08239317661666666,0.75,0,0.0,0,0,6,2391,239.10000000000002,2391,239.10000000000002,0,0.0,-264,95,60,0.631578947368421,0,0.0,128,133,0.9624060150375939,0,0,0.0,0,0,0,0,"{""external_event:ORDER_RELEASE"": 15, ""external_event:PROCESS_COMPLETE"": 58}","{""external_event:ORDER_RELEASE"": 57, ""external_event:PROCESS_COMPLETE"": 198, ""no_state_progress"": 11}",60,0,0,73,73,0,0.0,0,,0,0.3130729167,0.16575,0.1290322581,0.1129032258,0.3443951295
test_machine_bottleneck_3000008,3000008,machine_bottleneck,fixed_cost_dominant,,False,True,False,True,horizon,174,240.0,14,4,0.0,0.9333333333333333,single_stage_progress_quality_failure_v2,0.0,-0.7993644146451933,,3289.3,52.29320028769001,4.5725,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.7326977479785266,1.0,1.0,0.20063558535480674,-0.7993644146451934,1.0,0.0,0.0,8,6,2,0,16,0,6,0,2,0,8,2,1,0,3,0,8,0,0,0,6,2,1.3333333333333333,0.39801475290097826,0.404634614866786,1.0,0.5153081832135067,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,1ecca78fe3edd953d0a32b9eaec5107b0e462b4b1d1f3836f5176c0dc19e0b4f,,0,,,,1.7338355433986123,40.72878249990754,9.964572088497771,True,173.7,1275.8,933.6955494372,0.5366666667,157.82254271829444,38.169257340241806,-94.39933066841643,752.0186334874522,0.2260753721,0.13390371425,0.75,0,0.0,0,0,3,2375,237.5,2313,231.3,62,6.2,-119,166,74,0.4457831325301205,7,0.04216867469879518,166,169,0.9822485207100592,4,5,0.8,0,19,0,0,"{""external_event:DIS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 18, ""external_event:PROCESS_COMPLETE"": 70, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 3}","{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 73, ""external_event:PROCESS_COMPLETE"": 252, ""no_state_progress"": 9, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 6}",74,2,3,95,93,2,0.0,1,1.0,0,0.4392708333,0.3710833333,0.4545454545,0.2987012987,0.6629053191
test_reconfiguration_bottleneck_3000009,3000009,reconfiguration_bottleneck,labor_dominant,,False,True,False,True,horizon,139,240.0,12,6,0.0,0.7250000000000001,single_stage_progress_quality_failure_v2,0.0,-1.025119734293984,,3602.2999999999997,52.86074413404001,13.068055555555553,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,0.750119734293984,1.0,1.0,-0.025119734293983925,-1.025119734293984,1.0,0.0,0.0,3,1,2,0,6,0,1,0,2,0,3,0,0,0,0,0,3,0,0,0,3,1,1.0,0.43156302412253056,0.47264555243941014,1.0,0.5294486706924947,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,987da374529b4a2fa105280b9f31df29c82033f196e37555483f6e7306039910,,0,,,,1.3508721398108834,36.107560500036925,9.718504602955996,True,212.5,1350.2,1814.467847119,3.9122222222,166.79751147978072,12.941176470588236,-97.08670813770705,234.03152513680214,0.26350000000000007,0.11419614245,0.75,0,0.0,0,0,3,2383,238.3,2303,230.3,80,8.0,-523,136,59,0.4338235294117647,10,0.07352941176470588,128,134,0.9552238805970149,3,5,0.6,0,7,0,0,"{""external_event:DIS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 17, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 54, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 3}","{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 49, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 192, ""no_state_progress"": 17, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 6}",55,2,3,79,77,2,0.0,1,0.0,0,0.398125,0.229,0.5974025974,0.3246753247,0.5941905496
