episode,instance_id,reward_version,reward,base_reward,unshaped_training_reward,expected_reward,reward_identity_error,terminated,truncated,task_succeeded,task_failed,terminal_reason,completed_order_ratio,completed_operation_ratio,initial_progress,operation_progress,initial_preference_quality_score,preference_quality_score,actual_preference_quality_score,terminal_failure_penalty_configured,terminal_failure_penalty_applied,flow_time_objective,reconfiguration_cost,worker_load_variance,preference_key,step_count,policy_step_count,forced_action_count,forced_action_ratio,reward_flow,reward_cost,reward_variance,reward_operation_progress,reward_quality,reward_failure,reward_feasibility_shaping
1,train_fatigue_bottleneck_1000000,single_stage_progress_quality_failure_v2,0.34942635839496805,0.34942635839496805,0.34942635839496805,0.34942635839496805,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.650573641605032,0.650573641605032,1.0,-0.0,2234.2000000000016,2376.93209801478,4.1480555555555485,d17fb47064bdfcb2,416,416,0,0.0,-2234.2000000000016,-2376.93209801478,-4.1480555555555485,1.0,-0.650573641605032,0.0,0.0
2,train_easy_1000001,single_stage_progress_quality_failure_v2,0.6881128505074832,0.6881128505074832,0.6881128505074832,0.6881128505074832,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31188714949251684,0.31188714949251684,1.0,-0.0,543.9000000000001,661.5379576364799,42.18916666666669,d17fb47064bdfcb2,190,190,0,0.0,-543.9000000000001,-661.5379576364799,-42.18916666666669,1.0,-0.31188714949251684,0.0,0.0
3,train_easy_1000002,single_stage_progress_quality_failure_v2,0.6911646123718468,0.6911646123718465,0.6911646123718465,0.6911646123718465,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3088353876281535,0.3088353876281535,1.0,-0.0,536.2000000000002,876.9188280396402,41.98222222222223,d17fb47064bdfcb2,207,207,0,0.0,-536.2000000000002,-876.9188280396402,-41.98222222222223,1.0,-0.3088353876281535,0.0,0.0
4,train_balanced_1000003,single_stage_progress_quality_failure_v2,-0.5166240324516743,0.4833759675483258,-0.5166240324516742,-0.5166240324516742,0.0,False,True,False,True,horizon,0.9333333333333333,0.9841269841269841,0.0,0.9866666666666667,0.0,1.0,0.5032906991183409,1.0,1.0,1215.8999999999996,1208.84302960724,102.52888888888886,d17fb47064bdfcb2,319,319,0,0.0,-1215.8999999999996,-1208.84302960724,-102.52888888888886,0.9866666666666667,-0.5032906991183409,-1.0,0.0
5,train_balanced_1000004,single_stage_progress_quality_failure_v2,0.6048691970361407,0.6048691970361408,0.6048691970361408,0.6048691970361408,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.39513080296385916,0.39513080296385916,1.0,-0.0,783.9000000000002,918.10477405448,38.31555555555558,d17fb47064bdfcb2,237,237,0,0.0,-783.9000000000002,-918.10477405448,-38.31555555555558,1.0,-0.39513080296385916,0.0,0.0
6,train_easy_1000005,single_stage_progress_quality_failure_v2,0.6853618139242676,0.6853618139242675,0.6853618139242675,0.6853618139242675,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31463818607573246,0.31463818607573246,1.0,-0.0,550.9,771.1116848599106,115.23333333333339,d17fb47064bdfcb2,219,219,0,0.0,-550.9,-771.1116848599106,-115.23333333333339,1.0,-0.31463818607573246,0.0,0.0
7,train_balanced_1000006,single_stage_progress_quality_failure_v2,0.6358626536668078,0.6358626536668082,0.6358626536668082,0.6358626536668082,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3641373463331919,0.3641373463331919,1.0,-0.0,687.1999999999997,947.4396158748199,32.3825,d17fb47064bdfcb2,228,228,0,0.0,-687.1999999999997,-947.4396158748199,-32.3825,1.0,-0.3641373463331919,0.0,0.0
8,train_balanced_1000007,single_stage_progress_quality_failure_v2,-0.4895648481653928,0.5104351518346073,-0.4895648481653927,-0.4895648481653927,0.0,False,True,False,True,horizon,0.9166666666666666,0.9811320754716981,0.0,0.9833333333333334,0.0,1.0,0.47289818149872614,1.0,1.0,1076.6000000000001,1120.4853821162897,88.32472222222226,d17fb47064bdfcb2,271,271,0,0.0,-1076.6000000000001,-1120.4853821162897,-88.32472222222226,0.9833333333333334,-0.47289818149872614,-1.0,0.0
9,train_fatigue_bottleneck_1000008,single_stage_progress_quality_failure_v2,0.4157139887757223,0.4157139887757223,0.4157139887757223,0.4157139887757223,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5842860112242777,0.5842860112242777,1.0,-0.0,1686.6000000000004,2042.1794616788297,4.291388888888888,d17fb47064bdfcb2,403,403,0,0.0,-1686.6000000000004,-2042.1794616788297,-4.291388888888887,1.0,-0.5842860112242777,0.0,0.0
10,train_balanced_1000009,single_stage_progress_quality_failure_v2,0.5434536479326119,0.5434536479326117,0.5434536479326117,0.5434536479326117,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.45654635206738825,0.45654635206738825,1.0,-0.0,1008.1000000000001,1305.1937050747183,101.94472222222218,d17fb47064bdfcb2,335,335,0,0.0,-1008.1000000000001,-1305.1937050747183,-101.94472222222218,1.0,-0.45654635206738825,0.0,0.0
11,train_easy_1000010,single_stage_progress_quality_failure_v2,0.6910054128757341,0.6910054128757341,0.6910054128757341,0.6910054128757341,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.30899458712426586,0.30899458712426586,1.0,-0.0,536.6000000000001,1192.9610092959097,29.44555555555556,d17fb47064bdfcb2,228,228,0,0.0,-536.6000000000001,-1192.9610092959097,-29.44555555555556,1.0,-0.30899458712426586,0.0,0.0
