instance_id,seed,pressure_type,cost_profile,ood_factor,terminated,truncated,task_succeeded,task_failed,termination_reason,decisions,makespan,completed_orders,unfinished_orders,initial_progress,operation_progress,initial_preference_quality_score,single_stage_proxy_return,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,preference,preference_key,preference_quality_score,preference_flow,preference_cost,preference_variance,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_wait_count,forced_production_pair_count,forced_production_wait_count,forced_worker_pair_count,forced_worker_wait_count,forced_pair_wait_physically_unavailable_count,forced_wait_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_wait_count,forced_future_event_wait_count,forced_direct_process_count,forced_commit_reconfig_count,forced_worker_assign_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,quality_score,heuristic_quality_score,reward_quality_score,heuristic_reward_quality_score,quality_metric_version,quality_metric_sha256,decode_mode,result_role,action_trace_sha256,sampling_seed,sampling_repeat,derived_sampling_seed,sampling_evaluation_key,sampling_rng_version,inference_time_seconds,solve_time_seconds,inference_time_per_decision_ms,heuristic_completed,heuristic_makespan,heuristic_flow_time,heuristic_reconfiguration_cost,heuristic_worker_load_variance,relative_heuristic_gap_percent,makespan_heuristic_gap_percent,reconfiguration_cost_heuristic_gap_percent,worker_load_variance_heuristic_gap_percent,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,minimum_worker_alternatives,wait_total_ticks,wait_total_time,production_wait_ticks,production_wait_time,worker_wait_ticks,worker_wait_time,wait_min_estimated_deadline_slack_ticks,ranker_top_decision_count,ranker_top_selected_count,ranker_top_selection_rate,context_override_count,context_override_rate,production_pair_plus_wait_state_count,production_decision_state_count,production_pair_plus_wait_ratio,worker_pair_plus_wait_state_count,worker_decision_state_count,worker_pair_plus_wait_ratio,mean_commit_set_logit,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,wait_reason_counts,wait_mask_reason_counts,direct_process_action_count,commit_reconfig_action_count,worker_assign_action_count,wait_action_count,production_wait_action_count,worker_wait_action_count,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,schedule_violation_count,total_effective_load,max_module_load,ready_configuration_gap_ratio,heuristic_reconfiguration_ratio,mean_wave_overlap_ratio
test_balanced_3000000,3000000,balanced,balanced_cost,,True,False,True,False,completed,134,187.4,14,0,0.0,1.0,0.0,0.6631666206134291,609.5,609.5,83.71496964302001,7.55888888888889,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.3368333793865709,1.0,0.0,0.0,57,53,4,0,114,0,53,0,4,0,57,2,2,0,4,0,57,0,0,0,41,3,1.3902439024390243,0.21785602092006806,0.2525464155302223,0.3368333793865709,0.3238293796134558,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,4c307f956d790db0fd9e1d44a1a670b68105a104d0ce29277218280a5a2ef7ba,,0,,,,9.55354630349722,207.57112400000915,71.2951216678897,True,183.3,574.7,331.9508952146,4.3080555556,6.055333217330773,2.2367703218767017,-74.78091764479205,75.45941066296517,0.2145536637,0.15333617281666667,0.75,0,0.0,0,0,3,1874,187.4,1758,175.8,116,11.600000000000001,526,77,51,0.6623376623376623,7,0.09090909090909091,126,126,1.0,8,8,1.0,0,14,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 54, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 4, ""external_event:ORDER_RELEASE"": 45, ""external_event:PROCESS_COMPLETE"": 198, ""reconfiguration_duration_improved"": 8, ""worker_phase_handoff"": 8}",52,2,4,76,72,4,0.0,2,1.0,0,0.26671875,0.1500833333,0.1481481481,0.1481481481,0.2953631692
test_machine_bottleneck_3000001,3000001,machine_bottleneck,labor_dominant,,False,True,False,True,unrecoverable_deadlock,146,240.0,11,5,0.0,0.7,0.0,-0.30000000000000004,,3157.6,221.45092521022008,21.321388888888894,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,36,26,10,0,72,0,26,0,10,0,36,4,4,0,8,0,36,0,0,0,27,3,1.3333333333333333,0.47648959459215856,0.37295740656908716,1.0,0.46834433565194267,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,57e492ca650cd1c15728fde3eba484f10d4132fa1e098a92bf27da60b87a31f6,,0,,,,10.482483186988777,222.88005669997074,71.79783004786833,True,179.7,1057.1,759.1407361555,2.4447222222,198.7040015135749,33.55592654424041,-70.82873903833574,772.1395296068372,0.29437079339999994,0.19904188825000002,0.75,0,0.0,0,0,2,2377,237.70000000000002,2129,212.9,248,24.8,-474,110,61,0.5545454545454546,3,0.02727272727272727,117,125,0.936,19,21,0.9047619047619048,0,31,0,0,"{""external_event:DIS_COMPLETE"": 5, ""external_event:INS_COMPLETE"": 5, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 48, ""worker_phase_handoff"": 11}","{""external_event:DIS_COMPLETE"": 16, ""external_event:INS_COMPLETE"": 14, ""external_event:ORDER_RELEASE"": 47, ""external_event:PROCESS_COMPLETE"": 164, ""no_state_progress"": 21, ""reconfiguration_duration_improved"": 8, ""worker_phase_handoff"": 22}",44,6,11,85,75,10,0.0,5,1.0,0,0.3905208333,0.3576666667,0.3676470588,0.2794117647,0.5983225536
test_reconfiguration_bottleneck_3000002,3000002,reconfiguration_bottleneck,fixed_cost_dominant,,False,True,False,True,unrecoverable_deadlock,168,240.0,13,3,0.0,0.884375,0.0,-0.11562499999999998,,2298.7,207.73842003380003,9.952500000000002,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,23,15,8,0,46,0,15,0,8,0,23,4,4,0,8,0,23,0,0,0,16,3,1.4375,0.4133108568677081,0.46248938340024776,1.0,0.514680902693521,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,87dc4b35cf8e5927647ca098861e1c5cf55d53afd3d1997e083e15a6e78bf5fb,,0,,,,12.24673806958787,240.05444019997958,72.89725041421352,True,215.9,1272.6,1648.0583407638,5.0780555556,80.63020587773063,11.162575266327002,-87.39495957785556,95.99037251619947,0.32020000000000004,0.23281373323333335,0.75,0,0.0,0,0,2,2397,239.70000000000002,2288,228.8,109,10.9,-354,145,71,0.4896551724137931,2,0.013793103448275862,141,151,0.9337748344370861,16,17,0.9411764705882353,0,42,0,0,"{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 4, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 60, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 9}","{""external_event:DIS_COMPLETE"": 10, ""external_event:INS_COMPLETE"": 20, ""external_event:ORDER_RELEASE"": 55, ""external_event:PROCESS_COMPLETE"": 200, ""no_state_progress"": 23, ""reconfiguration_duration_improved"": 10, ""worker_phase_handoff"": 18}",59,5,9,95,87,8,0.0,4,1.0,0,0.3818229167,0.2333333333,0.5428571429,0.3857142857,0.5873142004
test_worker_bottleneck_3000003,3000003,worker_bottleneck,balanced_cost,,False,True,False,True,unrecoverable_deadlock,186,240.0,12,4,0.0,0.84375,0.0,-0.15625,,3152.3000000000006,327.45007211269007,16.704722222222227,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,43,28,15,0,86,0,28,0,15,0,43,7,9,0,15,0,43,0,0,0,28,4,1.5357142857142858,0.48623023175650487,0.44065419639873,1.0,0.5506291192330737,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,dceba05e517ef0cab88c3c71c39fc4a736cb8dffa5b7e7b5a1c43a821b39a106,,0,,,,13.791620342959204,249.2464599000523,74.1484964675226,True,153.7,1470.4,1160.4616621419,1.0722222222,114.38384113166488,56.1483409238777,-71.78277552846465,1457.9533679079373,0.40204792580000004,0.3113860900666667,0.75,0,0.0,1,1,0,2374,237.4,2174,217.4,200,20.0,-400,143,73,0.5104895104895105,7,0.04895104895104895,146,157,0.9299363057324841,27,29,0.9310344827586207,0,47,0,0,"{""external_event:DIS_COMPLETE"": 7, ""external_event:INS_COMPLETE"": 7, ""external_event:ORDER_RELEASE"": 16, ""external_event:PROCESS_COMPLETE"": 61, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 15}","{""external_event:DIS_COMPLETE"": 26, ""external_event:INS_COMPLETE"": 20, ""external_event:ORDER_RELEASE"": 57, ""external_event:PROCESS_COMPLETE"": 202, ""no_state_progress"": 27, ""reconfiguration_duration_improved"": 10, ""worker_phase_handoff"": 30}",58,7,14,107,92,15,0.2,7,0.7142857142857143,0,0.3708854167,0.3096666667,0.6575342466,0.3287671233,0.8670817689
test_fatigue_bottleneck_3000004,3000004,fatigue_bottleneck,fixed_cost_dominant,,True,False,True,False,completed,212,139.3,17,0,0.0,1.0,0.0,0.45544253833308024,1434.8000000000002,1434.8000000000002,346.2950043755,19.233333333333334,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.5445574616669198,1.0,0.0,0.0,91,76,15,0,182,0,76,0,15,0,91,7,9,1,14,0,91,0,0,0,70,5,1.3,0.4050058595653981,0.4450685590911253,0.5445574616669198,0.5651386120674036,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,db8e6075f576655aac2ccb02b82eea4f7ce3aae7369ea2707d8e720a9d4155cd,,0,,,,16.478814509586606,256.8706170000369,77.73025712069153,True,146.8,1559.5,1018.4692506043,2.9455555556,-7.996152613016981,-5.108991825613079,-65.99848211715486,552.9611467272282,0.5642462983000002,0.4186505581166667,0.75,0,0.0,1,1,0,1393,139.3,1207,120.7,186,18.6,1007,121,84,0.6942148760330579,8,0.06611570247933884,181,181,1.0,31,31,1.0,0,59,0,0,"{""external_event:DIS_COMPLETE"": 7, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 7, ""external_event:ORDER_RELEASE"": 15, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 73, ""reconfiguration_duration_improved"": 1, ""worker_phase_handoff"": 15}","{""external_event:DIS_COMPLETE"": 28, ""external_event:DIS_COMPLETE+INS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 20, ""external_event:ORDER_RELEASE"": 47, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 6, ""external_event:PROCESS_COMPLETE"": 272, ""reconfiguration_duration_improved"": 14, ""worker_phase_handoff"": 34}",68,8,16,120,105,15,1.8,8,0.75,0,0.4044791667,0.3521666667,0.5921052632,0.3026315789,0.783026547
test_high_arrival_pressure_3000005,3000005,high_arrival_pressure,balanced_cost,,False,True,False,True,unrecoverable_deadlock,177,240.0,13,5,0.0,0.8194444444444445,0.0,-0.18055555555555547,,3694.2999999999997,171.82426586731,12.835555555555558,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,29,23,6,0,58,0,23,0,6,0,29,3,3,1,5,0,29,0,0,0,21,4,1.380952380952381,0.46225176520537004,0.4274761152429421,1.0,0.572999323915596,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,659fed6fc7b09d94de5846142091bc2ee710974c5378c4a36564b2453037a7f2,,0,,,,13.017767002936006,244.8772835000418,73.54670623127687,True,155.0,1610.3,803.4213559278,1.9013888889,129.41687884245172,54.83870967741935,-78.61343059908017,575.0620891121985,0.2746111189,0.17112163198333333,0.75,0,0.0,0,0,2,2389,238.9,2279,227.9,110,11.0,-391,148,63,0.42567567567567566,14,0.0945945945945946,154,163,0.9447852760736196,12,14,0.8571428571428571,0,9,0,0,"{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 3, ""external_event:ORDER_RELEASE"": 17, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 1, ""external_event:PROCESS_COMPLETE"": 66, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 7}","{""external_event:DIS_COMPLETE"": 8, ""external_event:INS_COMPLETE"": 8, ""external_event:ORDER_RELEASE"": 65, ""external_event:ORDER_RELEASE+PROCESS_COMPLETE"": 4, ""external_event:PROCESS_COMPLETE"": 226, ""no_state_progress"": 23, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 16}",65,4,8,100,94,6,0.0,3,1.0,0,0.4243229167,0.2488333333,0.5243902439,0.243902439,0.8607078921
test_easy_3000006,3000006,easy,labor_dominant,,True,False,True,False,completed,127,235.70000000000002,14,0,0.0,1.0,0.0,0.5511413218206036,977.3,977.3,37.27445590678,2.5013888888888887,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,0.44885867817939645,1.0,0.0,0.0,22,20,2,0,44,0,20,0,2,0,22,1,1,0,2,0,22,0,0,0,19,2,1.1578947368421053,0.24473868705095486,0.23074126206994233,0.44885867817939645,0.3057162693820874,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,9b23c35fdb85308be463393105ed7665c3f811fc8679ae69dc7deaee71121f87,,0,,,,9.041467227676186,196.8049799000146,71.19265533603297,True,175.4,528.4,321.172458461,1.27,84.9545798637396,34.37856328392247,-88.39425519691432,96.95975503062115,0.12250000000000001,0.0931384769,0.75,0,0.0,0,0,3,2357,235.70000000000002,2319,231.9,38,3.8000000000000003,43,105,45,0.42857142857142855,11,0.10476190476190476,117,123,0.9512195121951219,4,4,1.0,0,18,0,0,"{""external_event:DIS_COMPLETE"": 1, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 14, ""external_event:PROCESS_COMPLETE"": 53, ""worker_phase_handoff"": 2}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 4, ""external_event:ORDER_RELEASE"": 59, ""external_event:PROCESS_COMPLETE"": 170, ""no_state_progress"": 12, ""worker_phase_handoff"": 4}",53,1,2,71,69,2,0.0,1,1.0,0,0.2366145833,0.1323333333,0.1851851852,0.1851851852,0.0
test_balanced_3000007,3000007,balanced,downtime_dominant,,False,True,False,True,unrecoverable_deadlock,133,240.0,13,2,0.0,0.9333333333333333,0.0,-0.06666666666666665,,1377.3,0.0,0.0,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,31,31,0,0,62,0,31,0,0,0,31,0,0,0,0,0,31,0,0,0,29,2,1.0689655172413792,0.26719823070655335,0.28816416406511275,1.0,0.36822154364536164,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,990a2e61d27913f94df060e10cda2c57834cdaeedc483380a5d6b1d5eb3eb8a0,,0,,,,9.479907103500969,205.95315179997124,71.27749701880428,True,206.9,699.4,398.6996402946,5.1080555556,96.92593651701459,15.99806669888835,-99.99999999999999,-100.0,0.1478304276,0.08239317661666666,0.75,0,0.0,0,0,6,2353,235.3,2353,235.3,0,0.0,-272,102,55,0.5392156862745098,6,0.058823529411764705,128,133,0.9624060150375939,0,0,0.0,0,0,0,0,"{""external_event:ORDER_RELEASE"": 15, ""external_event:PROCESS_COMPLETE"": 58}","{""external_event:ORDER_RELEASE"": 59, ""external_event:PROCESS_COMPLETE"": 196, ""no_state_progress"": 11}",60,0,0,73,73,0,0.0,0,,0,0.3130729167,0.16575,0.1290322581,0.1129032258,0.3443951295
test_machine_bottleneck_3000008,3000008,machine_bottleneck,fixed_cost_dominant,,False,True,False,True,unrecoverable_deadlock,154,240.0,8,10,0.0,0.5972222222222222,0.0,-0.4027777777777778,,5120.1,290.65509818371004,33.745833333333344,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,34,20,14,0,68,0,20,0,14,0,34,4,4,0,8,0,34,0,0,0,26,3,1.3076923076923077,0.5532157675290469,0.404634614866786,1.0,0.5153081832135067,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,748c08baf3ddc43a58f57ebafe38466a90b9dc47256d2b152a3c36e074d8d63c,,0,,,,11.11914433032196,230.59527990000788,72.20223591118156,True,173.7,1275.8,933.6955494372,0.5366666667,301.3246590374667,38.169257340241806,-68.87046335832842,6188.04347787031,0.33333375039999996,0.21695003133333335,0.75,0,0.0,0,0,2,2396,239.60000000000002,2054,205.4,342,34.2,-535,120,62,0.5166666666666667,2,0.016666666666666666,116,125,0.928,23,29,0.7931034482758621,0,30,0,0,"{""external_event:DIS_COMPLETE"": 7, ""external_event:INS_COMPLETE"": 6, ""external_event:ORDER_RELEASE"": 18, ""external_event:PROCESS_COMPLETE"": 44, ""worker_phase_handoff"": 15}","{""external_event:DIS_COMPLETE"": 18, ""external_event:INS_COMPLETE"": 16, ""external_event:ORDER_RELEASE"": 71, ""external_event:PROCESS_COMPLETE"": 136, ""no_state_progress"": 31, ""reconfiguration_duration_improved"": 6, ""worker_phase_handoff"": 30}",41,8,15,90,76,14,0.0,7,1.0,0,0.4392708333,0.3710833333,0.4545454545,0.2987012987,0.6629053191
test_reconfiguration_bottleneck_3000009,3000009,reconfiguration_bottleneck,labor_dominant,,False,True,False,True,unrecoverable_deadlock,141,240.0,11,7,0.0,0.7,0.0,-0.30000000000000004,,3888.8999999999996,95.05417472137,15.66805555555556,"{'flow': 1.0, 'cost': 0.0, 'variance': 0.0}",d17fb47064bdfcb2,1.0,1.0,0.0,0.0,4,1,3,0,8,0,1,0,3,0,4,0,0,0,0,0,4,0,0,0,4,1,1.0,0.4558562354586747,0.47264555243941014,1.0,0.5294486706924947,canonical_bounded_quality_v1,cd7a75eec571f2801dad1b7bcac15263d02db4a27e1a43d5c6febd3e057f88de,greedy,greedy_diagnostic,613c6d72f50542e69143dcef2fe2b47a7af9fe77ecbcb8c41adac4a47ddb2a30,,0,,,,10.098089914273706,216.75533020007424,71.61765896648018,True,212.5,1350.2,1814.467847119,3.9122222222,188.0239964449711,12.941176470588236,-94.76131942088165,300.48991763930985,0.21700000000000003,0.11396136478333334,0.75,0,0.0,0,0,3,2385,238.5,2227,222.70000000000002,158,15.8,-525,137,58,0.4233576642335766,4,0.029197080291970802,130,134,0.9701492537313433,3,7,0.42857142857142855,0,6,0,0,"{""external_event:DIS_COMPLETE"": 2, ""external_event:INS_COMPLETE"": 1, ""external_event:ORDER_RELEASE"": 18, ""external_event:PROCESS_COMPLETE"": 54, ""reconfiguration_duration_improved"": 2, ""worker_phase_handoff"": 4}","{""external_event:DIS_COMPLETE"": 4, ""external_event:INS_COMPLETE"": 2, ""external_event:ORDER_RELEASE"": 53, ""external_event:PROCESS_COMPLETE"": 194, ""no_state_progress"": 17, ""reconfiguration_duration_improved"": 4, ""worker_phase_handoff"": 8}",54,2,4,81,78,3,0.0,1,1.0,0,0.398125,0.229,0.5974025974,0.3246753247,0.5941905496
