episode,instance_id,reward,expected_reward,reward_identity_error,terminated,truncated,task_succeeded,task_failed,terminal_reason,completed_order_ratio,completed_operation_ratio,initial_progress,operation_progress,initial_preference_quality_score,preference_quality_score,flow_time_objective,reconfiguration_cost,worker_load_variance,preference_key,step_count,policy_step_count,forced_action_count,forced_action_ratio,reward_flow,reward_cost,reward_variance,reward_operation_progress,reward_quality,reward_feasibility_shaping
1,train_fatigue_bottleneck_1000000,0.34942635839496805,0.34942635839496805,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.650573641605032,2234.2000000000016,2376.93209801478,4.1480555555555485,d17fb47064bdfcb2,416,416,0,0.0,-2234.2000000000016,-2376.93209801478,-4.1480555555555485,1.0,-0.650573641605032,0.0
2,train_easy_1000001,0.6881128505074832,0.6881128505074832,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31188714949251684,543.9000000000001,661.5379576364799,42.18916666666669,d17fb47064bdfcb2,190,190,0,0.0,-543.9000000000001,-661.5379576364799,-42.18916666666669,1.0,-0.31188714949251684,0.0
3,train_easy_1000002,0.6911646123718468,0.6911646123718465,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3088353876281535,536.2000000000002,876.9188280396402,41.98222222222223,d17fb47064bdfcb2,207,207,0,0.0,-536.2000000000002,-876.9188280396402,-41.98222222222223,1.0,-0.3088353876281535,0.0
4,train_balanced_1000003,-0.013333333333333308,-0.013333333333333308,0.0,False,True,False,True,unrecoverable_deadlock,0.9333333333333333,0.9841269841269841,0.0,0.9866666666666667,0.0,1.0,1215.8999999999996,1208.84302960724,102.52888888888886,d17fb47064bdfcb2,319,319,0,0.0,-1215.8999999999996,-1208.84302960724,-102.52888888888886,0.9866666666666667,-1.0,0.0
5,train_balanced_1000004,0.6048691970361407,0.6048691970361408,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.39513080296385916,783.9000000000002,918.10477405448,38.31555555555558,d17fb47064bdfcb2,237,237,0,0.0,-783.9000000000002,-918.10477405448,-38.31555555555558,1.0,-0.39513080296385916,0.0
6,train_easy_1000005,0.6853618139242676,0.6853618139242675,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31463818607573246,550.9,771.1116848599106,115.23333333333339,d17fb47064bdfcb2,219,219,0,0.0,-550.9,-771.1116848599106,-115.23333333333339,1.0,-0.31463818607573246,0.0
7,train_balanced_1000006,0.6358626536668078,0.6358626536668082,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.3641373463331919,687.1999999999997,947.4396158748199,32.3825,d17fb47064bdfcb2,228,228,0,0.0,-687.1999999999997,-947.4396158748199,-32.3825,1.0,-0.3641373463331919,0.0
8,train_balanced_1000007,-0.01666666666666672,-0.016666666666666607,0.0,False,True,False,True,unrecoverable_deadlock,0.9166666666666666,0.9811320754716981,0.0,0.9833333333333334,0.0,1.0,1076.6000000000001,1120.4853821162897,88.32472222222226,d17fb47064bdfcb2,271,271,0,0.0,-1076.6000000000001,-1120.4853821162897,-88.32472222222226,0.9833333333333334,-1.0,0.0
9,train_fatigue_bottleneck_1000008,0.4157139887757223,0.4157139887757223,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.5842860112242777,1686.6000000000004,2042.1794616788297,4.291388888888888,d17fb47064bdfcb2,403,403,0,0.0,-1686.6000000000004,-2042.1794616788297,-4.291388888888887,1.0,-0.5842860112242777,0.0
10,train_balanced_1000009,0.5434536479326119,0.5434536479326117,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.45654635206738825,1008.1000000000001,1305.1937050747183,101.94472222222218,d17fb47064bdfcb2,335,335,0,0.0,-1008.1000000000001,-1305.1937050747183,-101.94472222222218,1.0,-0.45654635206738825,0.0
11,train_easy_1000010,0.6910054128757341,0.6910054128757341,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.30899458712426586,536.6000000000001,1192.9610092959097,29.44555555555556,d17fb47064bdfcb2,228,228,0,0.0,-536.6000000000001,-1192.9610092959097,-29.44555555555556,1.0,-0.30899458712426586,0.0
12,train_balanced_1000011,-0.013333333333333197,-0.013333333333333308,0.0,False,True,False,True,unrecoverable_deadlock,0.9333333333333333,0.9824561403508771,0.0,0.9866666666666667,0.0,1.0,1095.3000000000002,867.2450964392899,112.25583333333334,d17fb47064bdfcb2,259,259,0,0.0,-1095.3000000000002,-867.2450964392899,-112.25583333333334,0.9866666666666667,-1.0,0.0
13,train_balanced_1000012,0.5889281507656063,0.5889281507656066,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.41107184923439344,837.6000000000001,987.6094873351502,49.932500000000026,d17fb47064bdfcb2,242,242,0,0.0,-837.6000000000001,-987.6094873351502,-49.932500000000026,1.0,-0.41107184923439344,0.0
14,train_balanced_1000013,0.5799623024503409,0.5799623024503407,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.42003769754965925,869.1000000000003,1049.2465355722397,64.30472222222224,d17fb47064bdfcb2,279,279,0,0.0,-869.1000000000003,-1049.2465355722397,-64.30472222222224,1.0,-0.42003769754965925,0.0
15,train_balanced_1000014,0.613967766692249,0.6139677666922487,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.38603223330775127,754.4999999999999,896.99958073019,79.87583333333332,d17fb47064bdfcb2,244,244,0,0.0,-754.4999999999999,-896.99958073019,-79.87583333333332,1.0,-0.38603223330775127,0.0
16,train_balanced_1000015,-0.01176470588235301,-0.0117647058823529,0.0,False,True,False,True,unrecoverable_deadlock,0.9411764705882353,0.984375,0.0,0.9882352941176471,0.0,1.0,1179.6999999999998,1162.4834979667799,111.45888888888892,d17fb47064bdfcb2,327,327,0,0.0,-1179.6999999999998,-1162.4834979667799,-111.45888888888892,0.9882352941176471,-1.0,0.0
17,train_balanced_1000016,-0.028571428571428692,-0.02857142857142858,0.0,False,True,False,True,unrecoverable_deadlock,0.9285714285714286,0.9655172413793104,0.0,0.9714285714285714,0.0,1.0,1079.3999999999996,999.1413936635896,72.40249999999999,d17fb47064bdfcb2,254,254,0,0.0,-1079.3999999999996,-999.1413936635896,-72.40249999999999,0.9714285714285714,-1.0,0.0
18,train_balanced_1000017,0.5316085588977981,0.5316085588977981,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.4683914411022018,1057.3000000000004,1400.41227186315,38.83583333333336,d17fb47064bdfcb2,324,324,0,0.0,-1057.3000000000004,-1400.41227186315,-38.83583333333336,1.0,-0.4683914411022018,0.0
19,train_balanced_1000018,0.6090443079734051,0.6090443079734051,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.39095569202659486,770.3000000000001,933.1254923442301,56.191388888888916,d17fb47064bdfcb2,232,232,0,0.0,-770.3000000000001,-933.1254923442301,-56.191388888888916,1.0,-0.39095569202659486,0.0
20,train_easy_1000019,0.6801949892302461,0.6801949892302461,0.0,True,False,True,False,completed,1.0,1.0,0.0,1.0,0.0,0.31980501076975393,564.1999999999999,1061.8729998180804,51.62805555555556,d17fb47064bdfcb2,196,196,0,0.0,-564.1999999999999,-1061.8729998180804,-51.62805555555556,1.0,-0.31980501076975393,0.0
21,train_fatigue_bottleneck_1000020,-0.06470588235294117,-0.06470588235294117,0.0,False,True,False,True,unrecoverable_deadlock,0.8823529411764706,0.935064935064935,0.0,0.9352941176470588,0.0,1.0,3283.4999999999995,6483.921947655399,4.90222222222221,d17fb47064bdfcb2,499,499,0,0.0,-3283.4999999999995,-6483.921947655399,-4.902222222222209,0.9352941176470588,-1.0,0.0
