update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2199,2199,0,0.0,2199,0,0.0,0,9.112843599999906,4.441298700039624,3.797204899979988,1.7869742999318987,15.204233700002078,90.4302755166971,feasibility,feasibility_best,-0.00600650789482253,0.013500253277431642,0.446807615671839,-0.003724457130634359,0.0030011906750067804,0.031327639733042034,0.9995008971009935,1.110140384520803,0.6142857142857143,20.598052978515625,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.30038800835609436,-0.29987239837646484,-0.19964739680290222,-0.19991923868656158,-0.19986951351165771,0.2996223270893097,-0.29991239309310913,-0.2998512089252472,-0.19989681243896484,-0.19994105398654938,-0.19999055564403534,0.017970290035009384,0.018008790910243988,0.01798621006309986,0.01802167296409607
2,10,19,10,10,1811,1811,0,0.0,1811,0,0.0,0,5.086981400003424,3.283069699871703,1.248912899987772,1.7201283002650598,12.466311299998779,103.17152633134026,feasibility,not_applicable,0.012733900132749615,0.00945148767164812,0.519281353416114,0.012266830621479914,0.0008345898170554047,0.012661637931034482,1.001291591545631,0.7482108748678503,0.603448275862069,2.4252254962921143,0.4120939075946808,0.2421540915966034,0.20382267236709595,0.09752446413040161,0.20827123522758484,0.1643807291984558,0.8378027677536011,0.0001,-0.30059167742729187,-0.300327867269516,-0.19999516010284424,-0.20023930072784424,-0.2001759111881256,0.2997613549232483,-0.3000723123550415,-0.29967838525772095,-0.1999264806509018,-0.20007121562957764,-0.19982799887657166,0.017946215346455574,0.01801956258714199,0.01798621006309986,0.018032068386673927
3,20,29,10,10,2163,2163,0,0.0,2163,0,0.0,0,5.854088799998863,3.9936691999901086,1.1720576999796322,1.7138615001313156,15.678274200006854,100.453443033606,feasibility,phase_transition,-0.0011916329317233141,0.005091974638429854,0.47573746784644966,-0.0034030190436169505,0.0015853054283070378,0.024816176470588234,1.0009107931571848,0.4533557979499592,0.3088235294117647,1.8937219381332397,0.5671336650848389,0.2789628803730011,0.16269387304782867,0.07829122245311737,0.4044397175312042,0.2395513951778412,0.9212349653244019,0.0001,-0.30070555210113525,-0.30070236325263977,-0.2001482993364334,-0.20050710439682007,-0.200513556599617,0.3001219630241394,-0.30058184266090393,-0.30010512471199036,-0.20003558695316315,-0.20035706460475922,-0.2000865787267685,0.017968524247407913,0.01807192899286747,0.01798621006309986,0.018065474927425385
4,30,39,10,10,2358,2358,0,0.0,2358,0,0.0,0,6.4829311999928905,4.442621200083522,1.2948473000287777,2.071908800091478,17.533442300002207,98.18301668236802,quality,promoted,-0.0005573729128652328,0.0036583265535080354,0.49579237280665217,-0.003686133394571575,0.0009928316749456163,0.012747122125851142,0.9994247765154451,0.46964529519145554,0.3783783783783784,1.5009807348251343,0.667097806930542,0.3155439496040344,0.1324872523546219,0.07275192439556122,0.5346105694770813,0.2897529602050781,0.9468419551849365,0.0001,-0.30036377906799316,-0.3006313443183899,-0.20006096363067627,-0.20045991241931915,-0.20051038265228271,0.30005940794944763,-0.3007837235927582,-0.30036553740501404,-0.2004171758890152,-0.20059658586978912,-0.1999543011188507,0.01797698251903057,0.018086150288581848,0.01798621006309986,0.01809094101190567
5,40,49,10,10,2401,2401,0,0.0,2401,0,0.0,0,7.023439399999916,4.62497509997047,1.728216199990129,1.9631469003070379,17.854932599992026,96.50953044679844,quality,promoted,-0.0004649167684348006,0.003872614595150624,0.49186456948518753,-0.003447254776562515,0.0012183231709442272,0.01459703947368421,0.998969872531138,0.5174227816689956,0.3684210526315789,3.8464274406433105,0.8041881918907166,0.33327099680900574,0.12000543624162674,0.07513761520385742,0.6841827034950256,0.3206901550292969,0.9491700530052185,0.0001,-0.29976537823677063,-0.3008342981338501,-0.2004428207874298,-0.20060476660728455,-0.20066918432712555,0.29999276995658875,-0.3007374703884125,-0.30007776618003845,-0.2004973143339157,-0.200576514005661,-0.2002270668745041,0.017994508147239685,0.018047520890831947,0.01798621006309986,0.018102234229445457
6,50,59,10,10,2104,2104,0,0.0,2104,0,0.0,0,5.930156699992949,3.91882289989735,1.3049985999678029,1.7902617993677268,14.894504800002323,101.03405522344157,quality,not_promoted,-0.0006617266300247248,0.01400531311237225,0.5335514211293423,0.0010054165455089374,0.0008635957543226665,0.004531926419021505,0.9992398213256489,0.5049938663388743,0.3787878787878788,1.938262701034546,0.9481258988380432,0.26825663447380066,0.1021963581442833,0.1471976935863495,0.8459295630455017,0.26292333006858826,0.6989067792892456,0.0001,-0.30009740591049194,-0.3008648157119751,-0.20051035284996033,-0.20063179731369019,-0.20070795714855194,0.30012357234954834,-0.30046069622039795,-0.2993836998939514,-0.20051556825637817,-0.20051421225070953,-0.20034369826316833,0.018009932711720467,0.018058238551020622,0.01798621006309986,0.01809290051460266
7,60,69,10,10,2390,2390,0,0.0,2390,0,0.0,0,7.628293799993116,4.8777100998559035,1.5966247000178555,2.088823300480726,17.680683200000203,94.43289628026572,quality,not_promoted,0.006457824296759148,0.002071923341932952,0.5079097118424741,0.002414688504742164,0.000702377711843981,0.004523026315789474,1.0002688193007518,0.3958218987835081,0.25,1.0384129285812378,1.0311639308929443,0.2524252235889435,0.09497980773448944,0.06355589628219604,0.9361841082572937,0.2678513824939728,0.9366062879562378,0.0001,-0.3000498414039612,-0.301382452249527,-0.2007821649312973,-0.20096518099308014,-0.2010616511106491,0.30036354064941406,-0.30060747265815735,-0.29902198910713196,-0.20053695142269135,-0.20054739713668823,-0.20028746128082275,0.018038948997855186,0.018056485801935196,0.01798621006309986,0.018116910010576248
8,70,79,10,10,1963,1963,0,0.0,1963,0,0.0,0,12.994197399995755,3.58990940010699,8.718654899988906,1.7711039999558125,13.295903600010206,74.66688697770903,quality,not_promoted,0.0002718864519509577,0.0019357032499336187,0.49280320348278167,-0.00368829371948396,0.0013229650599720527,0.015120967741935484,0.9998589523376957,0.32971559176521914,0.16129032258064516,1.055379867553711,1.193756341934204,0.19999271631240845,0.08793014287948608,0.06444603204727173,1.1058261394500732,0.20102116465568542,0.8961601257324219,0.0001,-0.30027279257774353,-0.3011813759803772,-0.2008792757987976,-0.20082302391529083,-0.2009313851594925,0.30061620473861694,-0.3003576099872589,-0.299394816160202,-0.20080798864364624,-0.2003796249628067,-0.20054970681667328,0.0180206336081028,0.018051384016871452,0.01798621006309986,0.018108023330569267
9,80,89,10,10,2082,2082,0,0.0,2082,0,0.0,0,6.23314839998784,4.106311099909362,1.3371481999929529,1.815224599922658,15.229948599997442,97.00370827199018,quality,not_promoted,-0.0011121451177380302,0.0017598723720628627,0.5039611517479925,-0.00527182024212159,0.002385275985227164,0.03172348484848485,1.0000490347544353,0.3717225144306819,0.19696969696969696,0.8730308413505554,1.1977437734603882,0.24395403265953064,0.07799330353736877,0.06037567928433418,1.1197506189346313,0.25156670808792114,0.9387497305870056,0.0001,-0.300035297870636,-0.3014899790287018,-0.2010345607995987,-0.20107512176036835,-0.20117054879665375,0.30084654688835144,-0.30028247833251953,-0.2994266450405121,-0.20119807124137878,-0.20032458007335663,-0.20057794451713562,0.017988311126828194,0.018066760152578354,0.01798621006309986,0.01809545047581196
10,90,99,10,10,2027,2027,0,0.0,2027,0,0.0,0,5.542627999995602,3.7620316999673378,1.1809611999924527,1.704563799983589,14.475792199998978,101.25674152851226,quality,not_promoted,0.0007146117422962561,0.0011687597511809145,0.511723340023309,-0.003818242170382291,0.0013490534806805954,0.017333984375,1.000214844942093,0.3888241571257822,0.234375,1.0671008825302124,1.2798287868499756,0.2000051587820053,0.058658238500356674,0.058600205928087234,1.221170425415039,0.19780872762203217,0.9141548275947571,0.0001,-0.30023181438446045,-0.3017682731151581,-0.20124751329421997,-0.20128123462200165,-0.20131953060626984,0.30110424757003784,-0.30007341504096985,-0.29954013228416443,-0.20115673542022705,-0.20023851096630096,-0.20085616409778595,0.018000954762101173,0.018047567456960678,0.01798621006309986,0.018063824623823166
