update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,2199,2199,0,0.0,2199,0,0.0,0,12.836054200000945,7.464523200207623,4.160659099987242,1.6418462000146974,23.498835300008068,60.52034367682485,feasibility,feasibility_best,-0.005996520564492259,0.01148238382967455,0.4472016768796103,-0.004727345525420138,0.0027448285327409394,0.029415760881134442,0.9989880170140948,0.36051553966743605,0.11428571428571428,1.931839108467102,0.21315667033195496,0.20522305369377136,0.17132557928562164,0.18263597786426544,0.04183107614517212,0.04155316576361656,0.20800882577896118,0.0001,-0.30038031935691833,-0.2999177873134613,-0.19965611398220062,-0.1999548375606537,-0.19992077350616455,0.2996425926685333,-0.29993924498558044,-0.29990342259407043,-0.19996771216392517,-0.19996272027492523,-0.19991599023342133,0.01799432747066021,0.11938872188329697,0.01798621006309986,0.11910010129213333
2,10,19,10,10,1892,1892,0,0.0,1892,0,0.0,0,8.299914399991394,6.188838499991107,1.45507290000387,1.6253764000284718,17.732386599993333,72.67893836972421,feasibility,not_applicable,-0.0027139433504392704,0.006291882961522788,0.5396707321206728,-0.00496470887446776,0.0012928620303985856,0.01895254629974564,1.0013967514038087,0.5549765215565761,0.4666666666666667,2.09430193901062,0.4350224435329437,0.2321329116821289,0.19176027178764343,0.08910822123289108,0.2432621866464615,0.16671809554100037,0.8526459336280823,0.0001,-0.30052754282951355,-0.3004465401172638,-0.1999954879283905,-0.2003340721130371,-0.20030054450035095,0.300042986869812,-0.3000597059726715,-0.3000187575817108,-0.1996099352836609,-0.2000405341386795,-0.19993087649345398,0.018011847510933876,0.11939530074596405,0.01798621006309986,0.11914528906345367
3,20,29,10,10,2153,2153,0,0.0,2153,0,0.0,0,9.524552000002586,7.270447399991099,1.4293668999889633,1.6033632002654485,21.678391200010083,68.99990126569618,feasibility,phase_transition,-0.0011996171464595724,0.004423034409923917,0.5494354183182997,-0.004482454325839439,0.0009909296996364206,0.009376120917937335,0.9997238990138558,0.43467628758619814,0.23529411764705882,1.814191222190857,0.5637649893760681,0.271173357963562,0.16370025277137756,0.07064344733953476,0.4000647962093353,0.23323580622673035,0.9321343898773193,0.0001,-0.30036869645118713,-0.3005664050579071,-0.20028342306613922,-0.20042243599891663,-0.20039576292037964,0.3000966012477875,-0.3002428412437439,-0.299894779920578,-0.19981785118579865,-0.2001732587814331,-0.19970761239528656,0.018008707091212273,0.1194629892706871,0.01798621006309986,0.11930039525032043
4,30,39,10,10,2398,2398,0,0.0,2398,0,0.0,0,10.85638490000565,8.342632400090224,1.5576051999814808,1.836601000119117,25.88154219998978,65.27314384050531,quality,not_promoted,-0.0017613431708397049,0.0035240586638744724,0.510488597578124,-0.005104200289535679,0.0016932355616805389,0.018558114080836897,1.0007409782786119,0.40491101341812236,0.2894736842105263,1.4296939373016357,0.6784669160842896,0.30629003047943115,0.13119573891162872,0.06658298522233963,0.5472710728645325,0.286620557308197,0.9527435898780823,0.0001,-0.30023252964019775,-0.30100247263908386,-0.20067249238491058,-0.20072945952415466,-0.2006547749042511,0.3004739582538605,-0.300185889005661,-0.3003029227256775,-0.19987373054027557,-0.2001577764749527,-0.19974565505981445,0.01803286001086235,0.11980165541172028,0.01798621006309986,0.11910580098628998
5,40,49,10,10,2785,2785,0,0.0,2785,0,0.0,0,13.84791129999212,9.993377700375277,2.021604000008665,2.147576499643037,29.844268600005307,63.741383615427345,quality,not_promoted,-0.0003141649914058772,0.0025906312379943715,0.38971985233100975,-0.0029160472516774794,0.0005951649568900889,0.0023082386363636365,1.0002525394613093,0.2848035407421941,0.125,1.0482239723205566,0.772647500038147,0.3099372386932373,0.10507064312696457,0.07365332543849945,0.6675769686698914,0.2921218276023865,0.9435274600982666,0.0001,-0.2998461425304413,-0.30151936411857605,-0.20121821761131287,-0.20110270380973816,-0.20096157491207123,0.300619512796402,-0.29956507682800293,-0.29966801404953003,-0.19985844194889069,-0.1997457593679428,-0.19949564337730408,0.01802145689725876,0.12012962996959686,0.01798621006309986,0.11921044439077377
6,50,59,10,10,2170,2170,0,0.0,2170,0,0.0,0,9.724990700007766,7.385900999972364,1.4590766999754123,1.5163437000155682,22.766968500000075,66.785754181283,quality,not_promoted,9.022818823509356e-05,0.002462927549084484,0.4596538359628004,-0.0032748469452866737,0.0017579778511443531,0.02734375,0.9998451234663234,0.37045554055229707,0.20588235294117646,1.1617097854614258,0.948176383972168,0.2514931857585907,0.11813481152057648,0.06360441446304321,0.8300415277481079,0.2635985016822815,0.9360380172729492,0.0001,-0.3003527522087097,-0.3016502261161804,-0.20130892097949982,-0.2011914849281311,-0.2010592222213745,0.301430881023407,-0.29973629117012024,-0.29972702264785767,-0.19975270330905914,-0.1998615264892578,-0.19939354062080383,0.018027495592832565,0.1203678771853447,0.01798621006309986,0.11933109909296036
7,60,69,10,10,2335,2335,0,0.0,2335,0,0.0,0,10.938921799999662,8.114057500220952,1.7956130000093253,1.6810008000175003,24.295091300009517,66.27119066375643,quality,not_promoted,0.0003276247266881369,0.0020868059651252837,0.45392720240193446,-0.0031682449783123024,0.0009220574034230054,0.012696163879858481,1.0003029067774076,0.37718493692778254,0.2702702702702703,1.0245989561080933,1.0102708339691162,0.2710554897785187,0.1027136892080307,0.06394226849079132,0.9075573682785034,0.28432467579841614,0.9443507194519043,0.0001,-0.3008313477039337,-0.30208688974380493,-0.2016463726758957,-0.20150013267993927,-0.20130814611911774,0.3020796775817871,-0.3000301420688629,-0.30010879039764404,-0.1997557282447815,-0.20005306601524353,-0.19958139955997467,0.018056970089673996,0.12074174731969833,0.01798621006309986,0.1191510409116745
8,70,79,10,10,2014,2014,0,0.0,2014,0,0.0,0,16.645795200005523,6.681945000222186,9.183578099997249,1.5482797001750441,18.57492529999581,57.182248727703445,quality,not_promoted,0.0015158307796809822,0.0019918557768505707,0.44822540041059256,-0.001970495140994899,0.0009306054857631807,0.013427734375,0.9997852789238095,0.3698520114412531,0.296875,0.8197309970855713,1.1810228824615479,0.20607157051563263,0.08937432616949081,0.05968881770968437,1.0916484594345093,0.20739035308361053,0.9161023497581482,0.0001,-0.3004556894302368,-0.30221182107925415,-0.20172251760959625,-0.201590895652771,-0.2014094591140747,0.3020693063735962,-0.300144761800766,-0.3001650869846344,-0.19978776574134827,-0.2001781016588211,-0.19964182376861572,0.018058940768241882,0.1209346130490303,0.01798621006309986,0.11907971650362015
9,80,89,10,10,2100,2100,0,0.0,2100,0,0.0,0,9.532562599997618,7.092237799864961,1.6232502999919234,1.6266631999751553,21.061022200010484,68.6418415405652,quality,not_promoted,-0.0013257228825805764,0.0013896475711865633,0.4510202141422214,-0.005141101199004686,0.0017187953609126535,0.021051864817061207,1.001996830557332,0.28706578741019423,0.12121212121212122,1.0327016115188599,1.1800217628479004,0.24459756910800934,0.08061559498310089,0.061590541154146194,1.099406123161316,0.24926848709583282,0.9365949630737305,0.0001,-0.3001171052455902,-0.3024546504020691,-0.2020300030708313,-0.20175014436244965,-0.20155256986618042,0.30203741788864136,-0.30058684945106506,-0.3005043864250183,-0.20011165738105774,-0.20052683353424072,-0.19978968799114227,0.01803739182651043,0.12147743999958038,0.01798621006309986,0.1192350834608078
10,90,99,10,10,2056,2056,0,0.0,2056,0,0.0,0,8.958878600009484,6.904346199982683,1.2800442000152543,1.43003720031993,19.698722400004044,71.74361873483511,quality,not_promoted,0.0010375184373873653,0.001194763854128365,0.40251845031073596,-0.0023902847121159234,0.0006584762560316559,0.009706439393939394,0.9992150266965231,0.2679607934233817,0.10606060606060606,0.7528955936431885,1.2626874446868896,0.18911273777484894,0.0624837689101696,0.05894698575139046,1.200203776359558,0.1890193670988083,0.902841329574585,0.0001,-0.3000548779964447,-0.3031603693962097,-0.2024952918291092,-0.20223882794380188,-0.2020324468612671,0.30260252952575684,-0.300825834274292,-0.3006388545036316,-0.2005523443222046,-0.20066353678703308,-0.19969193637371063,0.01801741123199463,0.12199066579341888,0.01798621006309986,0.11925213038921356
11,100,109,10,10,2102,2102,0,0.0,2102,0,0.0,0,9.866310500001418,7.199302799781435,2.0272562999889487,1.466450699736015,20.296744399995077,69.68790153945064,quality,not_promoted,0.0002584912052208727,0.0008322152628379902,0.3885185086365902,-0.0032105861923121142,0.0006865695705652219,0.011644219979643822,1.0004447102546692,0.23185460145274797,0.09090909090909091,0.6186338067054749,1.3079732656478882,0.22160407900810242,0.05542343109846115,0.04996870830655098,1.2525500059127808,0.21361546218395233,0.949155867099762,0.0001,-0.29988235235214233,-0.3034180998802185,-0.20271770656108856,-0.20239514112472534,-0.20215272903442383,0.30277711153030396,-0.3008314371109009,-0.3010806143283844,-0.2007419466972351,-0.20066842436790466,-0.19979700446128845,0.01801154389977455,0.12241396307945251,0.01798621006309986,0.11950789391994476
12,110,119,10,10,2467,2467,0,0.0,2467,0,0.0,0,11.238626100006513,8.692351299934671,1.812345100013772,1.7016774002840975,25.935834799995064,66.36276465813914,quality,not_promoted,0.002985819027974055,0.0007758256354300568,0.3823004464308421,-0.00044927247561132297,0.001265846257201002,0.016191620881167743,1.000136143121964,0.21654594799455923,0.05128205128205128,0.6537703275680542,1.3751150369644165,0.2497531622648239,0.050675973296165466,0.05232851579785347,1.324439287185669,0.25008687376976013,0.9561010003089905,0.0001,-0.29993000626564026,-0.3031509518623352,-0.20291733741760254,-0.20219412446022034,-0.20195335149765015,0.3026266098022461,-0.3017578721046448,-0.30187779664993286,-0.2008923888206482,-0.2014206051826477,-0.20003511011600494,0.017990076914429665,0.12233676016330719,0.01798621006309986,0.11997700482606888
13,120,129,10,10,2288,2288,0,0.0,2288,0,0.0,0,10.110239400004502,7.782981299911626,1.5419863999995869,1.6002821001020493,22.340526699990733,70.50681000718612,quality,not_promoted,-0.0007313959973139896,0.0006066869308496178,0.4055245713227325,-0.004483298663722558,0.00035383570421901014,0.004991319444444444,1.000079319708877,0.20967487468280727,0.027777777777777776,0.6643437147140503,1.415295958518982,0.2310977280139923,0.037935610860586166,0.04573344439268112,1.3773605823516846,0.22134096920490265,0.9608369469642639,0.0001,-0.2997080981731415,-0.30329629778862,-0.20323322713375092,-0.20230674743652344,-0.2020260989665985,0.30282828211784363,-0.3018813133239746,-0.3019254803657532,-0.20121023058891296,-0.20152124762535095,-0.20007744431495667,0.017943475395441055,0.12247973680496216,0.01798621006309986,0.11986255645751953
14,130,139,10,10,2332,2332,0,0.0,2332,0,0.0,0,11.986747400005697,8.418078099930426,2.0999424000183353,1.637460700047086,25.235343599997577,62.65096713668759,quality,not_promoted,-0.0014882679852480825,0.00042448146357216773,0.3260599300265312,-0.004536626992646504,0.00021608735912466087,0.0016891891891891893,0.999897459874282,0.17628357589647575,0.0,0.4134606122970581,1.4329795837402344,0.23837414383888245,0.02581038884818554,0.04015812650322914,1.4071693420410156,0.22996114194393158,0.9716189503669739,0.0001,-0.29957759380340576,-0.3036995828151703,-0.2034129500389099,-0.20259122550487518,-0.20237699151039124,0.30305030941963196,-0.3016682267189026,-0.30184972286224365,-0.20140597224235535,-0.20135872066020966,-0.20008549094200134,0.017972275614738464,0.12274285405874252,0.01798621006309986,0.11963555961847305
