episode,trajectory_index,base_instance_index,preference_slot,preference_group_id,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale
0,0,0,0,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,1.0,0.0,0.0,group_anchor_0,317,317,0,0.0,317,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1709.900000000001,-1194.2648984475102,-22.105555555555572,1.0000000000000002,1.0,-0.5876146946630469,0.0,0.0,-0.0625,81,166.8,True,False,completed,1.0,1.0,1709.900000000001,1709.900000000001,1194.2648984475102,22.105555555555572,0.518401731356505,0.5876146946630469,0.7497120146000003,0.66054599115,0.75,24,0.20168067226890757,7,7,31,0.12550607287449392,0,95,1,2,1216,121.60000000000001,0,0,0,0.0,0,0.0,0,0,53,0.0,0,{},4.5,24,0.9166666666666666,57,24,139,48,49,184,124,60,11,173,0,124,11,49,11,11,0,173,26,41,4,45,22,173,0,0,124,11,49,108,12,1.7037037037037037,0,10,2532,12.869032399961725,10.45267200062517,0.22306079999543726,0.23223950038664043,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
1,1,0,1,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,1.0,0.0,group_anchor_1,353,353,0,0.0,353,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-1703.700000000001,-1384.5197589194404,-2.196666666666662,1.0000000000000002,1.0,-0.5806283440263225,0.0,0.0,-0.0625,81,180.10000000000002,True,False,completed,1.0,1.0,1703.700000000001,1703.700000000001,1384.5197589194404,2.196666666666663,0.4759724714428265,0.5806283440263225,0.7495808938999996,0.693902239233333,0.75,56,0.3128491620111732,17,17,59,0.22348484848484848,0,104,2,0,1252,125.2,0,0,0,0.0,0,0.0,0,0,50,0.0,0,{},8.700000000000001,27,0.9629629629629629,54,27,157,54,61,217,140,77,16,201,0,140,16,61,16,16,0,201,31,63,3,58,52,201,0,0,140,16,61,98,24,2.2142857142857144,0,10,2532,12.869032399961725,10.45267200062517,0.22970909997820854,0.27401249948889017,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
2,2,0,2,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,0.0,1.0,group_anchor_2,368,368,0,0.0,368,0,0.0,0,0.0,1.9375,2.0,-0.06249999999999997,1.9375,2.0,0.0,feasibility,-1864.0000000000014,-1266.9295948107829,-6.849166666666671,1.0000000000000002,1.0,-0.12047963177413926,0.0,0.0,-0.06249999999999997,81,161.8,True,False,completed,1.0,1.0,1864.0000000000014,1864.0000000000014,1266.9295948107829,6.8491666666666715,0.4959358817277718,0.12047963177413926,0.7497120145999998,0.6935355725666666,0.75,111,0.4847161572052402,26,26,340,0.6924643584521385,0,96,5,0,1058,105.80000000000001,0,0,0,0.0,0,0.0,0,0,54,0.0,0,{},5.5,25,0.92,56,25,167,50,70,237,151,86,16,221,0,151,16,70,16,16,0,221,33,78,3,66,76,221,0,0,151,16,70,107,43,2.2149532710280373,0,10,2532,12.869032399961725,10.45267200062517,0.2272717000450939,0.28331179916858673,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
3,3,0,3,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,313,313,0,0.0,313,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1691.9999999999998,-1217.7044414406191,-6.693333333333349,1.0000000000000002,1.0,-0.4174025382677368,0.0,0.0,-0.0625,81,181.4,True,False,completed,1.0,1.0,1691.9999999999998,1691.9999999999998,1217.7044414406191,6.6933333333333485,0.4808685237308457,0.4174025382677368,0.6916808939000002,0.6089189059000001,0.75,3,0.024193548387096774,0,0,4,0.020833333333333332,1,121,0,1,1291,129.1,0,0,0,0.0,0,0.0,0,0,51,0.0,0,{},0.0,25,0.88,56,25,136,50,46,179,129,50,4,175,0,129,4,46,4,4,0,175,28,26,4,46,3,175,0,0,129,4,46,115,6,1.5565217391304347,0,10,2532,12.869032399961725,10.45267200062517,0.2241996000520885,0.23462859925348312,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
4,4,0,4,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.5,0.3,0.2,group_anchor_4,316,316,0,0.0,316,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1713.3999999999999,-1177.7947490556196,-11.063333333333341,1.0000000000000002,1.0,-0.4925366297956144,0.0,0.0,-0.0625,81,161.3,True,False,completed,1.0,1.0,1713.3999999999999,1713.3999999999999,1177.7947490556196,11.063333333333341,0.4925366297956144,0.4925366297956144,0.7498230439000003,0.7076855725666666,0.75,13,0.11504424778761062,3,3,36,0.17142857142857143,0,99,0,0,1211,121.10000000000001,0,0,0,0.0,0,0.0,0,0,51,0.0,0,{},1.2000000000000002,24,1.0,57,24,140,48,47,188,127,61,14,174,0,127,14,47,14,14,0,174,30,37,3,47,9,174,0,0,127,14,47,102,12,1.8431372549019607,0,10,2532,12.869032399961725,10.45267200062517,0.21822469995822757,0.27131230023223907,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
5,5,1,0,1,1,train_easy_1000001,1000001,easy,balanced_cost,1.0,0.0,0.0,group_anchor_0,177,177,0,0.0,177,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-515.8,-424.98470260605,-5.904722222222222,0.9999999999999997,1.0,-0.30061778762093483,0.0,0.0,-0.0625,50,170.70000000000002,True,False,completed,1.0,1.0,515.8,515.8,424.98470260605,5.904722222222222,0.2609045521820603,0.30061778762093483,0.24970000000000003,0.15007793018333335,0.75,0,0.0,0,0,0,0.0,2,63,0,0,1408,140.8,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,11,1.0,39,11,84,22,21,98,77,21,0,98,0,77,0,21,0,0,0,98,11,11,1,21,0,98,0,0,77,0,21,67,6,1.462686567164179,0,10,2532,12.869032399961725,10.45267200062517,0.13105040008667856,0.16734860034193844,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
6,6,1,1,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,1.0,0.0,group_anchor_1,174,174,0,0.0,174,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-524.7000000000002,-387.94864772264003,-8.43138888888889,0.9999999999999997,1.0,-0.2795122487847011,0.0,0.0,-0.0625,50,177.8,True,False,completed,1.0,1.0,524.7000000000002,524.7000000000002,387.94864772264003,8.43138888888889,0.26482619392429096,0.2795122487847011,0.19890000000000002,0.14211126351666667,0.75,0,0.0,0,0,0,0.0,2,57,0,0,1480,148.0,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,10,1.0,40,10,84,20,20,98,78,20,0,98,0,78,0,20,0,0,0,98,10,10,0,20,0,98,0,0,78,0,20,68,5,1.4411764705882353,0,10,2532,12.869032399961725,10.45267200062517,0.13486889994237572,0.17405360017437488,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
7,7,1,2,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,0.0,1.0,group_anchor_2,179,179,0,0.0,179,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-526.0999999999999,-435.8868352469601,-10.04138888888889,0.9999999999999997,1.0,-0.167241116081962,0.0,0.0,-0.0625,50,172.60000000000002,True,False,completed,1.0,1.0,526.0999999999999,526.0999999999999,435.8868352469601,10.04138888888889,0.27691368317819925,0.167241116081962,0.18570000000000003,0.14960283976666666,0.75,0,0.0,0,0,0,0.0,2,62,0,1,1300,130.0,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,11,1.0,39,11,85,22,22,100,78,22,0,100,0,78,0,22,0,0,0,100,11,11,0,22,0,100,0,0,78,0,22,68,4,1.4705882352941178,0,10,2532,12.869032399961725,10.45267200062517,0.13535760005470365,0.16030879912432283,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
8,8,1,3,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,161,161,0,0.0,161,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-501.99999999999994,-312.72043456486,-6.012222222222223,0.9999999999999997,1.0,-0.21350266129741485,0.0,0.0,-0.0625,50,173.0,True,False,completed,1.0,1.0,501.99999999999994,501.99999999999994,312.72043456486,6.012222222222223,0.24040805095093049,0.21350266129741485,0.15780000000000002,0.12105661553333334,0.75,0,0.0,0,0,0,0.0,2,47,0,0,1417,141.70000000000002,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,8,1.0,42,8,79,16,16,87,71,16,0,87,0,71,0,16,0,0,0,87,8,8,0,16,0,87,0,0,71,0,16,59,5,1.4745762711864407,0,10,2532,12.869032399961725,10.45267200062517,0.12963219999801368,0.1491582994349301,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
9,9,1,4,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.5,0.3,0.2,group_anchor_4,174,174,0,0.0,174,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-508.59999999999997,-382.49002774596,-8.596666666666671,0.9999999999999997,1.0,-0.26117737513016764,0.0,0.0,-0.0625,50,169.20000000000002,True,False,completed,1.0,1.0,508.59999999999997,508.59999999999997,382.49002774596,8.59666666666667,0.26117737513016764,0.26117737513016764,0.13300000000000003,0.11258333333333335,0.75,0,0.0,0,0,0,0.0,2,59,0,1,1348,134.8,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,10,1.0,40,10,84,20,20,97,77,20,0,97,0,77,0,20,0,0,0,97,10,10,0,20,0,97,0,0,77,0,20,67,6,1.4477611940298507,0,10,2532,12.869032399961725,10.45267200062517,0.12511740007903427,0.14268359914422035,22.03254119993653,parallel_episode_batch,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
