update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale
1,0,9,10,10,2532,2532,0,0.0,2532,0,0.0,0,12.869032399961725,10.45267200062517,1.7784924001898617,2.089057596749626,22.03254119993653,72.54687221344602,feasibility,feasibility_best,0.0005567585154494737,0.009886403844575398,0.38465756718069316,0.0016533841990167275,0.001204329847223562,0.01714409722480923,1.000532853603363,0.38845178205519915,0.1875,1.2378754615783691,0.29738590121269226,0.16103577613830566,0.13440261781215668,0.17464116215705872,0.1629832535982132,0.043185923248529434,-0.17611157894134521,0.0001,-0.30033600330352783,-0.29964679479599,-0.19991350173950195,-0.19973501563072205,-0.19981662929058075,0.3001549243927002,-0.2999309301376343,-0.2997228503227234,-0.1999972015619278,-0.1998644918203354,-0.19995830953121185,0.017944298684597015,0.1193060651421547,0.01798621006309986,0.11936833709478378,1.00002121925354
2,10,19,10,10,1617,1617,0,0.0,1617,0,0.0,0,7.691902099992149,6.248407000210136,1.6086679002037272,1.3981408975087106,12.000598800019361,82.11247561751057,feasibility,not_applicable,-0.009167869252940783,0.006222747465541873,0.3485437986942438,-0.00954193313821004,0.0010807646831381135,0.013822115384615384,1.0006517114547582,0.47978318941134673,0.28846153846153844,2.2033560276031494,0.6052549481391907,0.17925681173801422,0.19531500339508057,0.08058333396911621,0.40993988513946533,0.11747071146965027,0.7979126572608948,0.0001,-0.30031058192253113,-0.29970499873161316,-0.20000909268856049,-0.1997765600681305,-0.19982248544692993,0.30050793290138245,-0.29959404468536377,-0.2994977533817291,-0.200158953666687,-0.19961580634117126,-0.19997194409370422,0.017927683889865875,0.11922471225261688,0.01798621006309986,0.11952973157167435,1.0010420083999634
3,20,29,10,10,1774,1774,0,0.0,1774,0,0.0,0,8.448994699981995,7.011992499465123,0.9634616001276299,1.3201579971937463,14.009593599941581,78.98982680073603,feasibility,phase_transition,0.000984617492317089,0.005053627705949891,0.3781678330685411,-0.0002702463243622333,0.0013696152330209901,0.019361413050709025,1.0006416950907027,0.4718871217753206,0.3392857142857143,1.920844554901123,0.7300962805747986,0.20733898878097534,0.16984841227531433,0.06394777446985245,0.5602478981018066,0.1923205405473709,0.9048762321472168,0.0001,-0.30020326375961304,-0.299775630235672,-0.19996847212314606,-0.19983316957950592,-0.19981539249420166,0.3005789816379547,-0.29954078793525696,-0.29960545897483826,-0.20002833008766174,-0.19956986606121063,-0.2001858800649643,0.017940878868103027,0.11927227675914764,0.01798621006309986,0.11973410844802856,1.0009911060333252
4,30,39,10,10,2002,2002,0,0.0,2002,0,0.0,0,9.733382800011896,8.017577401478775,1.3986981000052765,1.7008185017621145,16.45553280005697,76.44455503895455,quality,pending,-0.0033821581600932404,0.0036857642999166274,0.3097859926056117,-0.00463713633507723,0.00028043247743880784,0.003662109375,0.999959098175168,0.31372104506590404,0.1875,1.459727168083191,0.8493988513946533,0.18668311834335327,0.13124440610408783,0.0648220032453537,0.7181544899940491,0.18230411410331726,0.8794312477111816,0.0001,-0.3002898097038269,-0.30031588673591614,-0.20039507746696472,-0.20020875334739685,-0.20015081763267517,0.3010312616825104,-0.29923632740974426,-0.29944977164268494,-0.20006786286830902,-0.19935791194438934,-0.2000669687986374,0.01791614480316639,0.11942242085933685,0.01798621006309986,0.11971130967140198,1.0016565322875977
5,40,49,10,10,2311,2311,0,0.0,2311,0,0.0,0,11.736749800038524,9.400845300173387,2.4120936000254005,1.9220624001463875,19.08418680005707,74.98149812854267,quality,pending,0.00023432079752957498,0.0027289480361080655,0.37709560386232427,-0.002172161957148362,0.0008441389027734043,0.010135135135135136,1.000525074230658,0.29314780381281635,0.17567567567567569,1.1618670225143433,0.9479247331619263,0.22085662186145782,0.1060764417052269,0.07029923796653748,0.8418483138084412,0.19862034916877747,0.8986834287643433,0.0001,-0.3005663752555847,-0.3009025752544403,-0.20071308314800262,-0.20062243938446045,-0.2005624920129776,0.3013695180416107,-0.29941242933273315,-0.2994789481163025,-0.19998390972614288,-0.19944985210895538,-0.1998796910047531,0.017921842634677887,0.11978548020124435,0.01798621006309986,0.11970660835504532,1.0031507015228271
6,50,59,10,10,1759,1759,0,0.0,1759,0,0.0,0,8.707081299973652,7.006322900415398,1.197149200248532,1.491303201764822,14.085575599921867,77.17397790549215,quality,pending,-1.9179357747946468e-05,0.002488919316549852,0.362669524071472,-0.002401414851192385,0.0002098834341138302,0.0016741071428571428,1.0001063251069613,0.3205870225293828,0.19642857142857142,1.2692439556121826,1.072003960609436,0.11751066893339157,0.11108438670635223,0.06406265497207642,0.9609196782112122,0.13434571027755737,0.7027956247329712,0.0001,-0.300186425447464,-0.30119532346725464,-0.20084163546562195,-0.2008340060710907,-0.20074762403964996,0.3014070689678192,-0.2996334731578827,-0.2997201085090637,-0.19999459385871887,-0.1995939165353775,-0.20003901422023773,0.017947575077414513,0.12011467665433884,0.01798621006309986,0.11993127316236496,1.002540946006775
7,60,69,10,10,1810,1810,0,0.0,1810,0,0.0,0,8.68961469992064,7.212464699870907,1.3891183999367058,1.52776610001456,14.388436699984595,78.42949860175077,quality,pending,-0.005491156452174844,0.002049591135863889,0.354757165343597,-0.008013932608421249,0.0007463722763375323,0.006196120689655173,0.9995217713816412,0.3168903694584452,0.15517241379310345,0.8737100958824158,1.1916614770889282,0.0974653884768486,0.08888332545757294,0.07234283536672592,1.1027779579162598,0.10395506769418716,0.44907790422439575,0.0001,-0.30041050910949707,-0.3016767203807831,-0.201280415058136,-0.20117956399917603,-0.20105662941932678,0.30176761746406555,-0.2998981773853302,-0.29973429441452026,-0.19994521141052246,-0.19977864623069763,-0.20044246315956116,0.017967749387025833,0.12055768072605133,0.01798621006309986,0.11977793276309967,1.0027564764022827
8,70,79,10,10,1794,1794,0,0.0,1794,0,0.0,0,8.62608169997111,7.0680134003050625,1.1758583000628278,1.548484699218534,13.641995000070892,80.5637605872184,quality,pending,0.021645398103985292,0.0014776492889095921,0.31323127679783724,0.019251911001729554,0.0009085792839398671,0.010237068965517241,0.999933503825089,0.287529857764984,0.1206896551724138,0.8505638837814331,1.258636474609375,0.11464066803455353,0.07199277728796005,0.05401209369301796,1.1866437196731567,0.10716908425092697,0.7780246734619141,0.0001,-0.30080366134643555,-0.30179744958877563,-0.20148560404777527,-0.2012684941291809,-0.20117789506912231,0.3020775616168976,-0.29972973465919495,-0.2996973693370819,-0.19971944391727448,-0.1996893584728241,-0.20055218040943146,0.018036121502518654,0.12074095010757446,0.01798621006309986,0.11972308903932571,1.0031551122665405
9,80,89,10,10,1816,1816,0,0.0,1816,0,0.0,0,8.77605080010835,7.2367779990890995,1.3305407000007108,1.5479104984551668,14.72933189989999,77.25889951153,quality,pending,0.005437969422802843,0.0010514813109003972,0.34289396734073246,0.002534771097245915,0.0004823083411573517,0.008620689655172414,1.0008030502960599,0.2610701674531246,0.06896551724137931,0.7738250494003296,1.3171048164367676,0.1649530977010727,0.05566316843032837,0.05218840762972832,1.261441707611084,0.13241888582706451,0.8999016284942627,0.0001,-0.3007301688194275,-0.30171266198158264,-0.20178592205047607,-0.20121484994888306,-0.20118972659111023,0.3020752966403961,-0.2996937930583954,-0.2996409833431244,-0.19950644671916962,-0.1996660977602005,-0.20050299167633057,0.01798895187675953,0.12102334201335907,0.01798621006309986,0.11973687261343002,1.0032364130020142
10,90,99,10,10,1771,1771,0,0.0,1771,0,0.0,0,8.77206180000212,7.060361399315298,1.3687399001792073,1.554244999657385,14.348956200061366,76.59697336834984,quality,pending,-0.0011876009437920792,0.0007445172866157788,0.33770735721502987,-0.004192416115464377,0.0005142123414511193,0.007254464285714286,0.9995925085885184,0.2105394267211003,0.05357142857142857,0.6320608854293823,1.3067880868911743,0.18335089087486267,0.051169220358133316,0.0364321768283844,1.255618929862976,0.16020137071609497,0.9605175256729126,0.0001,-0.30085518956184387,-0.3016263544559479,-0.2015584111213684,-0.20117829740047455,-0.20109236240386963,0.3020556569099426,-0.30012252926826477,-0.30017122626304626,-0.1997869610786438,-0.19996923208236694,-0.20096798241138458,0.01796831376850605,0.12108384072780609,0.01798621006309986,0.11973290145397186,1.0032411813735962
