episode,trajectory_index,base_instance_index,preference_slot,preference_group_id,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale
0,0,0,0,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,1.0,0.0,0.0,group_anchor_0,332,332,0,0.0,332,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-2119.399999999999,-1294.9589671126091,-5.7713888888888825,1.0000000000000002,1.0,-0.6384888835331686,0.0,0.0,-0.0625,81,198.8,True,False,completed,1.0,1.0,2119.399999999999,2119.399999999999,1294.9589671126091,5.7713888888888825,0.509219744052422,0.6384888835331686,0.7447808938999999,0.6662189059,0.75,8,0.06504065040650407,3,3,50,0.07163323782234957,0,114,3,7,1578,157.8,0,0,0,0.0,0,0.0,0,0,48,0.0,0,{},2.6,26,0.9615384615384616,55,26,153,52,46,127,67,60,14,113,0,67,14,46,14,14,0,113,24,27,1,33,7,113,0,0,67,14,46,68,12,1.8676470588235294,0,10,2235,14.458452999999963,9.64239619999978,0.22835929999996551,0.4291558000011264,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
1,1,0,1,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,1.0,0.0,group_anchor_1,281,281,0,0.0,281,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.06249999999999997,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1988.7999999999995,-806.73046943884,-7.528888888888891,1.0000000000000002,1.0,-0.4465140114061429,0.0,0.0,-0.06249999999999997,81,172.5,True,False,completed,1.0,1.0,1988.7999999999995,1988.7999999999995,806.73046943884,7.528888888888891,0.4719699377255275,0.4465140114061429,0.6953374885000001,0.5021355725666666,0.75,0,0.0,0,0,4,0.006097560975609756,1,83,0,9,1410,141.0,0,0,0,0.0,0,0.0,0,0,49,0.0,0,{},0.0,17,0.9411764705882353,64,17,136,34,30,92,58,34,4,88,0,58,4,30,4,4,0,88,16,13,1,24,0,88,0,0,58,4,30,59,8,1.5593220338983051,0,10,2235,14.458452999999963,9.64239619999978,0.21940539999991415,0.3865937000015265,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
2,2,0,2,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,0.0,1.0,group_anchor_2,283,283,0,0.0,283,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1866.7999999999997,-936.4583844265599,-2.6799999999999984,1.0000000000000002,1.0,-0.050873196659073625,0.0,0.0,-0.0625,81,175.20000000000002,True,False,completed,1.0,1.0,1866.7999999999997,1866.7999999999997,936.4583844265599,2.6799999999999984,0.45960897467694306,0.050873196659073625,0.6012871226000001,0.4410522392333334,0.75,0,0.0,0,0,0,0.0,1,86,0,5,1393,139.3,0,0,0,0.0,0,0.0,0,0,46,0.0,0,{},0.0,18,0.8888888888888888,63,18,133,36,33,105,67,38,5,100,0,67,5,33,5,5,0,100,15,17,0,27,0,100,0,0,67,5,33,71,9,1.4788732394366197,0,10,2235,14.458452999999963,9.64239619999978,0.2241662000000133,0.35541360000036093,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
3,3,0,3,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,286,286,0,0.0,286,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-1983.7,-892.4080678977301,-12.35888888888889,1.0000000000000002,1.0,-0.43094749997529,0.0,0.0,-0.0625,81,191.8,True,False,completed,1.0,1.0,1983.7,1983.7,892.4080678977301,12.358888888888892,0.4926497937429169,0.43094749997529,0.6894808939,0.5637689059,0.75,0,0.0,0,0,4,0.005873715124816446,1,89,0,10,1560,156.0,0,0,0,0.0,0,0.0,0,0,58,0.0,0,{},0.0,18,0.9444444444444444,63,18,138,36,31,98,62,36,5,93,0,62,5,31,5,5,0,93,15,15,1,24,1,93,0,0,62,5,31,57,9,1.719298245614035,0,10,2235,14.458452999999963,9.64239619999978,0.2359450999999808,0.49082850000070266,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
4,4,0,4,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.5,0.3,0.2,group_anchor_4,249,249,0,0.0,249,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-2022.1999999999998,-580.8357242509397,-15.211388888888886,1.0000000000000002,1.0,-0.47067133299182423,0.0,0.0,-0.0625,81,176.10000000000002,True,False,completed,1.0,1.0,2022.1999999999998,2022.1999999999998,580.8357242509397,15.211388888888886,0.47067133299182423,0.47067133299182423,0.28772304390000003,0.23201690346666667,0.75,0,0.0,0,0,6,0.0066815144766146995,2,66,0,4,1489,148.9,0,0,0,0.0,0,0.0,0,0,53,0.0,0,{},0.0,12,1.0,69,12,123,24,21,67,46,21,0,67,0,46,0,21,0,0,0,67,9,9,1,17,0,67,0,0,46,0,21,53,4,1.2641509433962264,0,10,2235,14.458452999999963,9.64239619999978,0.2251339999999118,0.5450736000000234,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
5,5,1,0,1,1,train_easy_1000001,1000001,easy,balanced_cost,1.0,0.0,0.0,group_anchor_0,151,151,0,0.0,151,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-608.3,-223.19098968506998,-8.029166666666669,0.9999999999999997,1.0,-0.33639329757230546,0.0,0.0,-0.0625,50,175.9,True,False,completed,1.0,1.0,608.3,608.3,223.19098968506998,8.029166666666669,0.2506093690281817,0.33639329757230546,0.13300000000000003,0.10435402371666669,0.75,0,0.0,0,0,0,0.0,3,36,0,1,1555,155.5,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,6,1.0,44,6,77,12,12,54,42,12,0,54,0,42,0,12,0,0,0,54,5,6,0,11,0,54,0,0,42,0,12,40,3,1.35,0,10,2235,14.458452999999963,9.64239619999978,0.14397710000002917,0.3323930000008204,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
6,6,1,1,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,1.0,0.0,group_anchor_1,150,150,0,0.0,150,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-710.1999999999995,-221.91887387421997,-2.3380555555555556,0.9999999999999997,1.0,-0.1816150635030321,0.0,0.0,-0.0625,50,180.10000000000002,True,False,completed,1.0,1.0,710.1999999999995,710.1999999999995,221.91887387421997,2.338055555555556,0.24931572176292827,0.1816150635030321,0.13300000000000003,0.10532971821666669,0.75,0,0.0,0,0,0,0.0,3,36,0,2,1606,160.60000000000002,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,6,1.0,44,6,76,12,12,37,25,12,0,37,0,25,0,12,0,0,0,37,5,3,0,8,0,37,0,0,25,0,12,30,2,1.2333333333333334,0,10,2235,14.458452999999963,9.64239619999978,0.12801600000000235,0.4378087999996296,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
7,7,1,2,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,0.0,1.0,group_anchor_2,183,183,0,0.0,183,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1016.2,-483.93873966290033,-1.8347222222222228,0.9999999999999997,1.0,-0.03539562176790548,0.0,0.0,-0.0625,50,236.4,True,False,completed,1.0,1.0,1016.2,1016.2,483.93873966290033,1.8347222222222228,0.3341807563572038,0.03539562176790548,0.2067,0.14548333333333333,0.75,0,0.0,0,0,5,0.013736263736263736,1,70,1,2,1993,199.3,0,0,0,0.0,0,0.0,0,0,20,0.0,0,{},0.0,12,1.0,38,12,87,24,22,55,32,23,2,53,1,31,1,22,1,1,1,53,6,6,0,11,0,53,1,0,31,1,22,40,4,1.375,0,10,2235,14.458452999999963,9.64239619999978,0.12071500000001834,0.6051739000009775,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
8,8,1,3,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,138,138,0,0.0,138,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-1433.3999999999999,-149.69023165507,-2.5513888888888894,0.9999999999999997,1.0,-0.24102206155781528,0.0,0.0,-0.0625,50,231.5,True,False,completed,1.0,1.0,1433.3999999999999,1433.3999999999999,149.69023165507,2.5513888888888894,0.3209278860840385,0.24102206155781528,0.1374930457,0.11542612196666667,0.75,0,0.0,0,0,0,0.0,3,24,0,0,2149,214.9,0,0,0,0.0,0,0.0,0,0,16,0.0,0,{},0.0,4,1.0,46,4,72,8,8,22,14,8,0,22,0,14,0,8,0,0,0,22,2,2,0,4,0,22,0,0,14,0,8,16,5,1.375,0,10,2235,14.458452999999963,9.64239619999978,0.14419199999997545,1.0273414000005232,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
9,9,1,4,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.5,0.3,0.2,group_anchor_4,182,182,0,0.0,182,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-748.5000000000001,-488.8499297662501,-2.46888888888889,0.9999999999999997,1.0,-0.2999838817054281,0.0,0.0,-0.0625,50,199.20000000000002,True,False,completed,1.0,1.0,748.5000000000001,748.5000000000001,488.8499297662501,2.46888888888889,0.2999838817054281,0.2999838817054281,0.2881,0.19673333333333334,0.75,0,0.0,0,0,2,0.00881057268722467,2,65,0,2,1734,173.4,0,0,0,0.0,0,0.0,0,0,17,0.0,0,{},0.0,12,0.8333333333333334,38,12,87,24,21,68,47,21,0,68,0,47,0,21,0,0,0,68,9,9,1,17,0,68,0,0,47,0,21,50,4,1.36,0,10,2235,14.458452999999963,9.64239619999978,0.14020809999999528,0.363347600000111,19.194816399999922,parallel_episode_batch,feasibility_best,-0.0005892344234910394,0.011899221994514977,0.8534875392913819,-0.00317449885021363,0.0001964184975284817,0.0,0.9997968392712729,0.5569480857678822,0.35714285714285715,2.187924861907959,0.3120497465133667,0.1726788431406021,0.15116092562675476,0.19067400693893433,0.16088880598545074,0.04049568995833397,-0.2192835807800293,0.0001,-0.30077850818634033,-0.2998717725276947,-0.20003190636634827,-0.19990116357803345,-0.19991376996040344,0.30048930644989014,-0.3000343143939972,-0.30026352405548096,-0.200259730219841,-0.20008307695388794,-0.19969703257083893,0.01798621006309986,0.11932515352964401,0.01798621006309986,0.11948826909065247,1.0012316703796387
