update_id,episode_start,episode_end,episode_count,parallel_envs,transition_count,environment_step_count,forced_action_count,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,transitions_per_second,reward_phase,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
1,0,9,10,10,6532,6532,0,0.0,6532,0,0.0,0,48.034457899979316,28.316426497825887,3.823991800076328,6.031481998856179,55.18106040003477,63.285057398186886,feasibility,feasibility_best,0.003647292211416711,0.0072854619724133495,0.12778677039969605,0.006012155144877768,0.0021112849415976156,0.0167627427184466,0.9995849910870339,0.27042359567599966,0.08737864077669903,1.8336427211761475,0.19912387430667877,0.13876178860664368,0.0416913703083992,0.13695183396339417,0.15743248164653778,0.031755004078149796,0.025916993618011475,0.0001,-0.3005127012729645,-0.3012085258960724,-0.20060132443904877,-0.20084640383720398,-0.20083720982074738,0.30086731910705566,-0.30145955085754395,-0.3012922406196594,-0.20024023950099945,-0.20106413960456848,-0.19973403215408325,0.017956579104065895,0.11927612870931625,0.01798621006309986,0.11898043751716614
2,10,19,10,10,1966,1966,0,0.0,1966,0,0.0,0,9.406635000021197,7.696206799941137,1.2614738999982364,1.5033956016413867,15.252857999992557,79.7258889304376,feasibility,not_applicable,-0.001568061975581992,0.005268430817992457,0.4551793360902417,-0.0034856395533068045,0.003569221747438273,0.0421743513715844,0.9989683945332805,0.47517804513054507,0.3387096774193548,1.7477539777755737,0.4977223873138428,0.19698603451251984,0.16717323660850525,0.09078360348939896,0.3305491507053375,0.125625878572464,0.7876051664352417,0.0001,-0.3003438413143158,-0.3018565773963928,-0.20114827156066895,-0.2013043314218521,-0.20126715302467346,0.3012351989746094,-0.3012731075286865,-0.30159494280815125,-0.20001289248466492,-0.20093709230422974,-0.19990019500255585,0.017994040623307228,0.11980787664651871,0.01798621006309986,0.1193222925066948
3,20,29,10,10,2201,2201,0,0.0,2201,0,0.0,0,10.813890099991113,8.887360499531496,1.1285832000430673,1.67983600118896,18.094367999990936,76.1374134819063,feasibility,phase_transition,-0.00010212304602776255,0.005055937530206782,0.44502553726945604,-0.002024410219330873,0.0012750886519955072,0.0203125,1.0001758277416228,0.4782693978931223,0.34285714285714286,1.6387109756469727,0.652169942855835,0.22759194672107697,0.14289513230323792,0.07985009253025055,0.5092747807502747,0.19120925664901733,0.8769059181213379,0.0001,-0.30040431022644043,-0.30217108130455017,-0.20141516625881195,-0.20153401792049408,-0.20151746273040771,0.3014523684978485,-0.3012586832046509,-0.30158406496047974,-0.20020771026611328,-0.2009127289056778,-0.20031875371932983,0.01797429658472538,0.11996923387050629,0.01798621006309986,0.11945895105600357
4,30,39,10,10,2301,2301,0,0.0,2301,0,0.0,0,11.193290700030047,9.306123699003365,1.2569532999186777,1.8264059974462725,19.40745150001021,75.19425460200023,quality,promoted,0.0004931926830775208,0.004082179340508042,0.44515105461080867,-0.0019172275529450013,0.0012485608515109764,0.01759947060296933,1.0005071916513972,0.3808461984412538,0.25,1.4049879312515259,0.7429450750350952,0.26633480191230774,0.12413175404071808,0.07400120049715042,0.6188133358955383,0.2413027286529541,0.9227992296218872,0.0001,-0.30034971237182617,-0.30247199535369873,-0.2018032670021057,-0.20175111293792725,-0.20167052745819092,0.3018048107624054,-0.3010577857494354,-0.30145877599716187,-0.19993901252746582,-0.20083153247833252,-0.20047931373119354,0.017953652888536453,0.12065873295068741,0.01798621006309986,0.11919716000556946
5,40,49,10,10,2334,2334,0,0.0,2334,0,0.0,0,11.747275399975479,9.505383199837524,1.709792600129731,1.9006754009751603,19.906113800010644,73.73617988436521,quality,not_promoted,0.00010289470791011243,0.0032414750910263407,0.4725180614638973,-0.0030015474751692367,0.0017040958584795983,0.02322635135135135,1.0013628755066846,0.3996710652435148,0.33783783783783783,1.1772289276123047,0.9167888164520264,0.2809361219406128,0.1122254803776741,0.07403013110160828,0.8045633435249329,0.27178290486335754,0.9305612444877625,0.0001,-0.3005032539367676,-0.30309614539146423,-0.2021787464618683,-0.20220611989498138,-0.202072873711586,0.30235999822616577,-0.30105558037757874,-0.30129167437553406,-0.20027990639209747,-0.20086143910884857,-0.20045894384384155,0.01795743778347969,0.12099253386259079,0.01798621006309986,0.11918266862630844
6,50,59,10,10,2172,2172,0,0.0,2172,0,0.0,0,10.508030600030906,8.706371698295698,1.262673800054472,1.616959000879433,17.682946600019932,77.04592801402015,quality,not_promoted,-0.0006967467420241412,0.0028240522463901844,0.44083160074318156,-0.0036930362043409225,0.0007986447642050574,0.011795343201169196,1.0001005600480473,0.3535337013137691,0.22058823529411764,1.1189764738082886,1.0417275428771973,0.2241717427968979,0.10223226994276047,0.07133748382329941,0.9394952058792114,0.23145724833011627,0.8987316489219666,0.0001,-0.3006061017513275,-0.30355921387672424,-0.20256522297859192,-0.20252645015716553,-0.20248468220233917,0.3027569651603699,-0.30111488699913025,-0.30111104249954224,-0.20016959309577942,-0.2008664906024933,-0.2006617784500122,0.01796684041619301,0.12129127979278564,0.01798621006309986,0.11927168816328049
7,60,69,10,10,2284,2284,0,0.0,2284,0,0.0,0,11.556714300008025,9.218135299917776,1.5468914000084624,1.8399215004174039,19.017823700036388,74.70268234295747,quality,not_promoted,-0.00017412336698422828,0.0020215616297921063,0.4901246378819148,-0.004064589331392199,0.001170339755238577,0.013869160372349951,0.9995754030015733,0.35101878275680876,0.1527777777777778,1.0309326648712158,1.0928691625595093,0.2576877176761627,0.09395085275173187,0.06510357558727264,0.998918354511261,0.26287513971328735,0.9361703991889954,0.0001,-0.30112722516059875,-0.30445635318756104,-0.20291757583618164,-0.20314867794513702,-0.2030174881219864,0.30357301235198975,-0.3016524612903595,-0.3013254404067993,-0.2001737803220749,-0.20122884213924408,-0.20107193291187286,0.017982402816414833,0.12163127213716507,0.01798621006309986,0.11967667192220688
8,70,79,10,10,1971,1971,0,0.0,1971,0,0.0,0,16.922449599951506,7.690358400112018,8.621257999970112,1.6207654997706413,15.356776000000536,61.06094441134698,quality,promoted,0.00041699241245946576,0.0013700305623182607,0.42827739109916074,-0.00318076582475295,0.0010280867199687618,0.014112903225806451,0.998708620186775,0.24213644135142526,0.06451612903225806,0.973717451095581,1.258959174156189,0.19981104135513306,0.07657092809677124,0.06846368312835693,1.182388186454773,0.19228461384773254,0.8825963735580444,0.0001,-0.30113649368286133,-0.3050699234008789,-0.20329606533050537,-0.2035854607820511,-0.20342516899108887,0.30390363931655884,-0.301561176776886,-0.3009813725948334,-0.20013676583766937,-0.20116719603538513,-0.20112010836601257,0.017999913543462753,0.12199567258358002,0.01798621006309986,0.11973253637552261
9,80,89,10,10,2111,2111,0,0.0,2111,0,0.0,0,10.349355299957097,8.459238401032053,1.3025711998925544,1.6774615984759293,17.639103699999396,75.42394527699011,quality,not_promoted,0.0012277199068304265,0.0014214679395081475,0.45002634913632367,-0.002561809636200919,0.0006779857581436359,0.007575757575757576,0.9997099114186836,0.2982650459038489,0.13636363636363635,0.7208685874938965,1.2905082702636719,0.24519503116607666,0.06512360274791718,0.06776562333106995,1.2253847122192383,0.24603977799415588,0.9236171841621399,0.0001,-0.3014284074306488,-0.3054942786693573,-0.20354516804218292,-0.20387496054172516,-0.20373842120170593,0.30424195528030396,-0.30172568559646606,-0.301169216632843,-0.2002163976430893,-0.20129609107971191,-0.2014382928609848,0.018029125407338142,0.12217143177986145,0.01798621006309986,0.11980008333921432
10,90,99,10,10,1998,1998,0,0.0,1998,0,0.0,0,9.712908899993636,7.970459300209768,1.1213054999825545,1.5452052998589352,16.30543419998139,76.79197681123352,quality,not_promoted,0.0008096194651443511,0.0012290309668969712,0.41385438898578286,-0.0027144087762280833,0.0025203681550465262,0.036376953125,1.001857852563262,0.2605252441717312,0.09375,0.7497827410697937,1.3244743347167969,0.20705954730510712,0.05155196785926819,0.05542507767677307,1.2729225158691406,0.19836179912090302,0.9283490180969238,0.0001,-0.30138441920280457,-0.3057030439376831,-0.20354288816452026,-0.2040088176727295,-0.20386338233947754,0.30417323112487793,-0.30237990617752075,-0.3016034662723541,-0.20063167810440063,-0.20173178613185883,-0.2018849104642868,0.018018094822764397,0.12221456319093704,0.01798621006309986,0.12016437947750092
11,100,109,10,10,2091,2091,0,0.0,2091,0,0.0,0,10.442423700005747,8.247101100103464,1.6560856999712996,1.6147261009318754,16.83178529998986,76.66583474521065,quality,not_promoted,0.001315109474076466,0.001122860361426843,0.4027023938569156,-0.0021504844242537565,0.00115472410140104,0.018229166666666668,0.9998651715842161,0.2489540676840327,0.045454545454545456,0.5658921003341675,1.378830909729004,0.23524489998817444,0.04659109562635422,0.05749700218439102,1.3322399854660034,0.2228206843137741,0.9402620792388916,0.0001,-0.30143409967422485,-0.30613645911216736,-0.2040211707353592,-0.20429201424121857,-0.20418791472911835,0.30452316999435425,-0.3025835156440735,-0.30162712931632996,-0.20088258385658264,-0.20181211829185486,-0.20217470824718475,0.018012916669249535,0.1224721297621727,0.01798621006309986,0.12020409107208252
12,110,119,10,10,3123,3123,0,0.0,3123,0,0.0,0,16.704218800005037,12.84610130067449,1.4924776999978349,2.365652697510086,26.658756699995138,72.01996551182212,quality,not_promoted,-1.1708656306929734e-05,0.0007101347743015623,0.3131038151225265,-0.0027876794575808607,0.0008661138319662221,0.013274059630930424,0.9999891604696002,0.23101089560255714,0.05102040816326531,0.92488032579422,1.4570627212524414,0.22849054634571075,0.03270665556192398,0.05058913677930832,1.4243561029434204,0.2352948635816574,0.950979471206665,0.0001,-0.30173003673553467,-0.3070312440395355,-0.20474299788475037,-0.204899862408638,-0.20492921769618988,0.3051581084728241,-0.30277931690216064,-0.3023390769958496,-0.20089009404182434,-0.20219533145427704,-0.20241296291351318,0.01804102398455143,0.12312004715204239,0.01798621006309986,0.12023255228996277
