episode,update_id,instance_id,instance_seed,pressure_type,cost_profile,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_total_reconfiguration_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_production_future_configuration_reuse_value_norm,policy_head_weight_production_configuration_opportunity_cost_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_fatigue_headroom_ratio,policy_head_weight_worker_total_incremental_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_weight_worker_qualification_opportunity_cost_norm,policy_head_weight_worker_recovery_eta_norm,policy_head_weight_worker_remaining_service_capacity_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual
0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,339,339,0,0.0,339,0,0.0,0,0.0,1.9375,2.0,-0.06249999999999997,1.9375,2.0,0.0,feasibility,-1767.0999999999988,-1389.2845578639185,-12.138888888888898,1.0000000000000002,1.0,-0.5112919307917043,0.0,0.0,-0.06249999999999997,81,190.5,True,False,completed,1.0,1.0,1767.0999999999988,1767.0999999999988,1389.2845578639185,12.138888888888898,0.5112919307917043,0.7496871225999998,0.6896189059000001,0.75,22,0.16666666666666666,2,2,27,0.1067193675889328,0,110,1,0,1196,119.60000000000001,0,0,0,0.0,0,0.0,0,0,45,1.4148261323571205,56,{},2.2,28,0.9642857142857143,53,28,150,56,52,199,129,70,18,181,0,129,18,52,18,18,0,181,34,41,4,51,21,179,0,0,129,18,52,99,22,2.01010101010101,0,10,2141,14.259034100017743,7.666868399974192,0.5457977000041865,0.3076269996818155,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
1,1,train_easy_1000001,1000001,easy,balanced_cost,140,140,0,0.0,140,0,0.0,0,0.0,1.9374999999999993,1.9999999999999993,-0.0625,1.9374999999999993,2.0,-6.661338147750939e-16,feasibility,-486.8,-196.70521639423998,-6.242222222222224,0.9999999999999997,1.0,-0.21580622763770554,0.0,0.0,-0.0625,50,172.0,True,False,completed,1.0,1.0,486.8,486.8,196.70521639423998,6.242222222222224,0.21580622763770554,0.14750000000000002,0.12731903810000003,0.75,0,0.0,0,0,0,0.0,3,30,0,0,1495,149.5,0,0,0,0.0,0,0.0,0,0,21,0.5116736963391304,10,{},0.0,5,0.8,45,5,70,10,10,71,61,10,0,71,0,61,0,10,0,0,0,71,5,4,0,9,0,71,0,0,61,0,10,52,4,1.3653846153846154,0,10,2141,14.259034100017743,7.666868399974192,0.2612338000035379,0.1575948999961838,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
2,1,train_easy_1000002,1000002,easy,balanced_cost,182,182,0,0.0,182,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-510.1000000000001,-545.33911006305,-26.44805555555557,0.9999999999999998,1.0,-0.32420340314353213,0.0,0.0,-0.0625,43,169.10000000000002,True,False,completed,1.0,1.0,510.1000000000001,510.1000000000001,545.33911006305,26.448055555555566,0.32420340314353213,0.19150000000000003,0.15195,0.75,0,0.0,0,0,0,0.0,1,76,0,0,1277,127.7,0,0,0,0.0,0,0.0,0,0,14,2.0717513784766197,28,{},0.0,14,1.0,29,14,83,28,28,102,73,29,1,101,0,73,1,28,1,1,0,101,14,14,0,27,0,101,0,0,73,1,28,63,6,1.619047619047619,0,10,2141,14.259034100017743,7.666868399974192,2.856752799998503,0.15581030014436692,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
3,1,train_balanced_1000003,1000003,balanced,balanced_cost,203,203,0,0.0,203,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-697.8999999999999,-585.0007051611997,-4.261388888888891,0.9999999999999997,1.0,-0.3102936379558218,0.0,0.0,-0.0625,57,211.20000000000002,True,False,completed,1.0,1.0,697.8999999999999,697.8999999999999,585.0007051611997,4.261388888888891,0.3102936379558218,0.1911,0.15946666666666667,0.75,0,0.0,0,0,0,0.0,2,74,0,2,1672,167.20000000000002,0,0,0,0.0,0,0.0,0,0,29,1.6636217907071114,26,{},0.0,13,1.0,44,13,95,26,25,106,81,25,0,106,0,81,0,25,0,0,0,106,13,12,1,24,0,106,0,0,81,0,25,74,4,1.4324324324324325,0,10,2141,14.259034100017743,7.666868399974192,0.28153149998979643,0.18879499993636273,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
4,1,train_balanced_1000004,1000004,balanced,balanced_cost,234,234,0,0.0,234,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-931.3000000000004,-666.4291718691,-8.208888888888893,0.9999999999999999,1.0,-0.3666609571828506,0.0,0.0,-0.0625,64,224.60000000000002,True,False,completed,1.0,1.0,931.3000000000004,931.3000000000004,666.4291718691,8.208888888888893,0.3666609571828506,0.2701,0.2314333333333333,0.75,0,0.0,0,0,0,0.0,1,89,0,0,1851,185.10000000000002,0,0,0,0.0,0,0.0,0,0,29,2.1907764077186584,32,{},0.0,16,1.0,48,16,108,32,30,105,74,31,1,104,0,74,1,30,1,1,0,104,14,13,1,25,0,102,0,0,74,1,30,71,5,1.4788732394366197,0,10,2141,14.259034100017743,7.666868399974192,0.2865264999854844,0.18180369993206114,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
5,1,train_easy_1000005,1000005,easy,downtime_dominant,151,151,0,0.0,151,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-458.0,-389.85161864790985,-10.938055555555557,0.9999999999999998,1.0,-0.2581667667127724,0.0,0.0,-0.0625,45,177.0,True,False,completed,1.0,1.0,458.0,458.0,389.85161864790985,10.938055555555557,0.2581667667127724,0.14350000000000004,0.11770169560000003,0.75,0,0.0,0,0,0,0.0,2,46,0,0,1518,151.8,0,0,0,0.0,0,0.0,0,0,15,0.8918865472078323,16,{},0.0,8,1.0,37,8,74,16,16,82,66,16,0,82,0,66,0,16,0,0,0,82,8,8,0,16,0,80,0,0,66,0,16,56,5,1.4642857142857142,0,10,2141,14.259034100017743,7.666868399974192,0.15059770000516437,0.12713539984542876,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
6,1,train_balanced_1000006,1000006,balanced,fixed_cost_dominant,245,245,0,0.0,245,0,0.0,0,0.0,1.9375000000000002,2.0,-0.0625,1.9375000000000002,2.0,0.0,feasibility,-829.0999999999999,-610.3583051759001,-8.155555555555555,1.0000000000000002,1.0,-0.3460558385309352,0.0,0.0,-0.0625,66,207.4,True,False,completed,1.0,1.0,829.0999999999999,829.0999999999999,610.3583051759001,8.155555555555559,0.3460558385309352,0.2267,0.15125652411666668,0.75,0,0.0,0,0,0,0.0,2,91,0,3,1625,162.5,0,0,0,0.0,0,0.0,0,0,26,2.0429600551724434,32,{},0.0,16,1.0,50,16,115,32,32,127,95,32,0,127,0,95,0,32,0,0,0,127,15,16,0,31,0,127,0,0,95,0,32,87,4,1.4597701149425288,0,10,2141,14.259034100017743,7.666868399974192,0.3618283999967389,0.19007640006020665,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
7,1,train_balanced_1000007,1000007,balanced,balanced_cost,192,192,0,0.0,192,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-654.8999999999997,-529.33284985799,-15.571388888888896,0.9999999999999998,1.0,-0.3278629208521191,0.0,0.0,-0.0625,53,188.4,True,False,completed,1.0,1.0,654.8999999999997,654.8999999999997,529.33284985799,15.571388888888896,0.3278629208521191,0.22710000000000002,0.16430079203333336,0.75,0,0.0,0,0,0,0.0,2,78,0,0,1447,144.70000000000002,0,0,0,0.0,0,0.0,0,0,23,2.0045170709490776,26,{},0.0,13,1.0,40,13,89,26,24,101,77,24,0,101,0,77,0,24,0,0,0,101,12,12,0,24,0,101,0,0,77,0,24,69,4,1.463768115942029,0,10,2141,14.259034100017743,7.666868399974192,0.2849848000041675,0.164451299700886,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
8,1,train_fatigue_bottleneck_1000008,1000008,fatigue_bottleneck,labor_dominant,286,286,0,0.0,286,0,0.0,0,0.0,1.9375000000000007,2.000000000000001,-0.0625,1.9375000000000007,2.0,8.881784197001252e-16,feasibility,-1527.5000000000005,-1007.9383275792704,-0.7466666666666649,1.0,1.0,-0.4335540745954205,0.0,0.0,-0.0625,71,168.70000000000002,True,False,completed,1.0,1.0,1527.5000000000005,1527.5000000000005,1007.9383275792704,0.7466666666666654,0.4335540745954205,0.7493627573000001,0.6908106349666667,0.75,22,0.19469026548672566,4,4,254,0.6563307493540051,0,91,3,1,1190,119.0,0,0,0,0.0,0,0.0,0,0,41,1.9246937185525894,44,{},4.4,22,0.9545454545454546,49,22,127,44,44,164,106,58,14,150,0,106,14,44,14,14,0,150,27,32,2,39,29,150,0,0,106,14,44,84,12,1.9523809523809523,0,10,2141,14.259034100017743,7.666868399974192,0.9205504000128713,0.25238779999199323,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
9,1,train_balanced_1000009,1000009,balanced,fixed_cost_dominant,169,169,0,0.0,169,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-630.6000000000003,-366.6100774346101,-8.548888888888891,1.0,1.0,-0.28191989126267636,0.0,0.0,-0.0625,50,204.60000000000002,True,False,completed,1.0,1.0,630.6000000000003,630.6000000000003,366.6100774346101,8.548888888888891,0.28191989126267636,0.165,0.13085764725000001,0.75,0,0.0,0,0,0,0.0,2,60,0,0,1755,175.5,0,0,0,0.0,0,0.0,0,0,22,1.1493840292096138,20,{},0.0,10,1.0,40,10,81,20,18,88,70,18,0,88,0,70,0,18,0,0,0,88,10,10,2,18,0,87,0,0,70,0,18,61,5,1.4426229508196722,0,10,2141,14.259034100017743,7.666868399974192,0.12345170002663508,0.13642299972707406,20.34902210001019,parallel_episode_batch,feasibility_best,0.00132873109267915,0.020334468764143392,0.5001358775531545,0.006494606598554289,0.00217527016374173,0.02679703351767624,1.0016149335047777,0.6997084952890873,0.47058823529411764,4.180540084838867,0.07866887748241425,0.20536476373672485,0.18412873148918152,0.22537077963352203,-0.10545985400676727,0.03992865979671478,-0.20432400703430176,0.0001,-0.30022263526916504,-0.3001655638217926,-0.3001726567745209,0.3004591166973114,0.19974373281002045,-0.20041829347610474,-0.2996436059474945,0.30003291368484497,-0.24961553514003754,-0.20001497864723206,-0.20020990073680878,-0.14998166263103485,0.15005360543727875,0.017986470833420753,0.017996888607740402,0.01798621006309986,0.01798621006309986
