episode,trajectory_index,base_instance_index,preference_slot,preference_group_id,update_id,instance_id,instance_seed,pressure_type,cost_profile,w_flow,w_cost,w_variance,preference_source,steps,policy_steps,forced_actions,forced_action_ratio,worker_step_command_count,worker_local_physical_forced_action_count,worker_local_physical_forced_share,estimated_worker_step_round_trips_avoided,unattributed_forced_reward,reward,reward_base,reward_shaping,reward_training,expected_reward,reward_identity_error,reward_phase,reward_flow,reward_cost,reward_variance,reward_completion_progress,reward_completion_bonus,reward_quality,reward_truncation,reward_unfinished,reward_feasibility_shaping,completed_operations,time,terminated,truncated,terminal_reason,completed_order_ratio,completed_operation_ratio,total_flow_time,flow_time_objective,reconfiguration_cost,worker_load_variance,quality_score,preference_quality_score,maximum_worker_fatigue,mean_peak_worker_fatigue,safe_fatigue_limit,fatigue_masked_action_count,fatigue_masked_action_ratio,worker_competition_event_count,worker_matching_deficit_event_count,resource_admission_masked_action_count,resource_admission_masked_action_ratio,minimum_worker_alternatives,matching_preserving_worker_action_count,candidate_recovery_advance_count,production_defer_recovery_improvement_count,production_defer_wait_ticks,production_defer_wait_time,conditional_worker_wait_opportunity_count,conditional_worker_wait_selected_count,conditional_worker_wait_total_ticks,conditional_worker_wait_total_time,conditional_worker_wait_pair_gain_sum,conditional_worker_wait_fatigue_improvement_sum,conditional_worker_wait_duration_improvement_ticks_sum,conditional_worker_wait_max_consecutive_observed,reconfiguration_reuse_count,qualification_scarcity_regret,qualification_scarcity_decision_count,conditional_worker_wait_reason_counts,machine_waiting_for_worker_time,completed_reconfigurations,worker_switch_ratio,direct_process_action_count,commit_reconfig_action_count,defer_production_action_count,worker_assign_action_count,advance_event_action_count,forced_action_state_count,forced_production_count,forced_worker_count,forced_pair_count,forced_advance_count,forced_production_pair_count,forced_production_advance_count,forced_worker_pair_count,forced_worker_advance_count,forced_pair_advance_blocked_non_delay_count,forced_worker_pair_non_delay_count,forced_pair_advance_physically_unavailable_count,forced_advance_pair_physically_unavailable_count,forced_wait_dis_count,forced_wait_ins_count,forced_mixed_wait_stage_count,forced_phase_handoff_count,forced_recovery_advance_count,forced_future_event_advance_count,forced_direct_process_count,forced_commit_reconfig_count,forced_defer_production_count,forced_worker_assign_count,forced_advance_event_count,forced_action_chain_count,longest_forced_action_chain,mean_forced_action_chain_length,schedule_violation_count,parallel_envs,batch_transition_count,sampling_wall_time_seconds,policy_inference_time_seconds,generation_time_seconds,environment_step_time_seconds,ppo_update_time_seconds,loss_scope,candidate_status,policy_loss,value_loss,entropy,loss,approx_kl,clip_fraction,ratio_mean,gradient_norm,gradient_clipped_fraction,counterfactual_loss,counterfactual_eligible_count,counterfactual_high_flow_commit_flip_count,counterfactual_high_flow_commit_flip_rate,counterfactual_state_scale_mean,counterfactual_state_scale_max,counterfactual_low_flow_identity_violation_count,counterfactual_monotonicity_violation_count,gradient_norm_max,return_mean,return_std,advantage_mean,advantage_std,value_prediction_mean,value_prediction_std,pre_update_explained_variance,learning_rate,policy_head_weight_production_processing_time_norm,policy_head_weight_production_reconfiguration_time_norm,policy_head_weight_production_fixed_reconfiguration_cost_norm,policy_head_weight_production_estimated_labor_cost_norm,policy_head_weight_production_estimated_downtime_cost_norm,policy_head_weight_production_horizon_slack_norm,policy_head_weight_worker_stage_duration_norm,policy_head_weight_worker_projected_fatigue_ratio,policy_head_weight_worker_incremental_labor_cost_norm,policy_head_weight_worker_incremental_downtime_cost_norm,policy_head_weight_worker_incremental_load_variance_norm,policy_head_gate_production_common,policy_head_gate_production_residual,policy_head_gate_worker_common,policy_head_gate_worker_residual,policy_head_preference_action_scale,policy_head_preference_action_scale_production,policy_head_preference_action_scale_worker
0,0,0,0,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,1.0,0.0,0.0,group_anchor_0,227,227,0,0.0,227,0,0.0,0,0.0,-0.11805555555555547,-0.05555555555555548,-0.062499999999999986,-0.11805555555555547,-0.05555555555555558,9.71445146547012e-17,feasibility,-4021.8,-465.75101284916974,-12.832222222222219,0.7222222222222224,0.0,-0.7701941859129036,-1.0,-0.2777777777777778,-0.062499999999999986,73,240.0,False,True,horizon,0.7222222222222222,0.9012345679012346,,4021.8,465.75101284916974,12.832222222222219,0.5212698509543612,0.7701941859129036,0.5402808938999999,0.38875223923333335,0.75,0,0.0,0,0,36,0.026865671641791045,1,54,0,7,2153,215.3,0,0,0,0.0,0,0.0,0,0,51,0.0,0,{},0.0,10,1.0,67,10,113,20,17,47,30,17,0,47,0,30,0,17,0,0,0,47,7,7,2,12,0,47,0,0,30,0,17,30,6,1.5666666666666667,0,10,2147,20.321113900005003,9.555163800017908,0.23877339999307878,1.5261563999665668,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
1,1,0,1,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,1.0,0.0,group_anchor_1,281,281,0,0.0,281,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.062499999999999986,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-2225.6,-830.5902620553201,-10.563333333333336,1.0000000000000002,1.0,-0.4537281112392478,0.0,0.0,-0.062499999999999986,81,232.0,True,False,completed,1.0,1.0,2225.6,2225.6,830.5902620553201,10.563333333333334,0.4958502280796637,0.4537281112392478,0.5684808939000001,0.4551189059,0.75,0,0.0,0,0,9,0.009836065573770493,1,83,0,8,1916,191.60000000000002,0,0,0,0.0,0,0.0,0,0,49,0.0,0,{},0.0,17,0.8235294117647058,64,17,136,34,30,95,59,36,6,89,0,59,6,30,6,6,0,89,14,18,2,24,0,89,0,0,59,6,30,58,10,1.6379310344827587,0,10,2147,20.321113900005003,9.555163800017908,0.23630630000843666,0.8279559999064077,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
2,2,0,2,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.0,0.0,1.0,group_anchor_2,331,331,0,0.0,331,0,0.0,0,0.0,1.9375000000000004,2.0000000000000004,-0.0625,1.9375000000000004,2.0,4.440892098500626e-16,feasibility,-2014.3000000000002,-1233.2315392268706,-2.2800000000000034,1.0000000000000002,1.0,-0.04361132364192817,0.0,0.0,-0.0625,81,237.20000000000002,True,False,completed,1.0,1.0,2014.3000000000002,2014.3000000000002,1233.2315392268706,2.2800000000000034,0.4877219465868535,0.04361132364192814,0.7461871225999996,0.6791689059,0.75,12,0.09523809523809523,1,1,79,0.12440944881889764,0,114,1,11,1878,187.8,0,0,0,0.0,0,0.0,0,0,52,0.0,0,{},0.1,25,1.0,56,25,158,50,42,130,80,50,8,122,0,80,8,42,8,8,0,122,18,25,3,31,16,122,0,0,80,8,42,72,9,1.8055555555555556,0,10,2147,20.321113900005003,9.555163800017908,0.23689299999387003,0.4365173998812679,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
3,3,0,3,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,273,273,0,0.0,273,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-2230.6999999999994,-755.4721089402701,-9.264722222222229,1.0000000000000002,1.0,-0.41229920091255,0.0,0.0,-0.0625,81,205.70000000000002,True,False,completed,1.0,1.0,2230.6999999999994,2230.6999999999994,755.4721089402701,9.264722222222229,0.4854799345876717,0.41229920091255,0.4577871226,0.3990022392333334,0.75,0,0.0,0,0,16,0.018244013683010263,1,87,0,9,1734,173.4,0,0,0,0.0,0,0.0,0,0,57,0.0,0,{},0.0,16,0.9375,65,16,135,32,25,83,56,27,2,81,0,56,2,25,2,2,0,81,9,14,2,19,0,81,0,0,56,2,25,55,4,1.509090909090909,0,10,2147,20.321113900005003,9.555163800017908,0.22903339999902528,0.5053084998071427,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
4,4,0,4,0,1,train_fatigue_bottleneck_1000000,1000000,fatigue_bottleneck,balanced_cost,0.5,0.3,0.2,group_anchor_4,277,277,0,0.0,277,0,0.0,0,0.0,0.1041666666666663,0.1666666666666663,-0.0625,0.1041666666666663,0.1666666666666667,-4.163336342344337e-16,feasibility,-3690.8999999999983,-828.6658696546699,-13.045555555555566,0.8333333333333336,0.0,-0.5546537017802826,-1.0,-0.16666666666666666,-0.0625,77,240.0,False,True,horizon,0.8333333333333334,0.9506172839506173,,3690.8999999999983,828.6658696546699,13.045555555555566,0.5546537017802826,0.5546537017802826,0.39082304389999994,0.29469813738333334,0.75,0,0.0,0,0,20,0.011098779134295227,1,83,0,8,1990,199.0,0,0,0,0.0,0,0.0,0,0,49,0.0,0,{},0.0,17,1.0,63,17,135,34,28,73,41,32,4,69,0,41,4,28,4,4,0,69,10,14,2,18,0,69,0,0,41,4,28,47,4,1.553191489361702,0,10,2147,20.321113900005003,9.555163800017908,0.22418640000978485,2.4646794999571284,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
5,5,1,0,1,1,train_easy_1000001,1000001,easy,balanced_cost,1.0,0.0,0.0,group_anchor_0,151,151,0,0.0,151,0,0.0,0,0.0,0.1517857142857144,0.2142857142857144,-0.0625,0.1517857142857144,0.21428571428571425,1.6653345369377348e-16,feasibility,-2425.8999999999996,-273.20753136087995,-3.426666666666667,0.8571428571428569,0.0,-0.6690476847127609,-1.0,-0.14285714285714285,-0.0625,47,240.0,False,True,horizon,0.8571428571428571,0.94,,2425.8999999999996,273.20753136087995,3.426666666666667,0.41172602073494535,0.6690476847127609,0.18030000000000002,0.13601305155,0.75,0,0.0,0,0,12,0.014184397163120567,2,41,0,2,2198,219.8,0,0,0,0.0,0,0.0,0,0,16,0.0,0,{},0.0,7,1.0,42,7,77,14,11,32,21,11,0,32,0,21,0,11,0,0,0,32,4,6,1,9,0,32,0,0,21,0,11,21,4,1.5238095238095237,0,10,2147,20.321113900005003,9.555163800017908,0.14017810000223108,1.194866600097157,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
6,6,1,1,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,1.0,0.0,group_anchor_1,149,149,0,0.0,149,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-807.0999999999998,-231.37542214172,-3.94888888888889,0.9999999999999997,1.0,-0.18789998401891997,0.0,0.0,-0.0625,50,192.60000000000002,True,False,completed,1.0,1.0,807.0999999999998,807.0999999999998,231.37542214172,3.94888888888889,0.27207059842754516,0.18789998401891997,0.166,0.11869472303333334,0.75,0,0.0,0,0,0,0.0,2,33,0,2,1785,178.5,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,6,1.0,44,6,75,12,12,43,31,12,0,43,0,31,0,12,0,0,0,43,6,4,0,10,0,43,0,0,31,0,12,34,4,1.2647058823529411,0,10,2147,20.321113900005003,9.555163800017908,0.11927159999322612,0.46506539997062646,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
7,7,1,2,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.0,0.0,1.0,group_anchor_2,153,153,0,0.0,153,0,0.0,0,0.0,1.9374999999999996,1.9999999999999996,-0.0625,1.9374999999999996,2.0,-4.440892098500626e-16,feasibility,-878.5000000000001,-231.78485165535,-0.3613888888888888,0.9999999999999997,1.0,-0.007175911881346482,0.0,0.0,-0.0625,50,208.5,True,False,completed,1.0,1.0,878.5000000000001,878.5000000000001,231.78485165535,0.3613888888888889,0.26921644334037415,0.007175911881346491,0.13300000000000003,0.11049638488333335,0.75,0,0.0,0,0,0,0.0,3,36,0,3,1847,184.70000000000002,0,0,0,0.0,0,0.0,0,0,19,0.0,0,{},0.0,6,1.0,44,6,79,12,12,43,31,12,0,43,0,31,0,12,0,0,0,43,5,5,0,10,0,42,0,0,31,0,12,30,3,1.4333333333333333,0,10,2147,20.321113900005003,9.555163800017908,0.12063049999414943,0.5022713000071235,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
8,8,1,3,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.3333333333333333,0.3333333333333333,0.3333333333333333,group_anchor_3,168,168,0,0.0,168,0,0.0,0,0.0,1.9375,2.0,-0.0625,1.9375,2.0,0.0,feasibility,-862.8999999999999,-367.50246708602003,-1.5155555555555553,0.9999999999999997,1.0,-0.23881796805547126,0.0,0.0,-0.0625,50,176.10000000000002,True,False,completed,1.0,1.0,862.8999999999999,862.8999999999999,367.50246708602003,1.5155555555555553,0.295653160293231,0.23881796805547126,0.2898,0.20376666666666665,0.75,0,0.0,0,0,0,0.0,2,49,0,3,1551,155.10000000000002,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,9,0.8888888888888888,41,9,84,18,16,52,36,16,0,52,0,36,0,16,0,0,0,52,6,6,0,12,0,52,0,0,36,0,16,32,5,1.625,0,10,2147,20.321113900005003,9.555163800017908,0.1320119000010891,0.5120760999561753,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
9,9,1,4,1,1,train_easy_1000001,1000001,easy,balanced_cost,0.5,0.3,0.2,group_anchor_4,137,137,0,0.0,137,0,0.0,0,0.0,1.9374999999999998,1.9999999999999998,-0.0625,1.9374999999999998,2.0,-2.220446049250313e-16,feasibility,-730.3,-147.00113713420004,-3.311388888888889,0.9999999999999997,1.0,-0.24003869157200394,0.0,0.0,-0.0625,50,205.5,True,False,completed,1.0,1.0,730.3,730.3,147.00113713420004,3.311388888888889,0.24003869157200394,0.24003869157200394,0.15336758110000004,0.11248972848333334,0.75,0,0.0,0,0,0,0.0,3,24,0,0,1933,193.3,0,0,0,0.0,0,0.0,0,0,18,0.0,0,{},0.0,4,1.0,46,4,72,8,7,45,38,7,0,45,0,38,0,7,0,0,0,45,4,4,1,7,0,45,0,0,38,0,7,31,4,1.4516129032258065,0,10,2147,20.321113900005003,9.555163800017908,0.1303427999955602,0.43440850006300025,19.762252100001206,parallel_episode_batch,not_applicable,0.0005699065650868066,0.03356018941164674,0.9786423409686369,0.007563578800353057,3.479299047124668e-05,0.0,0.9998811737579458,0.6220741985256181,0.5147058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.732870101928711,-0.2163376659154892,0.2422182857990265,0.1575416922569275,0.25760602951049805,-0.3738793730735779,0.04983352869749069,-0.13109254837036133,0.0001,-0.30012431740760803,-0.3000568151473999,-0.20020371675491333,-0.20006391406059265,-0.20003290474414825,0.30001387000083923,-0.29981815814971924,-0.2997141480445862,-0.20013286173343658,-0.19981324672698975,-0.20008371770381927,0.01798621006309986,0.11943697184324265,0.01798621006309986,0.11919187754392624,1.0002816915512085,1.0002816915512085,1.0002816915512085
